GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras
1150445720,20240109,202401,2024,2024.0247,CHN,CHINA,CHN,,,,,,,,DEU,GERMANY,DEU,,,,,,,,1,42,42,4,1,1.9,60,3,60,4.1347150536038,4,"Dongxiao, Shaanxi, China",CH,CH26,34.1472,108.107,9205050,4,"Dongxiao, Shaanxi, China",CH,CH26,34.1472,108.107,9205050,4,"Dongxiao, Shaanxi, China",CH,CH26,34.1472,108.107,9205050,20240109,http://usa.chinadaily.com.cn/a/202401/09/WS659c807fa3105f21a507b318.html,20240109001500,20240109024500,1,chinadaily.com.cn,http://africa.chinadaily.com.cn/a/202401/09/WS659c807fa3105f21a507b318.html,6,1341,1378,1347,1,90,3855,4.0885860306644,,
1150470139,20240109,202401,2024,2024.0247,PAKEDU,PAKISTANI,PAK,,,,,EDU,,,CHN,CHINA,CHN,,,,,,,,1,51,51,5,1,3.4,30,2,30,3.6369854401891,4,"Pinglu, Fujian, China",CH,CH07,25.251,117.683,9221419,4,"Pinglu, Fujian, China",CH,CH07,25.251,117.683,9221419,4,"Pinglu, Fujian, China",CH,CH07,25.251,117.683,9221419,20240109,http://africa.chinadaily.com.cn/a/202401/09/WS659c98e9a3105f21a507b397.html,20240109024500,20240109024500,1,chinadaily.com.cn,http://africa.chinadaily.com.cn/a/202401/09/WS659c98e9a3105f21a507b397.html,1,0,26,18,1,60,3022,3.51648351648352,,
1150469593,20240109,202401,2024,2024.0247,CHN,BEIJING,CHN,,,,,,,,TWN,TAIWAN,TWN,,,,,,,,0,51,51,5,1,3.4,24,1,24,0.47770700636943,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,20240109,http://africa.chinadaily.com.cn/a/202401/09/WS659ca3d0a3105f21a507b444.html,20240109024500,20240109024500,1,chinadaily.com.cn,http://africa.chinadaily.com.cn/a/202401/09/WS659ca3d0a3105f21a507b444.html,13,2972,3030,3018,1,60,4082,0.47770700636943,,
1150466083,20240109,202401,2024,2024.0247,CHN,BEIJING,CHN,,,,,,,,CHNGOV,XI JINPING,CHN,,,,,GOV,,,1,20,20,2,1,3.0,22,3,22,-0.814437642022197,4,"Xuexiang, Jiangsu, China",CH,CH04,31.1215,120.794,10633752,4,"Xuexiang, Jiangsu, China",CH,CH04,31.1215,120.794,10633752,4,"Xuexiang, Jiangsu, China",CH,CH04,31.1215,120.794,10633752,20240109,http://en.ce.cn/main/latest/202401/09/t20240109_38858878.shtml,20240109021500,20240109021500,1,en.ce.cn,http://en.ce.cn/main/latest/202401/09/t20240109_38858878.shtml,2,86,108,205,1,70,7268,-0.69808027923211,,
1150466331,20240109,202401,2024,2024.0247,GBR,BRITISH,GBR,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,331,33,3,1,5.2,10,1,10,-8.07017543859645,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,4,"London, London, City of, United Kingdom",UK,UKH9,51.5,-0.116667,-2601889,20240109,http://en.ce.cn/main/latest/202401/09/t20240109_38858907.shtml,20240109021500,20240109021500,1,en.ce.cn,http://en.ce.cn/main/latest/202401/09/t20240109_38858907.shtml,1,0,69,13,1,100,1756,-8.07017543859645,,
1150441782,20240109,202401,2024,2024.0247,CHN,CHINA,CHN,,,,,,,,MLT,VALLETTA,MLT,,,,,,,,1,57,57,5,1,8.0,80,8,80,2.31338891542648,4,"Henan, Henan, China",CH,CH09,33.415,112.422,10521711,4,"Valletta, Malta (general), Malta",MT,MT00,35.8997,14.5147,-19310,4,"Valletta, Malta (general), Malta",MT,MT00,35.8997,14.5147,-19310,20240109,https://www.bignewsnetwork.com/news/274088955/un-institute-signs-mou-with-chinese-university-for-training-cooperation,20240109000000,20240109021500,1,en.ce.cn,http://en.ce.cn/main/latest/202401/09/t20240109_38858912.shtml,2,245,93,192,1,100,1758,2.28136882129278,,
1150451900,20240109,202401,2024,2024.0247,CHN,CHINESE,CHN,,,,,,,,CHNGOV,XI JINPING,CHN,,,,,GOV,,,1,20,20,2,1,3.0,41,6,41,-1.62676628412991,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20240109,https://www.eurasiareview.com/09012024-is-china-benefiting-from-instability-in-the-middle-east-analysis/,20240109004500,20240109031500,1,en.people.cn,http://en.people.cn/n3/2024/0109/c90000-20119524.html,4,450,472,569,1,70,8032,-1.04,,
1150472223,20240109,202401,2024,2024.0247,CHN,CHINESE,CHN,,,,,,,,JPN,JAPAN,JPN,,,,,,,,1,16,16,1,1,-2.0,20,2,20,-5.23703800444038,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,1,Japan,JA,JA,36.0,138.0,JA,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20240109,http://en.people.cn/n3/2024/0109/c90000-20119527.html,20240109031500,20240109031500,1,en.people.cn,http://en.people.cn/n3/2024/0109/c90000-20119527.html,2,95,138,106,1,100,2614,-5.21091811414392,,
1150466107,20240109,202401,2024,2024.0247,CHN,CHINA,CHN,,,,,,,,USA,WASHINGTON,USA,,,,,,,,1,51,51,5,1,3.4,7,1,7,2.72479564032698,3,"San Francisco, California, United States",US,USCA,37.7749,-122.419,277593,4,"Kunshan, Fujian, China",CH,CH07,26.66,118.94,11044343,4,"Kunshan, Fujian, China",CH,CH07,26.66,118.94,11044343,20240109,http://en.people.cn/n3/2024/0109/c90000-20119599.html,20240109021500,20240109021500,1,en.people.cn,http://en.people.cn/n3/2024/0109/c90000-20119599.html,1,119,266,231,1,70,4553,2.72479564032698,,
1150445723,20240109,202401,2024,2024.0247,CHN,CHINA,CHN,,,,,,,,DEU,GERMANY,DEU,,,,,,,,1,80,80,8,2,5.0,56,3,56,4.1347150536038,4,"Dongxiao, Shaanxi, China",CH,CH26,34.1472,108.107,9205050,1,Germany,GM,GM,51.5,10.5,GM,4,"Dongxiao, Shaanxi, China",CH,CH26,34.1472,108.107,9205050,20240109,http://usa.chinadaily.com.cn/a/202401/09/WS659c807fa3105f21a507b318.html,20240109001500,20240109031500,1,en.people.cn,http://en.people.cn/n3/2024/0109/c90000-20119608.html,6,1380,1417,1394,1,80,3898,4.34782608695653,,
