GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras
1150278389,20240108,202401,2024,2024.0219,CHN,CHINA,CHN,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,1,40,40,4,1,1.0,252,24,252,-3.33275311143051,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20240108,https://www.bnd.com/news/nation-world/world/article283951398.html,20240108043000,20240108104500,1,cnn.com,https://edition.cnn.com/2024/01/08/business/china-uk-mi6-spy-detained-intl-hnk/,1,0,59,21,1,100,2930,-1.29589632829373,,
1150286521,20240108,202401,2024,2024.0219,CHNBUS,CHINA,CHN,,,,,BUS,,,CHN,CHINESE,CHN,,,,,,,,1,174,174,17,4,-5.0,43,6,43,-3.41267788196318,4,"Wang Bin, Liaoning, China",CH,CH19,41.9661,123.725,-1929688,4,"Wang Bin, Liaoning, China",CH,CH19,41.9661,123.725,-1929688,4,"Wang Bin, Liaoning, China",CH,CH19,41.9661,123.725,-1929688,20240108,https://us.cnn.com/2024/01/08/business/tang-shuangning-china-everbright-expelled-intl-hnk/,20240108060000,20240108081500,1,yahoo.com,https://finance.yahoo.com/news/ex-chairman-china-everbright-group-053421394.html,1,108,141,123,1,100,3706,-3.70994940978078,,
1150284913,20240108,202401,2024,2024.0219,CHN,CHINA,CHN,,,,,,,,TWN,TAIWAN,TWN,,,,,,,,1,163,163,16,4,-8.0,10,1,10,-2.73972602739726,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Taiwan Strait, Taiwan (general), Taiwan",TW,TW00,24.0,119.0,-2637942,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20240108,https://news.yahoo.com/china-sanctions-five-us-defence-042647955.html,20240108054500,20240108054500,1,yahoo.com,https://news.yahoo.com/china-sanctions-five-us-defence-042647955.html,1,63,165,73,1,100,1836,-2.73972602739726,,
1150278389,20240108,202401,2024,2024.0219,CHN,CHINA,CHN,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,1,40,40,4,1,1.0,252,24,252,-3.33275311143051,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20240108,https://www.bnd.com/news/nation-world/world/article283951398.html,20240108043000,20240108084500,1,yahoo.com,https://news.yahoo.com/china-says-foreign-consulting-agency-081537468.html,1,0,52,19,1,100,3029,-3.85438972162741,,
1150350546,20240108,202401,2024,2024.0219,CHN,CHINA,CHN,,,,,,,,TWN,TAIWAN,TWN,,,,,,,,1,43,43,4,1,2.8,20,1,20,-0.48231511254019,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,20240108,https://news.yahoo.com/taiwan-heading-pivotal-election-define-122717713.html,20240108134500,20240108134500,1,yahoo.com,https://news.yahoo.com/taiwan-heading-pivotal-election-define-122717398.html,1,88,0,10,1,100,7350,-0.48231511254019,,
1150350546,20240108,202401,2024,2024.0219,CHN,CHINA,CHN,,,,,,,,TWN,TAIWAN,TWN,,,,,,,,1,43,43,4,1,2.8,20,1,20,-0.48231511254019,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,4,"Taipei, T'ai-pei, Taiwan",TW,TW03,25.0478,121.532,-2637882,20240108,https://news.yahoo.com/taiwan-heading-pivotal-election-define-122717713.html,20240108134500,20240108134500,1,yahoo.com,https://news.yahoo.com/taiwan-heading-pivotal-election-define-122717713.html,1,88,0,10,1,100,7350,-0.48231511254019,,
1150325874,20240108,202401,2024,2024.0219,FRA,FRENCH,FRA,,,,,,,,CHN,CHINESE,CHN,,,,,,,,1,111,111,11,3,-2.0,16,2,16,-5.0526539729816,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20240108,https://uk.finance.yahoo.com/news/french-cognac-makers-hit-back-105147042.html,20240108111500,20240108111500,1,yahoo.com,https://uk.finance.yahoo.com/news/french-cognac-makers-hit-back-105147042.html,1,0,33,21,1,80,1531,-5.06329113924051,,
1150278389,20240108,202401,2024,2024.0219,CHN,CHINA,CHN,,,,,,,,GBR,UNITED KINGDOM,GBR,,,,,,,,1,40,40,4,1,1.0,252,24,252,-3.33275311143051,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20240108,https://www.bnd.com/news/nation-world/world/article283951398.html,20240108043000,20240108110000,1,cnn.com,https://us.cnn.com/2024/01/08/business/china-uk-mi6-spy-detained-intl-hnk/,1,0,59,21,1,100,2930,-1.29589632829373,,
1150289827,20240108,202401,2024,2024.0219,TWN,TAIWANESE,TWN,,,,,,,,TWNGOV,TAIWAN,TWN,,,,,GOV,,,1,190,190,19,4,-10.0,10,1,10,-2.7027027027027,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Taiwan Strait, Taiwan (general), Taiwan",TW,TW00,24.0,119.0,-2637942,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20240108,https://www.bbc.co.uk/news/business-67909120,20240108063000,20240108063000,1,bbc.co.uk,https://www.bbc.co.uk/news/business-67909120,1,149,243,211,1,100,2117,-2.7027027027027,,
1150307810,20240108,202401,2024,2024.0219,TWN,TAIWANESE,TWN,,,,,,,,TWNGOV,TAIWAN,TWN,,,,,GOV,,,1,190,190,19,4,-10.0,10,1,10,-2.63929618768328,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Chiayi, Jiayi Shi, Taiwan",TW,TW06,23.4792,120.449,-2627339,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20240108,https://www.bbc.com/news/business-67909120,20240108090000,20240108090000,1,bbc.com,https://www.bbc.com/news/business-67909120,1,175,269,237,1,100,2159,-2.63929618768328,,
