GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras,UniqueID
1150841561,20240110,202401,2024,2024.0274,UKR,UKRAINIAN,UKR,,,,,,,,BLR,BELARUS,BLR,,,,,,,,1,112,112,11,3,-2.0,20,2,20,-5.0933932895192,1,Ukraine,UP,UP,49.0,32.0,UP,1,Ukraine,UP,UP,49.0,32.0,UP,1,Ukraine,UP,UP,49.0,32.0,UP,20240110,https://au.news.yahoo.com/belarus-accused-illegally-transferring-ukrainian-184734349.html,20240110200000,20240110200000,1,yahoo.com,https://au.news.yahoo.com/belarus-accused-illegally-transferring-ukrainian-184734349.html,1,42,0,8,1,100,1924,-5.08474576271187,,,QD31PBTU94_CIO5TT4T3O8FACI
1150717954,20240110,202401,2024,2024.0274,AUS,AUSSIE,AUS,,,,,,,,IDN,BALI,IDN,,,,,,,,1,42,42,4,1,1.9,8,1,8,-2.45398773006135,1,Australia,AS,AS,-25.0,135.0,AS,1,Australia,AS,AS,-25.0,135.0,AS,1,Australia,AS,AS,-25.0,135.0,AS,20240110,https://au.news.yahoo.com/heartbreaking-update-after-aussie-dad-suffers-brain-bleed-during-trip-bali-064229206.html,20240110080000,20240110080000,1,yahoo.com,https://au.news.yahoo.com/heartbreaking-update-after-aussie-dad-suffers-brain-bleed-during-trip-bali-064229206.html,1,27,73,65,1,80,899,-2.45398773006135,,,29O3SLA4JZ_5XFWBWBF9S54R98
1150679139,20240110,202401,2024,2024.0274,USA,AMERICAN,USA,,,,,,,,CHN,CHINA,CHN,,,,,,,,1,20,20,2,1,3.0,40,2,40,0.24783147459728,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,20240110,https://edition.cnn.com/travel/american-tourist-visas-china-intl-hnk/,20240110021500,20240110021500,1,cnn.com,https://edition.cnn.com/travel/american-tourist-visas-china-intl-hnk/,1,80,113,165,1,100,5053,0.24783147459728,,,8RTKDEDCVO_J2Q84SIA5EILVY7
1150786838,20240110,202401,2024,2024.0274,EUR,EUROPEAN,EUR,,,,,,,,FIN,FINLAND,FIN,,,,,,,,1,13,13,1,1,0.4,40,4,40,0.495870925309865,4,"Sierra Blanca, NeuquéAR, Argentina",AR,AR15,-38.2,-68.4667,-978671,4,"Sierra Blanca, NeuquéAR, Argentina",AR,AR15,-38.2,-68.4667,-978671,4,"Sierra Blanca, NeuquéAR, Argentina",AR,AR15,-38.2,-68.4667,-978671,20240110,https://www.marketscreener.com/quote/stock/CAPELLA-MINERALS-LIMITED-49477399/news/Capella-Provides-Update-on-Central-Finland-Lithium-Project-45715287/,20240110150000,20240110160000,1,yahoo.com,https://finance.yahoo.com/news/capella-provides-central-finland-lithium-143000257.html,1,61,272,185,1,100,5623,0.119189511323,,,VSBNCBZYSS_4MCISGC3WTNHJK0
1150855620,20240110,202401,2024,2024.0274,SEN,SENEGAL,SEN,,,,,,,,MRT,MAURITANIA,MRT,,,,,,,,1,42,42,4,1,1.9,30,4,30,0.451711863801205,1,Bermuda,BD,BD,32.333333,-64.75,BD,1,Bermuda,BD,BD,32.333333,-64.75,BD,1,Bermuda,BD,BD,32.333333,-64.75,BD,20240110,https://finance.yahoo.com/news/flng-gimi-arrives-gta-field-210200929.html,20240110213000,20240110213000,1,yahoo.com,https://finance.yahoo.com/news/flng-gimi-arrives-gta-field-210200929.html,1,51,40,10,1,100,2481,0.26666666666667,,,YGE4H6FKZV_3L4ZTJWH0IKFAHV
1150665069,20240110,202401,2024,2024.0274,USACOP,UNITED STATES,USA,,,,,COP,,,USA,UNITED STATES,USA,,,,,,,,1,193,193,19,4,-10.0,16,2,16,-5.50062840385421,3,"Baltimore County, Maryland, United States",US,USMD,39.4668,-76.6497,1695314,3,"Baltimore County, Maryland, United States",US,USMD,39.4668,-76.6497,1695314,3,"Baltimore County, Maryland, United States",US,USMD,39.4668,-76.6497,1695314,20240110,https://www.baltimoresun.com/2024/01/09/baltimore-county-police-fatally-shot-a-man-after-a-domestic-disturbance-call-at-a-pikesville-hotel/,20240110004500,20240110013000,1,yahoo.com,https://news.yahoo.com/baltimore-county-police-fatally-shot-235200771.html,1,25,123,52,0,80,1813,-5.1948051948052,,,7AKU9NZCWS_YX8YBZAH1U3VD3X
1150812350,20240110,202401,2024,2024.0274,RUS,RUSSIA,RUS,,,,,,,,UKR,UKRAINE,UKR,,,,,,,,1,192,192,19,4,-9.5,40,5,40,-1.27566465680832,2,"California, United States",US,USCA,36.17,-119.746,CA,2,"California, United States",US,USCA,36.17,-119.746,CA,2,"California, United States",US,USCA,36.17,-119.746,CA,20240110,https://www.marketscreener.com/quote/future/FEEDER-CATTLE-FUTURE-GF-C-4373646/news/DNA-from-ancient-Europeans-reveals-surprising-multiple-sclerosis-origins-45716593/,20240110171500,20240110173000,1,yahoo.com,https://news.yahoo.com/dna-ancient-europeans-reveals-surprising-165435733.html,1,1108,1183,1121,0,80,4508,-1.30813953488373,,,FDWF1Z7UAG_TNN6IYWFNTCNP0L
1150692666,20240110,202401,2024,2024.0274,USA,THE US,USA,,,,,,,,TWN,TAIWAN,TWN,,,,,,,,1,51,51,5,1,3.4,46,6,46,1.2799032720564,4,"Beijing, Beijing, China",CH,CH22,39.9289,116.388,-1898541,1,Taiwan,TW,TW,24.0,121.0,TW,1,Taiwan,TW,TW,24.0,121.0,TW,20240110,https://macaudailytimes.com.mo/dpp-militarizes-taiwan-society.html,20240110041500,20240110191500,1,yahoo.com,https://news.yahoo.com/dozens-us-lawmakers-back-resolution-180300302.html,1,122,219,197,1,80,3395,1.51228733459357,,,R95I4ZFNBP_22EYUZREW8KQXJL
1150774514,20240110,202401,2024,2024.0274,RUSGOVMIL,RUSSIAN,RUS,,,,,GOV,MIL,,RUS,SARATOV,RUS,,,,,,,,1,193,193,19,4,-10.0,8,1,8,-5.07246376811594,1,Russia,RS,RS,60.0,100.0,RS,1,Russia,RS,RS,60.0,100.0,RS,1,Russia,RS,RS,60.0,100.0,RS,20240110,https://news.yahoo.com/drones-reach-russias-engels-airbase-105955177.html,20240110134500,20240110134500,1,yahoo.com,https://news.yahoo.com/drones-reach-russias-engels-airbase-105955177.html,1,296,389,321,1,80,875,-5.07246376811594,,,OO2DTPXNB8_MJ1A7TAPOPD4QOI
1150791010,20240110,202401,2024,2024.0274,IGOEUREEC,THE EU,EUR,EEC,,,,IGO,,,EUR,EUROPEAN,EUR,,,,,,,,1,14,14,1,1,0.0,36,5,36,0.393087423192155,4,"Brussels, Bruxelles-Capitale, Belgium",BE,BE11,50.8333,4.33333,-1955538,1,United States,US,US,39.828175,-98.5795,US,1,United States,US,US,39.828175,-98.5795,US,20240110,https://news.yahoo.com/eu-belong-brussels-woos-taylor-142703996.html,20240110151500,20240110151500,1,yahoo.com,https://news.yahoo.com/eu-belong-brussels-woos-taylor-142703996.html,1,70,192,171,1,80,1675,0.334448160535116,,,YV8K8KTPB2_UOMKS1VPYZH73HS
