GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,EventTimeDate,MentionTimeDate,MentionType,MentionSourceName,MentionIdentifier,SentenceID,Actor1CharOffset,Actor2CharOffset,ActionCharOffset,InRawText,Confidence,MentionDocLen,MentionDocTone,MentionDocTranslationInfo,Extras,UniqueID
1152910730,20240121,202401,2024,2024.0575,DNK,AARHUS,DNK,,,,,,,,GOV,MONARCH,,,,,,GOV,,,1,42,42,4,1,1.9,180,21,161,1.88315589330626,4,"Copenhagen, Køavn*, Denmark",DA,DA05,55.6667,12.5833,-2745636,4,"Copenhagen, Køavn*, Denmark",DA,DA05,55.6667,12.5833,-2745636,4,"Copenhagen, Køavn*, Denmark",DA,DA05,55.6667,12.5833,-2745636,20240121,https://www.dailymail.co.uk/femail/article-12988913/king-frederik-queen-mary-denmark-sunday-cathedral-service.html,20240121143000,20240121223000,1,apnews.com,https://apnews.com/article/denmark-royal-family-king-frederik-church-service-24e516e1cfb3836727dec91a143ffbb4,1,0,44,14,1,80,1921,1.1904761904762,,,X5TJ44OYG1_KY3LG1AW43HG1XY
1152939302,20240121,202401,2024,2024.0575,EGY,EGYPT,EGY,,,,,,,,ETH,ETHIOPIA,ETH,,,,,,,,1,111,111,11,3,-2.0,8,8,8,-3.18811132729107,4,"Somaliland, , Ethiopia",ET,ET00,8.0,45.0,-619953,4,"Somaliland, , Ethiopia",ET,ET00,8.0,45.0,-619953,4,"Somaliland, , Ethiopia",ET,ET00,8.0,45.0,-619953,20240121,https://news.yahoo.com/egypt-leader-el-sissi-slams-190248002.html,20240121193000,20240121220000,1,apnews.com,https://apnews.com/article/egypt-somalia-ethiopia-dispute-somaliland-63d339c238b80c20bb09582d690b86a2,1,0,62,53,0,10,2645,-3.44827586206897,,,TUDPFM9C2S_MH9URQVMPALCEDY
1152834000,20240121,202401,2024,2024.0575,PTY,PRESIDENTIAL CANDIDATE,,,,,,,,,,,,,,,,,,,1,51,51,5,1,3.4,146,33,146,1.60976051725712,2,"Maryland, United States",US,USMD,39.0724,-76.7902,MD,0,,,,,,,2,"Maryland, United States",US,USMD,39.0724,-76.7902,MD,20240121,https://www.wokv.com/news/politics/former-gop/R64WJ4FZ7EV6ZVRSO5A5RHDRYI/,20240121000000,20240121001500,1,apnews.com,https://apnews.com/article/election-campaign-new-hampshire-endorsement-nikki-haley-0fac09e81bdf277f384bae876f41254a,1,11,-1,49,1,40,1526,1.59362549800797,,,IT3MI0A07M_TJA89BC0N89T981
1152937944,20240121,202401,2024,2024.0575,GOV,INTERIOR MINIST,,,,,,GOV,,,MED,NEWSPAPER,,,,,,MED,,,1,10,10,1,1,0.0,110,11,110,-3.0930038398262,4,"Paris, France (general), France",FR,FR00,48.8667,2.33333,-1456928,4,"Paris, France (general), France",FR,FR00,48.8667,2.33333,-1456928,4,"Paris, France (general), France",FR,FR00,48.8667,2.33333,-1456928,20240121,https://infotel.ca/newsitem/eu-france-immigration-protest/cp1224399010,20240121191500,20240121194500,1,apnews.com,https://apnews.com/article/france-immigration-law-protests-macron-constitutional-court-cc3f30b40de37df1ad6b2eeb346c4283,7,1597,1560,1579,1,100,2499,-3.13253012048192,,,Y53DP9DO34_ZN9R3X6RZJHAQKY
1152870579,20240121,202401,2024,2024.0575,RAD,EXTREMIST,,,,,,RAD,,,CVL,IMMIGRANT,,,,,,CVL,,,1,46,46,4,1,7.0,275,27,275,-3.45736025848238,4,"Hannover, Niedersachsen, Germany",GM,GM06,52.3667,9.71667,-1785903,4,"Hannover, Niedersachsen, Germany",GM,GM06,52.3667,9.71667,-1785903,4,"Hannover, Niedersachsen, Germany",GM,GM06,52.3667,9.71667,-1785903,20240121,https://www.thetimestribune.com/news/national_news/ap-news-summary-at-1-46-a-m-est/article_0404ea10-482e-5890-a15b-97e8bf50c32e.html,20240121074500,20240121174500,1,apnews.com,https://apnews.com/article/germany-afd-far-right-protests-extremism-munich-f8298e02a03d74e4dd1576bdb74ef113,2,472,538,492,1,100,3119,-2.90697674418605,,,9UFVOGVVHQ_FXTOU1Z99J66604
1152844584,20240121,202401,2024,2024.0575,USA,UNITED STATES,USA,,,,,,,,,,,,,,,,,,1,13,13,1,1,0.4,4,4,4,-4.35103113595353,1,Guatemala,GT,GT,15.5,-90.25,GT,0,,,,,,,1,Guatemala,GT,GT,15.5,-90.25,GT,20240121,https://www.ktsa.com/some-500-migrants-depart-northern-honduras-in-a-bid-to-reach-the-us-by-caravan/,20240121014500,20240121041500,1,apnews.com,https://apnews.com/article/honduras-migrants-caravan-4f1560601b5cd54383fa16d2f0624b58,4,700,-1,726,0,10,2142,-4.3360433604336,,,NW7LI4898R_NLWQ5H9AZKCQYS1
1152901583,20240121,202401,2024,2024.0575,IDN,INDONESIA,IDN,,,,,,,,,,,,,,,,,,1,43,43,4,1,2.8,166,18,166,-6.92994878839945,4,"Merapi, Indonesia (general), Indonesia",ID,ID00,-2.93333,132.317,-2687817,0,,,,,,,4,"Merapi, Indonesia (general), Indonesia",ID,ID00,-2.93333,132.317,-2687817,20240121,https://infotel.ca/newsitem/as-indonesia-volcano-eruptions/cp1629815107,20240121130000,20240121154500,1,apnews.com,https://apnews.com/article/indonesia-mount-merapi-eruption-e2b8803db1766d91b14da1173e4d9706,1,537,-1,450,1,100,2817,-6.89655172413793,,,VLU6612ZLN_68UVCX6BSC3BPXT
1152948549,20240121,202401,2024,2024.0575,,,,,,,,,,,PSEREB,HAMAS,PSE,,,,,REB,,,1,111,111,11,3,-2.0,88,9,88,-7.62077413509848,0,,,,,,,4,"Jerusalem, Israel (general), Israel",IS,IS00,31.7667,35.2333,-797092,4,"Jerusalem, Israel (general), Israel",IS,IS00,31.7667,35.2333,-797092,20240121,https://www.channel3000.com/news/national-and-world-news/israel-conflict/palestinian-death-toll-in-gaza-surpasses-25-000-while-israel-announces-the-death-of-another/article_1737733c-815b-57f7-b61a-4e34190e8940.html,20240121211500,20240121213000,1,apnews.com,https://apnews.com/article/israel-hamas-war-news-01-21-2024-02caafa092668ecc7ff122229c166807,5,-1,1270,1276,1,100,6634,-7.5984990619137,,,QTPN0Y04IK_W6G9Y2BJ7R7UDM7
1152904394,20240121,202401,2024,2024.0575,CVL,VOTER,,,,,,CVL,,,GOV,PRESIDENT,,,,,,GOV,,,1,51,51,5,1,3.4,108,34,108,-1.16218340574047,3,"Denver, Colorado, United States",US,USCO,39.7392,-104.985,201738,2,"Colorado, United States",US,USCO,39.0646,-105.327,CO,3,"Denver, Colorado, United States",US,USCO,39.7392,-104.985,201738,20240121,https://www.sandiegouniontribune.com/news/nation-world/story/2024-01-21/lauren-boebert-switched-districts-in-a-bid-to-stay-in-congress-winning-over-voters-wont-be-easy,20240121133000,20240121181500,1,apnews.com,https://apnews.com/article/lauren-boebert-district-colorado-republican-election-58cf21682012023f1362a01932909d36,3,823,689,864,1,30,8407,-1.20996441281139,,,P0XRJ16NY8_GUQRE10MX85H47N
1152833007,20230121,202301,2023,2023.0575,USA,BOSTON,USA,,,,,,,,GOVGOV,GOVERNOR,,,,,,GOV,GOV,,1,71,71,7,2,7.4,51,4,51,-3.79461710354684,2,"Massachusetts, United States",US,USMA,42.2373,-71.5314,MA,2,"Massachusetts, United States",US,USMA,42.2373,-71.5314,MA,2,"Massachusetts, United States",US,USMA,42.2373,-71.5314,MA,20240121,https://apnews.com/article/massachusetts-flooding-disaster-aid-7b789ed74d416fde1b5671ce6bae7b86,20240121000000,20240121000000,1,apnews.com,https://apnews.com/article/massachusetts-flooding-disaster-aid-7b789ed74d416fde1b5671ce6bae7b86,2,71,222,208,1,100,1160,-3.74331550802139,,,YKSHUPNT3J_A7S8Q7L889KR2UQ
