UniqueID,Keyword
3VXNYSC9VW_FEEX4YVQ4H6LQN7,'Taiwan' | 'diplomatic allies' | 'Beijing' | 'president' | 'Taipei' | 'Nauru' | 'Micronesian island' | 'China' | 'election results' | 'pro-sovereignty candidate' | 'William Lai' | 'Taiwanese independence' | 'international order' | 'Tien Chung-kwang' | 'one-China principle'
3Z440STF4Z_FY7DACDY1D37ROM,'Balochistan|Pakistan|Iran|Afghanistan|insurgency|militancy|human rights violations|Arabian Sea|Baloch tribe|Pashtuns|China Pakistan Economic Corridor (CPEC)|Belt and Road Initiative|Gwadar|Barrick Gold|Reko Diq|autonomy|Balochistan Liberation Army (BLA)|Balochistan Liberation Front (BLF)|Gaza war|exploitation of resources|independent state|Gen Pervez Musharraf|Nawab Akbar Khan Bugti|Voice for Baloch Missing Persons (VBMP)|Commission of Inquiry on Enforced Disappearances|Supreme Court|Islamabad|BLF and BLA|Iranian Baloch Revolt'
6OIL8124FW_GRRA3LBJ9Z8J4GS,video|played|man|faked|death|US|Scotland|court|Utah|raping|woman|Nicholas Rossi|extradition|Irish orphan|Arthur Knight|video link|Third District Court|suspect|hearsay|Nicholas Alahverdian|extradited|legal battle
6QQB78NJ69_3BENZ8OEYMQMPCA,'US President'|'retaliation'|'Houthis'|'attacks'|'UK defence secretary'|'Iran'|'proxies'|'Middle East'|'cease and desist'|'Yemen'|'Hezbollah'|'Tehran'|'Hamas'|'airstrikes'|'Red Sea'
6RDUEPXQ2E_OTVDRTYA2LNKEG6,Somalia|plane|Ethiopia|officials|self-declared republic|Somaliland|diplomatic row|information minister|BBC|airspace|deal|territory|agreement|1 January|lease|ports|Ethiopian Airlines|sovereign state|aggression|Somali Civil Aviation Authority|SCAA|flight ET8273|international rules|clearance|Hargeisa Airport|flights|Addis Ababa|independence|British protectorate|currency|airspace|US|African Union|territorial integrity|tensions
95NTLS3YF7_MBZAWBAKI2TDZLM,Asda | Tesco | Sainsbury's | Morrisons | Iceland | Aptamil baby formula | Danone | baby milk range | Competition and Markets Authority | baby formula milk | breastfeeding | price reduction | Kris Comerford | cost savings | CMA investigation | formula thefts | cost of living crisis | Aldi | Lidl | baby formula price cut | rising baby milk prices
9CCT9VJ5SM_ZNWN87AGS3L1LA8,video|not be played|US|UK|strikes|Iranian-backed Houthis|Yemen|Merlyn Thomas|BBC Verify|videos|inside Yemen|know so far
9OQDS5AQVM_19UE65B31FTTTB4,British brothers|jailed|Geneva museum|stealing|14th century|Chinese Ming Dynasty antiques|Stewart and Louis Ahearne|aggravated theft|Baur Foundation|Museum of Far Eastern Art|Switzerland|3.5m Swiss francs|damage|power saw|sledgehammer|crowbar|burglary|Daniel Kelly|Geneva's Palais de Justice|Patrick Monney|enrich themselves|Louis Ahearne|Stewart Ahearne|Hong Kong auction house|Metropolitan Police|undercover sting operation|chicken cup|apologies|regrets
A1A6ZMB13U_IWYIMBW92C6ZP67,"ban | XL bully dogs | Scotland | BBC Scotland News | attacks | deaths | UK government | England | Wales | illegal | exemption certificate | Community Safety Minister | Siobhian Brown | Scottish Conservatives | rehoming | legislation | Jamie Greene MSP | policy | tragedy | influx | rehoming purposes | UK laws | permit | insurance | neuter | fee | Staffordshire | Bully Watch | SSPCA | Department for Environment, Food and Rural Affairs | height"
B5MYZYOSEA_KCVLMS5QS6GNTPI,Two British brothers | museum raid | Switzerland | Chinese Ming dynasty artefacts | clear a debt | Museum of Far Eastern Art | Geneva | burglary | 14th Century vases | Stewart and Louis Ahearne | south-east London | theft | trespass | damage to property | extradition | Home Secretary | Patrick Monney | Swiss Prosecutors Office | Geneva Police | Hong Kong | auction house | reconnaissance | passport | CCTV | third person | Renault Captur car | Avis | Geneva Airport | pawn | game of chess | debt | tourist purposes | Champ-Dollon prison | extradition | Ming vase raid
BMQM71O4E4_BR486VMNJJP2ANL,"Tributes | loving father | died | crash | Port Talbot | Jordan Lee Powell | collision | Southville Road | Sandfields | 10:00 GMT | Thursday, 4 January | South Wales Police | investigating | family statement | appealing for witnesses"
CKQLJS1Q7Z_JKKCJTUCLPEZYDW,drone | crashed | HMP Edinburgh | package of drugs | police | incident | Police Scotland | Scottish Prison Service | investigation | Sgt Mark Coull | Longstone Road area | CCTV | dashcam footage | trace those responsible | contact Police Scotland
N61A1ZSRKD_0RVD4N5PI9KA4M2,'icon|Soviet dictator|Joseph Stalin|Russian Orthodox saint|Georgia's main cathedral|Georgian Church|public outcry|blue paint|protest|activist|Patriarchate of Georgia|real stories|St Matrona of Moscow|Holy Trinity Cathedral|Tbilisi|Alliance of Patriots|Kremlin|Giorgi Kandelaki|Nata Peradze|tyrant|Alt-Info|Soviet dictator's legacy|Georgian Dream party|Soviet Past Research Laboratory|Sovlab|totalitarian past|Iosif Dzhugashvili|Gori|Russian revolution|Bolsheviks|USSR|communist state|South Caucasian country|Simon Sebag Montefiore|Bolshevism|Marxism'
PEA62KIZBL_B5XUSS8D63GJ6W0,Prosecutors|British brothers|Switzerland|ban|punishment|museum|Chinese Ming Dynasty artefacts|Geneva|Stewart and Louis Ahearne|gang|burglary|Museum of Far Eastern Art|Marco Rossier|jail|south-east London|Daniel Kelly|reconnaissance|Renault Captur|crime|hotel room|ski masks|14th Century|Hong Kong auction house|passport|undercover sting operation|Metropolitan Police|art buyers|wine cup|Swiss francs|damage|Loris Bertoliatti|power saw|sledgehammer|crowbar|professional gang|Nicola Barry|Suzanne Ahearne|extradition|Patrick Monney|judgement|hearing|debt|extradition|Ming vase raid.
RIISLN6RWM_6XBEF2BNO4Y91CQ,Namibia|Germany|UN|Israel|genocide|Gaza|South Africa|International Court of Justice|ICJ|The Hague|President Hage Geingob|Berlin|Herero|Nama|United Nations Convention|Hamas|Holocaust|famine|disease|Palestinians|Pretoria|BBC World Service - Focus on Africa
SEZQOMWRWB_QCSH1Q3M8BQE98E,Pakistan | Iran | diplomatic ties | Anwaar-ul-Haq Kakar | drone and missile strikes | militant bases | ambassadors | border village | children | Foreign Minister Jilani | mutual trust and cooperation | Middle East | Israel | Hamas | Hezbollah | US forces | UK | Houthis | Yemen | Saravan | terrorist activities | sovereignty | territorial integrity | precision strikes | drones | rockets | long-range missiles | Balochistan Liberation Army | Balochistan Liberation Front | Balochistan | retaliatory strikes | missile capabilities
SICP2HB0BS_1VJULSQCMXH2BNQ,UK government|emergency approval|pesticide|bees|neonicotinoid|sugar beet seeds|Wildlife Trusts|crop virus|Virus Yellows|NFU|sugar industry|thiamethoxam|Wildlife and Countryside Link|British Sugar|gene editing|Farming Minister Mark Spencer|bee-harming pesticide
VFDFW5FZ5Z_IEQ7XWXL395QRDB,Two people | died | incident | Browne's Steakhouse | Main Street | Blanchardstown | Sunday 24 December | fifth person arrested | Republic of Ireland | teenager | police custody | Tristan Sherry | gunman | attack | Jason Hennessy Snr | court charged | murder
XVER5VHG5D_BBK7K0T2A17JR4E,'Scotland's first minister Humza Yousaf|UK parliament|air strikes|Yemen|UK and US strikes|Houthi rebel sites|Rishi Sunak|global shipping|Red Sea|military facilities|military action|UN security resolution|Houthi rebels|Middle East|parliament|Iranian-backed group|self-defence|Houthi officials|US-led strikes|Hamas|Israel|US Air Force|trade route|Ministry of Defence (MoD)|Royal Air Force|drones and missiles|Nadia El-Nakla|Gaza|Al-Nassar Hospital|resettlement scheme|Palestinians|Ukraine Family Scheme visa|UK government|British nationals|Cairo|Rafah crossing|consular assistance|Hamas-run health ministry'
ZUGIDH0ICM_PXAD5KXUXYWDYUN,'US and UK naval forces' | 'Red Sea' | 'air strikes' | 'Houthi rebel targets' | 'Yemen' | 'Tomahawk cruise missiles' | 'fighter jets' | 'Sanaa' | 'Hudaydah' | 'Iran-backed group' | 'commercial vessels' | 'Hamas' | 'Israel' | 'Gaza Strip' | 'drones and missiles' | 'logistical hubs' | 'air defence systems' | 'arms depots' | 'US President Joe Biden' | 'Reuters news agency' | 'Australia' | 'Bahrain' | 'Canada' | 'Netherlands' | 'Mohammed Abdulsalam' | 'Hezbollah' | 'Gulf of Aden' | 'RAF Typhoon jets' | 'Akrotiri' | 'Cyprus' | 'Paveway bombs' | 'BBC' | 'UK Prime Minister Rishi Sunak' | 'HMS Diamond' | 'International Chamber of Shipping' | 'southern tip of Africa'
367RGPXFUR_SWSAT9PYSURGIXL,'Two people|died|incident|Browne's Steakhouse|Main Street|Blanchardstown|Sunday 24 December|fifth person arrested|restaurant|Republic of Ireland|teenager|police custody|Tristan Sherry|gunman|stab wounds|Jason Hennessy Snr|Three men|court|charged|murder|fourth man|arrested|released'
6G6YFZQ8D6_04AOM5IUYWYIARN,'US and UK naval forces' | 'Red Sea' | 'air strikes' | 'Houthi rebel targets' | 'Yemen' | 'Tomahawk cruise missiles' | 'fighter jets' | 'Sanaa' | 'Hudaydah' | 'Iran-backed group' | 'commercial vessels' | 'Hamas' | 'Israel' | 'Gaza Strip' | 'drones and missiles' | 'logistical hubs' | 'air defence systems' | 'arms depots' | 'US President Joe Biden' | 'Reuters news agency' | 'Australia' | 'Bahrain' | 'Canada' | 'Netherlands' | 'Houthi spokesman Mohammed Abdulsalam' | 'Iran' | 'Lebanese armed group Hezbollah' | 'RAF Typhoon jets' | 'Akrotiri' | 'Cyprus' | 'Paveway bombs' | 'BBC defence correspondent Jonathan Beale' | 'UK Prime Minister Rishi Sunak' | 'HMS Diamond' | 'US warships' | 'International Chamber of Shipping' | 'southern tip of Africa'
