UniqueID,Title,Author,PTime,DTime,MentionSourceName,MentionIdentifier,Content
0EYCY9EKFU_K42J4W33H5OTGHN,"Human smuggling: ED carries out search operations at 22 locations in Delhi, Gujarat","ANI 21st January 2024, 22:37 GMT+11","ANI 21st January 2024, 22:37 GMT+11",20240121,bignewsnetwork.com,https://www.bignewsnetwork.com/news/274101899/human-smuggling-ed-carries-out-search-operations-at-22-locations-in-delhi-gujarat,"New Delhi [India], January 21 (ANI): The Directorate of Enforcement (ED) has carried out search operations on January 19 and 20, 2024, at 22 locations in Ahmedabad, Delhi, Surat and Mehsana, linked to the key conspirators Bobby alias Bharatbhai Patel, Charanjit Singh and others under the provisions of the Prevention of Money Laundering Act (PMLA), 2002, in the case of illegal foreign immigration, said the agency in a press release issued on Sunday.
ED initiated an investigation on the basis of two FIRs registered by Gujarat Police under various sections of the Indian Penal Code and Passports Act for their involvement in sending Indian citizens abroad illegally since 2015.
The ED investigation revealed that the accused persons were taking huge consideration for sending Indian citizens abroad illegally on the basis of bogus or fabricated documents for getting visas to different countries with duplicate or bogus passports used as genuine by impersonating the passengers wrongly, said the agency.
For this purpose, they used to collect Rs 60 to 75 lakh from one passenger, Rs 1 to 1.25 crore from a couple (husband and wife) and Rs 1.25 to 1.75 crore if children were also accompanied, from the passengers desirous of going abroad, said ED.
According to the ED, during the search operations, cash amounting to Rs. 1.5 crore, approximately in INR and foreign currencies equivalent to Rs. 21 lakh were seized. Further, various other incriminating evidence in the form of digital as well as documentary evidence has been recovered and seized.
Bobby Patel was also involved in the 2022 Dingucha case, where a family of four was frozen to death while attempting to illegally enter the United States from Canada. Further investigation is in progress, said ED. (ANI)"
0T5ZEXT78S_5B9YTICINV1KWBH,Police seize illegal weapons in Northern Israel,"ANI 21st January 2024, 20:37 GMT+11","ANI 21st January 2024, 20:37 GMT+11",20240121,bignewsnetwork.com,https://www.bignewsnetwork.com/news/274101830/police-seize-illegal-weapons-in-northern-israel,"Tel Aviv [Israel], January 21 (ANI/TPS): In a crackdown on illegal weapons, Israeli police seized numerous guns and ammunition in raids across northern Israel over the weekend, the police announced on Sunday morning.
Security forces specifically targeted criminal organizations and individuals involved in the illicit arms trade.
Several compounds were raided in the areas of Nazareth and Deir Hanna. Kalashnikovs, two M-16 rifles, and other guns were seized, along with large amounts of ammunition and cartridges.
The raids come on the heels of police raids in Nazareth where two grenades and a Glock pistol were seized.
In 2023, a record number of 244 Arab Israelis were murdered, more than double the 120 homicides in 2022, according to the Abraham InitiativeThe Abraham Initiative is a non-profit organization that promotes Arab integration into Israeli society.
Last year's spike in violence is attributed to organized crime groups fighting turf battles and trying to eliminate rivals. Arab criminal organizations have been involved in extortion, money laundering, and trafficking in weapons, drugs and women.
Police and government officials are under pressure to address the violence. (ANI/TPS)"
0TWZR3MGVL_KOCMW2MOKY6XNM0,"""Entire city is filled with energy...."": Ravi Kishan on the beauty of Ayodhya ahead of Pran Pratishtha ceremony","ANI 22nd January 2024, 01:55 GMT+11","ANI 22nd January 2024, 01:55 GMT+11",20240121,bignewsnetwork.com,https://www.bignewsnetwork.com/news/274102007/entire-city-is-filled-with-energy-ravi-kishan-on-the-beauty-of-ayodhya-ahead-of-pran--pratishtha-ceremony,"Ayodhya (Uttar Pradesh) [India], January 21 (ANI): Actor and politician Ravi Kishan spoke about the Pran Pratishtha ceremony of the grand Ram Temple in Ayodhya and how the city is prepared for the mega auspicious event.
BJP MP Ravi Kishan said, ""It feels so good. The city is illuminated. I would like to tell the entire India, the entire world - not tomorrow but definitely come here after that. There is an atmosphere of 'jeevit moksha' here. This entire city is filled with energy...It is very beautiful that Lord Ram provided employment to lakhs of people and made this place grand...""Previously, in an interview with ANI, he shared his perspective about those who have declined the invitation to the 'Pran Pratishtha' ceremony, saying ""Yes, I heard about it (declining the invitation to the 'Pran Pratishtha' ceremony ). The opposition cries because Lord Ram has sent them on 'vanvaas' for 30-40 years...""Talking about the Pran Pratishtha ceremony of Ram Temple, he added, ""After the struggle of 500 years in which many saints and sages were killed, this day has finally come. We are fortunate to be part of it. It is going to be a grand celebration that the entire world will watch.""Earlier, Ravi Kishan talked about his latest music video 'Ayodhya Ke Shri Ram'. He has done the rap for the devotional track.Speaking to ANI on the music video, he said, ""This song is a small tribute to Lord Ram from us. My fans are fond of my voice and I am sure they will love this track. Moreover, it relates to youth because of the fusion music and it is very rare to find rap in such devotional tracks. So, people will shower their love on it. Or honourable Prime Minister has also urged everyone to share their artistic contribution using hashtags which has also helped us in making it popular. Some tracks become immortal and I feel this is one among them. It will be played everywhere.""On the consecration of Ram Mandir, he added, ""We have been waiting for it for 500 years. Countless saints and sages were killed and we faced a lot. But, finally all thanks to PM Modi and our party that finally this moment has come for which each one of us has been waiting for so long. It is going to be a grand celebration that the entire world will watch. I feel lucky to be part of it.""Pran Pratishtha of Lord Ram's idol is scheduled at the grand temple in Ayodhya at 12:30 PM on January 22, in the presence of Prime Minister Narendra Modi.
Earlier, the new idol, sculpted by Arun Yogiraj, was placed inside the sanctum santorum of the temple. The idol is 51 inches tall and weighs 1.5 tonnes. The idol portrays Lord Ram as a five-year-old child standing on a lotus also crafted from the same stone.
Prime Minister Narendra Modi will perform rituals marking the 'Pran Pratishtha'. A team of priests led by Lakshmikant Dixit will lead the main rituals. Several celebrities and noted personalities have been invited to the ceremony. (ANI)"
11Q3N76A3I_3U65I94N7YVV9A0,Assam: 721 Karbi men set new stilt-walking world record,"ANI 22nd January 2024, 05:27 GMT+11","ANI 22nd January 2024, 05:27 GMT+11",20240121,bignewsnetwork.com,https://www.bignewsnetwork.com/news/274102198/assam-721-karbi-men-set-new-stilt-walking-world-record,"Karbi Anglong (Assam) [India], January 21 (ANI): A total of 721 Karbi men in Bokolia, Karbi Anglong, used to the traditional sport of Kengdongdang, set a new Guinness world record on Sunday. The sport entails racing to a finishing line on bamboo stilts.
The stilt-walkers gathered at the Bokolia Bypass near Diphu, the headquarters of central Assam's Karbi Anglong, on Sunday to move in a 2 km-long single line for 10 minutes to set the world record.
""The benchmark was 250 people but 721 people participated to set the new record for the longest line of people walking on stilts,"" Rishi Nath, the official adjudicator of the Guinness Book of World Records, said after the event.
He later handed over a certificate of acknowledgement to Tuliram Ronghang, the Chief Executive Member of the Karbi Anglong Autonomous Council (KAAC), which organised the event as part of the 50th Karbi Youth Festival in Diphu, the district headquarters, in collaboration with the Karbi Cultural Society.
""Taking our traditional sport to the global stage is a great achievement,"" Ronghang said.
He said the feat was achieved because the Karbi people have kept many traditional sports, such as Kengdongdang, alive.
""There was no such record. The earlier stilt-walking record was by a group of 956 people in Sweden but not in one single line,"" Dilip Kathar, the central committee member of the Karbi Cultural Society said. (ANI)"
1229195WE1_4XUNF7N4QWEL884,Annamalai leads temple cleaning drive in Tamil Nadu upholding PM Modi's clarion call,"ANI 21st January 2024, 16:18 GMT+11","ANI 21st January 2024, 16:18 GMT+11",20240121,bignewsnetwork.com,https://www.bignewsnetwork.com/news/274101732/annamalai-leads-temple-cleaning-drive-in-tamil-nadu-upholding-pm-modi-clarion-call,"Rameshwaram (Tamil Nadu) [India], January 21 (ANI): In a proactive move, BJP Tamil Nadu president K Annamalai launched a drive to clean temples and religious places across the state following the directive of Prime Minister Narendra Modi ahead of the Pran Pratishtha of Ram Lalla in Ayodhya on January 22.
Annamalai participated in the cleanliness drive at Kothandaramaswamy Temple in Rameshwaram on Sunday. He was accompanied by other leaders of BJP and citizens.
""Ahead of the consecration of the idol of Lord Sri Rama in Ayodhya tomorrow, January 22, brothers and sisters of BJP Tamil Nadu are engaged in cleaning 5,000 places of worship across Tamil Nadu as instructed by our Prime Minister of India,"" Annamalai said in a post on X.
""Today, at Rameswaram Kalyana Kothanda Rama Swamy Temple, BJP State General Secretaries Karuppu Muruganandham, Pon V Balaganapathy, AP Muruganandam, State President of Spirituality and Temple Development Division, M Nachiappan, Ramanathapuram District President, Dharani R Murugesan and BJP Tamil Nadu with brothers and sisters, were engaged in temple cleaning,"" he added.
The BJP chief further expressed satisfaction at the widespread participation and acknowledged the collective effort of the public and BJP members across the state.
""It is heartening to see that all over Tamil Nadu, the public along with BJP brothers and sisters are participating in this mission and cleaning temples,"" he said.
Earlier, Prime Minister Narendra Modi cleaned the premises of the Kalaram Temple in Maharashtra's Nashik as part of the Swachchata Abhiyan campaign.
Visuals showed the Prime Minister with a mop and bucket mopping the floor of the temple.
Swachhata Abhiyan took new momentum after Prime Minister Narendra Modi exhorted people to conduct a cleanliness drive at religious places as part of the campaign. His appeal came ahead of the Ram Mandir Pran Pratishtha in Ayodhya on January 22.
The campaign, which will continue till the temple ceremony, has been taken forward by ministers in several states.
Delivering his inaugural address at the 27th National Youth Festival in Nashik, the Prime Minister reiterated his call for cleanliness campaigns, urging citizens to clean pilgrimage places and temples across the country on 'Pran Pratishtha' day of Ram Lalla in Ayodhya.
The grand occasion on January 22 will witness the participation of dignitaries and people from all walks of life.
Prime Minister Narendra Modi is set to attend the installation of the idol of Ram Lalla at the grand temple on January 22. (ANI)"
1BUIL8GEBH_IGV031FFIWMBGFG,Iranian Soldier Kills 5 Comrades Where IS Attack Killed Dozens,"Voice of America 22nd January 2024, 09:36 GMT+11","Voice of America 22nd January 2024, 09:36 GMT+11",20240121,bignewsnetwork.com,https://www.bignewsnetwork.com/news/274102287/iranian-soldier-kills-5-comrades-where-is-attack-killed-dozens,"Tehran, Iran - An Iranian soldier opened fire on fellow soldiers Sunday, killing five of them in the southeastern city of Kerman, where 94 people were killed in a bombing attack earlier this month, Iranian state TV reported.
State TV said the shooting happened when the soldier arrived at a barracks dormitory and opened fire on the resting soldiers. It said the motive wasn't immediately clear and the suspect, who wasn't identified, was at large. No other details were released.
The report said the attack took place in Kerman some 830 kilometers (515 miles), southeast of the capital Tehran.
Kerman was the scene of two deadly explosions earlier this month that killed 94 people and wounded hundreds of others during an anniversary ceremony for the death of an Iranian general killed in a 2020 U.S. drone strike in Iraq. The Islamic State group claimed responsibility.
Similar shootings at military bases have been occasionally reported in Iran.
In 2022, a soldier killed another soldier and three policemen at a roadside police station in the country's south.
Military service of up to 24 months is mandatory for men aged 19 and above in Iran."
1FVI3X8WVQ_9PCOM3F3V649EVC,Nepal: Devotees offer prayers at Maa Janaki Mandir ahead of 'Pran Pratishtha',"ANI 21st January 2024, 20:55 GMT+11","ANI 21st January 2024, 20:55 GMT+11",20240121,bignewsnetwork.com,https://www.bignewsnetwork.com/news/274101836/nepal-devotees-offer-prayers-at-maa-janaki-mandir-ahead-of-pran-pratishtha,"Kathmandu [Nepal], January 21 (ANI): Devotees offered prayers at Maa Janaki Mandir in Nepal's Janakpur ahead of the Pran Pratishtha ceremony at Ram temple in Ayodhya on Sunday.
Meanwhile, devotees from Nepal have also reached Ayodhya to witness the historic Pran Pratishtha Ceremony of Shree Ram Lalla. The ceremony will take place on January 22.
On Shri Ram Mandir Pran Pratishtha Ceremony, Manoj Kumar Sah, mayor of Nepal's Janakpurdham, told ANI, ""I congratulate the people of India, as well as those in Ayodhya, on this auspicious occasion. As India and Nepal share civilizational ties, and as the time of Pran Pratishtha of Shri Ram Lalla is coming closer, people are very excited in Janakpur of Nepal where Lord Ram's in-laws house is... People are coming for worship..!""He said, ""So, for the Pran Pratishtha which will take place on January 22, all of us here in Janakapurdham will light diyas as a part of Deepotsav to celebrate this special occasion with great fervour.""""I congratulate the Indian government and Prime Minister Narendra Modi on the occasion,"" the mayor said, as he extended his wishes to New Delhi.
As the Ram temple Pran Pratishtha ceremony draws near, devotees from Nepal reached Ayodhya from Nepal to witness the historic occasion.
On being able to attend the Pran Pratishtha ceremony of Ram Lalla in Ayodhya Ram temple tomorrow, the devotees from Nepal, who arrived in Ayodhya on January 19, said that they are very happy to be here.
While speaking to ANI, one of the devotees said, ""We are from Nepal. We are six people, and we came here the day before yesterday. We feel so good to be here. It was 30 years ago when I came here; it was very complicated back then. But now that the temple is constructed, we are very happy.""""We are all bestowed with the blessings of Lord Ram. We are extremely happy,"" he added.
As the countdown for the Pran Pratishtha ceremony of Ram Mandir has begun, along with Ayodhya, the Janakpurdham in Nepal, the maternal home of Goddess Sita is also brimming with happiness and enthusiasm, waiting for the occasion with high fanfare and gaiety, organising a slew of events.
Hymns of Lord Ram and Sita are echoing in the city around the clock.
The Janaki Temple is decked up with lights, and enthusiasm can be seen on the faces of every Janakpurdham residents.
The ceremony scheduled for January 22 will witness the installation of the idol of Ram Lalla at the grand temple. It is expected to be attended by hundreds of officials, including Indian Prime Minister Narendra Modi.
The trust has also invited 4,000 saints of all sects for the ceremony.
While Prime Minister Narendra Modi will preside over the event, thousands of other people including politicians, saints, and celebrities, have been invited to the ceremony.
The ceremonial journey leading up to the Pran Pratishtha commenced on January 16, 2024, Tuesday.
Earlier, on Thursday, January 19, the idol of Shri Ram Lalla, carved by renowned Mysuru sculptor Arun Yogiraj, was placed inside the sanctum sanctorum of the temple.
Covered with a veil, the first photo of the idol was revealed during the placement ceremony in the sanctum sanctorum on Thursday. (ANI)"
1HGE2VEBX9_SV0M52UWT6QO7O9,Republican rival questions Trump's mental fitness,"RT.com 22nd January 2024, 05:13 GMT+11","RT.com 22nd January 2024, 05:13 GMT+11",20240121,bignewsnetwork.com,https://www.bignewsnetwork.com/news/274102183/republican-rival-questions-trumps-mental-fitness,"Nikki Haley expressed doubt about the GOP frontrunner's state of mind after he confused her with Democrat Nancy Pelosi
Republican presidential hopeful Nikki Haley has questioned rival candidate Donald Trump's mental fitness after he appeared to confuse her with former US House Speaker Nancy Pelosi in a campaign speech on Friday.
Like many in his party, Trump has blamed Pelosi for the riot at the US Capitol on January 6, 2021, arguing she deliberately left the building under-protected despite his offer to deploy the National Guard for enhanced security.
The presidential frontrunner ""mentioned me multiple times in that scenario,"" Haley told supporters at a campaign event in Keene, New Hampshire, on Saturday. ""They're saying he got confused, that he was talking about something else, he's talking about Nancy Pelosi.""
""The concern I have is - I'm not saying anything derogatory - but when you're dealing with the pressures of the presidency, we can't have someone else that we question whether they're mentally fit to do this,"" she explained.
Trump ""made a pretty apparent gaffe last night,"" Haley's campaign manager, Betsy Ankney, agreed during a Bloomberg News event on Saturday, referring to the former president's apparent confusion of one of his chief Democratic nemeses with the woman he appointed to serve as ambassador to the United Nations.
Speaking at Friday's rally, Trump accused his political enemies of having ""destroyed all of the information"" from January 6 ""because of lots of things like Nikki Haley is in charge of security."" He insisted that ""we offered her 10,000 people, soldiers, National Guard, whatever they want. They turned it down.""
Trump has previously claimed he warned Pelosi about the huge crowds poised to descend on Washington DC to protest the certification of then-president-elect Joe Biden's victory. The ""Stop the Steal"" protest turned violent after police clashed with demonstrators, leaving four people dead.
At 77, Trump is just a few years younger than his chief rival, incumbent leader Biden. He insisted on Saturday that he had ""aced"" a recent cognitive test, while his senior campaign adviser, Chris LaCivita, downplayed the Haley/Pelosi mix-up, calling it a ""distinction without a difference - it's Nikki and Nancy"" in comments to reporters.
Trump handily won the Iowa caucuses earlier this month and continues to dominate the party's nominating contest with a double-digit lead in most polls. Haley, however, has seen her poll numbers surge with support from Republican power brokers who don't want to see Trump return to the White House, elevating her to second place ahead of New Hampshire's Tuesday primary vote.
The former South Carolina governor has called for ""mental competency tests"" for aging politicians in a dig at both Trump and Biden. The latter's own abundance of incoherent ""gaffes"" have senior Democrats concerned about his chances of winning - and surviving - a second term.
(RT.com)"
1SCL5B5U4U_TASVPVX6JM6KQE9,Rajasthan: Grand 'Kalash Yatra' held in Jaipur a day before Pran Prartishtha ceremony of Ram Temple,"ANI 22nd January 2024, 01:55 GMT+11","ANI 22nd January 2024, 01:55 GMT+11",20240121,bignewsnetwork.com,https://www.bignewsnetwork.com/news/274102010/rajasthan-grand-kalash-yatra-held-in-jaipur-a-day-before-pran-prartishtha-ceremony-of-ram-temple,"Jaipur (Rajasthan) [India], January 21 (ANI): With just a day left for the Pran Prartishtha ceremony of the Ram Temple in Ayodhya on January 22, a grand 'Kalash Yatra' was conducted in Rajasthan's Jaipur.
The procession started at Moti Dungri Ganesh Temple and ended at Raja Park Shri Ram Temple in Jaipur. Thousands of women became a part of this grand kalash yatra.
Former minister and present MLA Kalicharan Saraf said, ""The entire country is waiting for the grand Ram Mandir conseceration ceremony on January 22. Jaipur has become Rammaya. Many women have gathered to carry out this kalash yatra in the city today.""Rajasthan MLA Kalicharan Saraf lashed out at the Congress party over boycotting the Ram Temple inauguration ceremony.
""It is not the fault of the Congress leaders who are making negative statements about the Ram Temple because their leaders do not believe in the Hindu religion. Their main leaders belong to the Christian religion. That is why the other Congress leaders are acting like that. The Congress is in dire straits because of such actions.""Rajasthan MLA Kalicharan Saraf highlighted that people from the Malviya Nagar assembly constituency of Rajasthan will be a part of the grand ceremony on January 22.
""Our wait of 500 years will be over and we will go to Ayodhya. Prime Minister Narendra Modi will attend the event and thousands of people from Malviya Nagar assembly constituency will also reach to witness the grand Ram Temple consecration ceremony.""Earlier, the new idol, sculpted by Arun Yogiraj, was placed inside the sanctum santorum of the temple.
The idol is 51 inches tall and weighs 1.5 tonnes. The idol portrays Lord Ram as a five-year-old child standing on a lotus also crafted from the same stone.
Prime Minister Narendra Modi will perform rituals marking the 'Pran Pratishtha'.
A team of priests led by Lakshmikant Dixit will lead the main rituals. Several celebrities and noted personalities have been invited to the ceremony. (ANI)"
1SYI7YFIGI_0LXCRYHQEHS79OJ,President Raisi: Iran After Closer Ties with Europe,"Tasnim 22nd January 2024, 05:37 GMT+11","Tasnim 22nd January 2024, 05:37 GMT+11",20240121,bignewsnetwork.com,https://www.bignewsnetwork.com/news/274102210/president-raisi-iran-after-closer-ties-with-europe,"TEHRAN (Tasnim) - Iran is resolved to broaden relations with European states on the basis of mutual respect, President Ebrahim Raisi said.
- Politics news -
In a meeting with Belgium's new ambassador to Tehran on Sunday, Raisi said, ""The Islamic Republic of Iran is determined to expand relations with the European countries on the basis of mutual respect and interests unless a country seeks antagonism towards Iran.""
He advised European states to pursue their interest and regulate their relations independently of the US, which he said has been totally disgraced in the world because of the history of its policies, particularly the full support for and complicity in the Israeli crimes in Gaza.
For his part, the new ambassador expressed Belgium's willingness to broaden ties with Iran.
He also expressed hope he would be able to resolve the challenges and help strengthen ties with Iran in various areas during his tenure."
