UniqueID,Title,Author,PTime,DTime,MentionSourceName,MentionIdentifier,Content
04QHR4H8GE_6FOZINSXMKMQSAN,Paddy McGuinness takes a break from bitter divorce proceedings as he enjoys luxury trip to Dubai,James BrinsfordSenior Showbiz Reporter,"15:06, 21 Jan 2024",20240121,mirror.co.uk,https://www.mirror.co.uk/3am/celebrity-news/paddy-mcguinness-takes-break-bitter-31932132,"Paddy McGuinness has been taking time away from the upcoming divorce proceedings by sunning himself in Dubai ahead of the release of his mockumentary that will give a different view on his break-up from Christine McGuinness.
The comedian has been quiet on social media in recent weeks but has apologised to his followers for his ""radio silence"" during that time by sharing snaps of him soaking up the rays, with a beer in hand, a far cry from the winter snow back in the north east of England, where he lives.
Paddy was certainly making sure that he brought down the stress levels during his five days in Dubai, with him posting a photo of him relaxing in a swimming pool while another showed him stood with a friend, holding a can of beer, with the Dubai skyline rising up behind them.
Captioning the snaps, Paddy wrote on Instagram: ""Apologies for radio silence but I’m just back from enjoying 5 days of winter Sun in Dubai!!! Full report coming soon but it was gorgeous!"" It was met with plenty of messages of positivity from his fans, with one commenting: ""Oooh lovely place for winter sun""
The break comes after Paddy filmed a mockumentary which has left his estranged wife Christine ""devastated"" as she feels their divorce will be the butt of the jokes in the show. A friend told The Sun that she was ""completely broken over the divorce,"" and that Paddy had not let her know about his plans to write a comedic look at his life.
Comedian Josh Pugh, 34, plays a version of himself in the pilot, and said that an Airbnb had been used as Paddy's house for the filming. Speaking about comedy, Josh said: "" Paddy McGuinness is doing a spoof documentary of his life and in that documentary he is mentoring me as a stand-up. It’s about his divorce. It was a very strange couple of days.”
The divorce could get a little difficult with the couple both employing top lawyers to represent them as Christine looks for a multi-million pound settlement as well as keeping their £4 million family home, for her and their three children. She has instructed Catherine Bedford, who helped land a huge payout for Ant McPartlin's ex-wife Lisa Armstrong - securing her a reported £31 million from the ITV star presenter.
Follow Mirror Celebs on   Snapchat   ,   Instagram   ,   Twitter   ,   Facebook   ,   YouTube   and   Threads   ."
1SMAC6AIJS_L63830PC6X33I3L,BBC Strictly Come Dancing stars party until 3am just hours before they perform live shows,Lucretia MunroTV Reporter,"09:40, 21 Jan 2024",20240121,mirror.co.uk,https://www.mirror.co.uk/tv/tv-news/bbc-strictly-come-dancing-stars-31930819,"Strictly Come Dancing stars let their hair down in style when they partied until 3am - just hours before they were due to take to the stage for the launch of the live tour.
The stars, including winner Ellie Leach and EastEnders star Bobby Brazier were at the Malmaison Hotel in Birmingham, where bosses hired the entire mezzanine floor for a whopping £3,000.
All the celebrities that took part in the BBC dance show were treated to a dinner of steak and seabass before enjoying a free bar of cocktails and beer. And according to reports, the party was in full swing as they played songs from a playlist on a phone.
An onlooker told The Sun: ""They’d spent all evening dancing at the Arena but that didn’t stop them. The hotel bar had completely closed and all of the guests were in bed but they were still going at 3am."" And in true professional style, their late night did little to deter them from putting on a stellar performance the following day for the matinee show at 2.30pm and the evening show at 7pm.
One matinee audience member attested to the stars putting on a ""brilliant"" and ""professional"" performance. The cast included host Janette Manrara as well as judges Shirley Ballas, Craig Revel Horwood and Anton Du Beke. Among them were also Angela Rippon, along with her professional dance partner Kai Widdrington, Angela Scanlon with Carlos Gu, Annabel Croft with Graziano Di Prima, Krishnan Guru-Murthy with Jowita Przystal, and Layton Williams with Nikita Kuzmin.
Ellie, who was crowned winner last year along with her dance partner Vito Coppola, recently revealed that the delicate writing on her trophy had snapped off - but her dad came to her rescue and fixed it. She said: ""He took it into the shed, he brought it back, and now it is the centrepiece of the dining table.” She added: “I think after the tour, I will keep a pair of shoes as a little memory.”
Following the live shows, Ellie claimed to feel ""overwhelmed"" after the gruelling series. Taking to social media, she posted: ""I think that it is just a change, I don’t know what it is, obviously it is not something I am used to. Yesterday was an amazing experience and I am really, really excited to be doing the tour.”
During the series, Ellie and Vito became the subject of much speculation due to their close bond - with many claiming their chemistry was undeniable. But now, months on, the pair have confirmed the status of their close bond. Ahead of the Strictly Come Dancing Live tour, while speaking exclusively to The Mirror, Vito said: ""We have a great relationship and honestly when you just find people, not just me and Ellie but their family which I love. You just find these people that you think are going to stay in my life forever, in each others lives forever. And all the family and the dogs.""
Ellie added: ""And the dogs, yes Rufus!"" Vito continued: ""We are going no where, don't worry I am going to annoy you every single day, every week and every single year."" When asked by The Mirror if they mean as friends, Ellie replied: ""Yes,"" as Vito added: ""Yes as good friends."" The Mirror has contacted the BBC for a comment.
Follow Mirror Celebs on Snapchat, Instagram, Twitter, Facebook, YouTube and Threads"
22LUVEEJMM_HE7IZIOS9AOIJRI,Royal aides reveal William and Kate's new eight-word motto after Princess of Wales' surgery,Antony Clements-ThrowerNews Reporter,"08:00, 21 Jan 2024",20240121,mirror.co.uk,https://www.mirror.co.uk/news/royals/kate-middleton-surgery-prince-william-31930672,"The Princess of Wales’ sudden spell in hospital has given rise to a new motto for the family, according to royal sources.
Kate, 42, was admitted to The London Clinic on Tuesday for planned abdominal surgery which was successful. The operation is expected to keep the royal off her feet from duties until at least Easter time. The exact procedure the future queen underwent is currently unknown.
The Princess will likely between two and three months recuperating, and is not expected to return to public duties until after Easter based on current medical advice. Prince William, 41, is also to pause official duties while his wife is in hospital and will combine being at Kate’s side with caring for their three children, Princes George and Louis and Princess Charlotte.
Aides for the pair have revealed their current mood has given rise to a new motto for the time being, according to the Sunday Times, of: “100 per cent family first, day job second.” The source added to the publication: “The kids are always at the centre of their universe. That will continue to be the case. They want to make sure they have as much normality as possible going forwards.""
The King, also set for a spell on the sidelines with a procedure on an enlarged prostate planned, is said to support his son’s commitment to his wife over royal duties - for the time being.
Kensington Palace’s statement this week when Kate went into hospital read: “Her Royal Highness The Princess of Wales was admitted to The London Clinic yesterday for planned abdominal surgery. The surgery was successful and it is expected she will remain in hospital for ten to fourteen days, before returning home to continue her recovery. Based on the current medical advice, she is unlikely to return to public duties until after Easter.
“The Princess of Wales appreciates the interest this statement will generate. She hopes that the public will understand her desire to maintain as much normality for her children as possible; and her wish that her personal medical information remains private.
“Kensington Palace will, therefore, only provide updates on Her Royal Highness’ progress when there is significant new information to share. The Princess of Wales wishes to apologise to all those concerned for the fact she has to postpone her upcoming engagements. She looks forward to reinstating as many as possible, as soon as possible.”"
2J8ZOIUWNG_ND37C3Z27EVDP7G,"Nine deadly viruses most likely to spark pandemic – including Covid, Ebola and even SARS",Graeme MurrayNews Reporter,"07:13, 21 Jan 2024",20240121,mirror.co.uk,https://www.mirror.co.uk/news/world-news/nine-deadly-viruses-most-likely-31904638,"Health experts have come together to talk about deadly viruses most likely to spark huge pandemic threats.
They have gathered in Switzerland to consider Disease X, which is a hypothetical but unknown pathogen. The World Health Organization (WHO) said such a disease could result in 20 times more deaths than Covid-19 pandemic. It was described “as infectious as measles with the fatality rate of Ebola”.
Kate Bingham, a former chair of the UK vaccine taskforce, says Covid will be looked back on as a ""walk in the park"" because the condition is so serious.
She told the MailOnline: ""In a sense, we got lucky with Covid-19, even though it caused 20million or more deaths worldwide. The point is that the vast majority of people infected with the virus managed to recover.”
She added: ""Imagine Disease X is as infectious as measles with the fatality rate of Ebola [67 per cent]. Somewhere in the world, it’s replicating; sooner or later, somebody will start feeling sick. We need to take the first steps in dealing with the next pandemic right now - and that involves putting money on the table.”
WHO has compiled a list of viruses which could affect humans, known as the nine “priority pathogens”. They pose the ""greatest public health risk due to their epidemic potential"".
Ebola and Marburg were included in the priority diseases by the WHO. They are highly infectious viruses carried by bats which kill. A tick-borne virus Crimean-Congo haemorrhagic fever (CCHF) is prominent in warmer climates, such as Africa, the Balkans, the Middle East and Asia.
Lassa fever is an acute viral haemorrhagic illness which can cause internal bleeding and affect multiple organ system. Those who contract the bug have usually been exposed to food or items covered in rat urine or faeces. It is from the same family as Ebola, albeit not as deadly, but has become endemic in a number of West African countries.
Another condition on the watch list is Lassa Fever. Most people with illness make a full recovery, but some people can get severely ill. Fever physical fatigue, nausea, vomiting, diarrhoea, headaches, abdominal pains or sore throat are among the symptoms.
Severe acute respiratory syndrome (SARS) is a viral respiratory caused by the coronavirus, which also caused Covid-19. It affects the airways in the lungs and ailments can include a headache, body aches, mild respiratory symptoms, possible diarrhoea, an eventual dry cough, and pneumonia.
It's passed on through respiratory droplets produced when a person with the virus coughs or sneezes, or by contact with objects or surfaces containing the virus. SARS showed an infection can quickly spread in its first reported outbreak in Asia in February 2003. A global outbreak in 2003 was contained, but a total of 8,098 people worldwide became sick and 774 people died.
Middle East respiratory syndrome coronavirus (MERS), is passed to to humans via camels, which earned it the name camel flu. Cases are more common in the Arabic world, but they have emerged elsewhere including one case in the UK in 2018.
MERS was first found by scientists in Saudi Arabia in 2012, sparking more than 2,605 infections and 936 deaths. And the condition we are most familiar with is Covid-19, which was caused by the SARS-CoV-2 virus, and first identified in Wuhan, China, in December 2019. The worldwide disease became a pandemic, which led to at least seven million deaths.
Nipah, which spreads from fruit bats or livestock has been tipped as the next pandemic. It swells the brain and has a fatality rate up to 75% Another concerning condition is Rift Valley fever (RVF) which affects domestic animals such as cattle, buffalo, sheep and goats.
Zika virus, meanwhile, is spread by mosquitoes in South and Central America, the Caribbean, the Pacific islands, Africa and Asia. Those with the virus infection, however, do not develop symptoms."
2ZV30RLRJC_DL4BSL353BQ6WBD,'Europe's hunger for frogs' legs is a serious threat to the survival of the species',Nada FarhoudEnvironment editor,"19:52, 21 Jan 2024",20240121,mirror.co.uk,https://www.mirror.co.uk/lifestyle/food-drink/europes-hunger-frogs-legs-serious-31933085,"Christmas dinners in the UK are all about turkey, goose, nut roasts or veggie Wellingtons. But over the Channel, consumption of frogs’ legs – usually sautéed with garlic and lemon juice or fried in breadcrumbs – peaks during the festive season.
Around 100 million frogs are killed each year just to supply the French market, the largest consumer. But millions more are killed for eating in Belgium and the Netherlands, where the dish is also popular. At least 25 million also ended up on dinner plates in the UK between 2000-2019, according to the most recent data.
Native frogs in the European Union are protected against capture and killing. But imports of wild caught frogs are still allowed. The NGOs Robin de Bois and Pro Wildlife have launched a campaign to get consumers to think twice before they buy frog legs, pointing to possible species extinction, animal cruelty and the unsanitary conditions in which they are transported.
They warn that while many might believe the frogs on their plate come from nearby ponds and swamps, instead, the vast majority are caught in the wild in Indonesia, Turkey and Vietnam.
The frogs are then amputated while alive with scissors, axes or knives – a horrific sight I recently witnessed in a Hanoi wet market.
Biologist Sandra Altherr from Pro Wildlife said: “Our campaign illustrates the many problems associated with a dish that is consumed carelessly but causes an ecological disaster with millions of animals suffering. Where frogs are missing as a natural insect control, the use of pesticides increases.”
This happened in India and Bangladesh in the 1980s before both countries banned frog exports. Experts have also warned that large-bodied frogs in Turkey might become extinct by 2030 as a result of the huge demand.
“Amphibians are highly susceptible to pollution, the climate crisis and deadly chytrid fungus,” added Sandra. “On top of this, the EU’s huge and ongoing hunger for frogs’ legs is decimating wild frog populations in an increasing number of countries.”
“The decline of many frog species is a global problem that is being greatly accelerated by just a handful of European nations. The capture and killing of native frogs is banned so we must not then support environmentally disastrous practices abroad.”"
30GIDXEGJ4_O8159IT4XCWHQ4S,Sarah Ferguson diagnosed with skin cancer after moles removed in 'distressing' health update,Ryan FaheyNews Reporter,"18:09, 21 Jan 2024Updated11:25, 22 Jan 2024",20240121,mirror.co.uk,https://www.mirror.co.uk/news/royals/breaking-sarah-ferguson-diagnosed-skin-31933705,"Sarah Ferguson has been diagnosed with skin cancer just six months after she underwent surgery on her breast.
Dermatologists have removed a mole from her body and sent it for tests, which came back confirming she had a malignant melanoma, which is the most serious form of skin cancer. The 64-year-old was hit with the shocking news just months after being treated for breast cancer. She's said to be in ""good spirits"" but ""distressed"" after being hit with a second cancer diagnosis in six months.
A spokesman for Sarah, Duchess of York said: “Following her diagnosis with an early form of breast cancer this summer, Sarah, Duchess of York has now been diagnosed with malignant melanoma. Her dermatologist asked that several moles were removed and analysed at the same time as the Duchess was undergoing reconstructive surgery following her mastectomy, and one of these has been identified as cancerous.
“She is undergoing further investigations to ensure that this has been caught in the early stages. Clearly, another diagnosis so soon after treatment for breast cancer has been distressing but the Duchess remains in good spirits.
“The Duchess wants to thank the entire medical team which has supported her, particularly her dermatologist whose vigilance ensured the illness was detected when it was. She believes her experience underlines the importance of checking the size, shape, colour and texture and emergence of new moles that can be a sign of melanoma.”
The Duchess is being treated by Dr Andrew Furness, consultant medical oncologist at the Royal Marsden Hospital in London, Catherine Borysiewicz, consultant dermatologist at the King Edward VII Hospital in London, and has been recuperating at the MAYRLIFE clinic in Austria, as first reported by The Sun. The Duchess's elder daughter HRH Princess Beatrice is patron of the British Skin Foundation and has worked with skin cancer patients.
Should the Royal Family be as open about their health? Vote in our poll HERE to have your say.
Back in June, the Duchess of York's representatives told the Mirror that the royals experience ""underlines the importance of regular screening"" after the ""successful"" surgery at King Edward VII hospital in Marylebone, Central London.
The grandmother of three spent several days in the London hospital and told of her ""immense gratitude"" to the medical staff. A spokesman for the Duchess told Mirror at the time: ""Sarah, Duchess of York was recently diagnosed with an early form of breast cancer detected at a routine mammogram screening. She was advised she needed to undergo surgery which has taken place successfully."""
3HL4Z9IY5C_J59P4C3TVZ6VSSK,Mum writes brilliant message for son's teacher inside his 'unhealthy' lunchbox,Lucy MarshallLifestyle Reporter,"13:00, 21 Jan 2024",20240121,mirror.co.uk,https://www.mirror.co.uk/lifestyle/family/mum-writes-brilliant-message-sons-31903345,"A kind mum has been praised for her sweet note to her son's teacher inside his lunchbox.
The Australian parent explained in the note why her son has ""unhealthy"" items to eat. The woman's son's autism means he struggles with some foods because of his ""sensory issues"", so she packs the foods she knows he can happily eat.
She put crisps, crackers, popcorn, sweetcorn, and apple in her son's lunchbox, but teachers were less than impressed and complained. While judgement about her parenting normally doesn't phase the mum, this time she drew the linee, The Sun previously reported.
So, the unnamed mum came up with a cunning way to make sure her son is happy while avoiding complaints from her son's teachers. On the blue lid of his lunch box, she wrote a message in the hope that his teachers would understand what she'd packed his lunch with this food.
In permanent marker, the message read: ""My lunch box may not look healthy, BUT it's all I will eat. Please be patient as I work through my sensory issues…""
The mum decided to share a photo of the message on Facebook, admitting that ""as awesome her my child is"", she sometimes ""struggles"" to put together hearty, healthy meals that he will eat at school. She added: ""He isn't able to quite articulate exactly why he never has a sandwich or wrap for lunch and prefers to munch on popcorn instead.""
She was inundated with comments from a number of supportive parents. One person said: ""As long as you don't take chocolate and lollies then I don't see why some things are such a problem.""
Another agreed: ""Looks healthy babe. I love your note, that's awesome, I'm going to borrow for my boy for kindy. I adore your advocacy for your child.""
""You have to do whatever works for you guys, my son is super fussy so I hear you sister"", a third added.
Do you have a parenting story? Get in touch via Lucy.Marshall@reachplc.com."
3KQATBMQ96_IW2LIYNG5V7Q0MH,E4 Hollyoaks fans 'solve' who really ran over Joel Dexter in 'new villain twist',Charlotte TuttonSenior TV Reporter,"09:00, 21 Jan 2024Updated09:18, 21 Jan 2024",20240121,mirror.co.uk,https://www.mirror.co.uk/tv/tv-news/hollyoaks-joel-die-abe-fielding-31929285,"Hollyoaks fans are convinced someone deliberately ran over Joel Dexter amid a new twist on the E4 soap.
Joel was left fighting for his life in a recent episode, as the firefighter was struck down by a speeding truck at the scene of a crash. A huge car pile-up left many characters injured, with Ella Richardson killed off in a tragic twist.
Her half-brother Joel was left critically injured and in a coma after he walked into the path of a speeding truck. Amid fears he would not regain consciousness, his loved ones kept a vigil at his bedside as they reeled from the events of that week.
But some fans were left suspicious over Joel's accident, amid a new character with a possible link to him joining the show. Upcoming scenes show Abe Fielding make his debut as the new love interest of Joel's ex and ""soulmate"" Cleo McQueen.
Amid Cleo and Joel's partner Leela Lomax fighting it out, scenes will show Abe learning of Cleo's history with Joel amid their own possible romance. Fans believe that spoilers have teased there is something sinister about Abe, and that he may be obsessed with Cleo.
This has led to some fans wondering whether Abe could have been the driver of the truck that hit Joel, and perhaps he tried to kill him. While it does seem that the truck was in fact a recovery vehicle helping out at the crash site, some viewers can't help but wonder if there is more to it.
Taking to social media, fans predicted Abe ran over Joel with one fan writing: ""I think it might be the new guy who’s come back for Cleo,"" as another said: ""I think it is Abe that ran over joel."" It comes after fans spotted a major clue that newcomer Abe shared a link to Joel, following the news Joel's mother Marie was returning to the show.
Given Joel's mum is returning very soon and her name is, or at least was previously, Marie Fielding, does this mean Abe is related to her and Joel given he has the same surname? Viewers certainly think so, with one writing: ""OH MY GOD GUYS HER LAST NAME IS FIELDING THATS ABE’S LAST NAME AKA CLEO’S NEW BOYFRIEND.""
Another posted, ahead of Rita Simons joining the show as Marie: ""Lord this means Abe and Joel are siblings… Cleo knows how to pick them."" A third fan theorised: ""are abe and joel siblings too? lord,"" as another wrote: ""My thoughts exactly! Both Joel's mum and Abe share the same surname. It's gotta be hasn't it."" Hollyoaks is yet to confirm the twist.
Hollyoaks is available to stream on Channel 4's streaming service now, while it also airs Mondays to Fridays on E4 at 7PM. * Follow Mirror Celebs and TV on Snapchat , Instagram , Twitter , Facebook , YouTube and Threads."
3LDDHMESCC_IZXPS4CHH10GPA7,British Airways flight makes emergency landing at Heathrow as fumes detected in cockpit,Joe SmithNews Reporter,"12:19, 21 Jan 2024",20240121,mirror.co.uk,https://www.mirror.co.uk/news/uk-news/british-airways-flight-makes-emergency-31931755,"A British Airways flight has been forced to turn around and make an emergency landing an hour into a flight to Prague after fumes reportedly leaked into the cockpit.
British Airways flight BA854 was forced to make an emergency landing at Heathrow an hour after taking off from the same airport at 7.25am today. The flight, which had been scheduled to land in Prague, in the Czech Republic, just after 10am, only made it as far as the town of Dover before it was forced to abort the trip and turn back toward London.
Fight path data from FlightRadar24 shows the plane began to turn shortly after it passed over Dover, turning around over the Strait of Dover and heading back to the UK.
Initially the planed seemed to be on course towards London City Airport but after last minute change of direction the aircraft returned to Heathrow, where it landed safely at at 8.41am.
Several fire engines rushed to meet the jet as it landed at Heathrow, video footage captured by a livestreaming service and shared to YouTube shows the emergency crews rushing to assist the aircraft.
A British Airways spokesperson blamed a ‘technical issue’ for the quick about-turn, though they did not specify what had caused the pilots to choose to return to Heathrow.
They told the Mirror: “We're sorry for the delay in our customers' journey after the aircraft returned to Heathrow as a precaution Our teams looked after them whilst they waited to board a replacement aircraft to continue their journey.”"
3Y7UMDXCAA_ZES6WI5YYDV9CNL,Mystery behind unusual 'snake worm' finally solved after experts left baffled for 16 years,Joseph GampAssistant News Editor,"10:59, 21 Jan 2024",20240121,mirror.co.uk,https://www.mirror.co.uk/news/weird-news/mystery-behind-unusual-snake-worm-31921482,"A team of scientists have solved the mystery of Alaska's ""snake worm"" after discovering a new species of fungus-eating fly - whose juveniles band together before slithering around like a long serpent-like being.
The snake worm mystery began more than 16 years ago in the summer of 2007, when Maggie Billington spotted thousands of tiny, wormlike larvae crawling across a road in a long line in the town of Ester. Ms Billington was a volunteer at the University of Alaska Museum of the North in Fairbanks at the time and documented the bizarre sighting and brought photos and samples to Derek Sikes, the museum's curator of insects.
In a statement, Mr Sikes said: ""I figured they must be fly larvae but had never heard of this snake worm phenomenon. I was dumbfounded. This was totally an X-Files case for me."" And now, Mr Sikes and his colleagues have identified the larvae in a new study, which was published in the journal Integrative Systematics: Stuttgart Contributions to Natural History, in December last year. The species, which they've named Sciara serpens, is one of several scarcely studied flies in which the larvae appear to mimic snakes.
The researchers claim the larvae take the shape of a snake to scare off birds and other would-be predators - or even to preserve moisture on dry ground by crawling over one another in a line. The new species belongs to the Sciaridae fly family, commonly called fungus gnats, because they feed on decaying organic matter. Many flies are hard to tell apart in their juvenile life stage, so Mr Sikes cared for larvae collected from a second snake worm sighting in 2007 until they morphed into their dark-winged fly form
The Alaskan fungus gnats raised by Sikes appeared to most closely resemble a European gnat called Sciara mirabilis, rather than previously identified North American species reported in Maryland and Arkansas. But it wasn't until 2021 that the team confirmed the gnat was a species new to science. Lead author Thalles Pereira, an insect researcher at the University of Alaska Museum of the North, examined the male gnats' genitalia under a powerful microscope and found notable differences in the shape, compared with those of its European relative.
While it might seem odd for an Alaskan gnat to have more in common with gnats in Europe than with its fellow North American species, the study authors noted that this follows a pattern among other insects in Alaska, such as grasshoppers and beetle. The variation of specie likely dates back to the Pleistocene era, or between 11,700 to 2.6million years ago).
During that time, Alaska was connected to Europe and Asia via the Bering Land Bridge, allowing insects to disperse from eastern Siberia to Alaska while giant ice sheets blocked off the rest of North America."
