UniqueID,Title,Author,PTime,DTime,MentionSourceName,MentionIdentifier,Content
17GHIAC00L_X42SC91FCGIHAZ0,"California and Oregon Ease Covid Isolation Rules, Breaking With C.D.C.","By Shawn Hubler and Adeel HassanShawn Hubler reported from Sacramento, and Adeel Hassan from New York.","Jan. 21, 2024",20240121,nytimes.com,https://www.nytimes.com/2024/01/21/us/covid-rules-california-oregon-cdc.html,"From the start of the Covid-19 pandemic, it has been doctor’s orders in this country: If you test positive, stay away from other people, even if you aren’t coughing or feverish. In recent months, however, that rule has been relaxed in two of the unlikeliest places.
Oregon and California, among the most cautious of states early in the pandemic, have surprised health officials elsewhere by breaking with Centers for Disease Control and Prevention guidelines and telling infected workers and schoolchildren that as long as they have no symptoms, they are generally free to go about their lives.
The new approach has been greeted with trepidation by some health experts in the United States, especially as wastewater data shows a surge in cases driven by a new variant. But many scientists say that Covid has transitioned from a public health crisis into more of a featured virus among an array of respiratory risks.
“The emergency has ended. Covid-19 is endemic,” said Dr. Melissa Sutton, medical director for respiratory viral pathogens at the Oregon Health Authority. “We’re in a different phase.”
As vaccinations, antiviral treatments and natural immunity have reduced the mortality rate of Covid, state officials have given more consideration to the societal cost of pandemic constraints.
We are having trouble retrieving the article content.
Please enable JavaScript in your browser settings.
Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times.
Thank you for your patience while we verify access.
Already a subscriber? Log in.
Want all of The Times? Subscribe."
1A5WSEC8BV_32KPSZ6XGM904WF,Ron DeSantis Ends Campaign for President,"By Nicholas Nehamas, Maggie Haberman, Jonathan Swan and Shane GoldmacherReporting from Manchester, N.H.","Jan. 21, 2024",20240121,nytimes.com,https://www.nytimes.com/live/2024/01/21/us/election-news-new-hampshire-trump/desantis-drops-out,"Gov. Ron DeSantis of Florida suspended his campaign for president on Sunday and endorsed former President Donald J. Trump, marking a spectacular implosion for a candidate once seen as having the best chance to dethrone Mr. Trump as the Republican Party’s nominee in 2024.
His departure from the race just two days before the New Hampshire primary election leaves Nikki Haley, the former governor of South Carolina, as Mr. Trump’s last rival standing.
Mr. DeSantis’s devastating 30-percentage-point loss to Mr. Trump in the Iowa caucuses last Monday had left him facing a daunting question: Why keep going? On Sunday, he provided his answer, acknowledging there was no point in soldiering on without a “clear path to victory.""
“I am today suspending my campaign,” Mr. DeSantis said in a video posted after The New York Times reported he was expected to leave the race, adding: “Trump is superior to the current incumbent, Joe Biden. That is clear. I signed a pledge to support the Republican nominee, and I will honor that pledge. He has my endorsement because we can’t go back to the old Republican guard of yesteryear.”
We are having trouble retrieving the article content.
Please enable JavaScript in your browser settings.
Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times.
Thank you for your patience while we verify access.
Already a subscriber? Log in.
Want all of The Times? Subscribe."
42X0GFMKDE_YIXMD0F12NN2MUX,"Netanyahu Restates Opposition to Two-State Solution, Despite Pressure From Biden",By Adam RasgonReporting from Jerusalem,"Published Jan. 21, 2024Updated Jan. 22, 2024",20240121,nytimes.com,https://www.nytimes.com/live/2024/01/21/world/israel-hamas-gaza-news-iraq/netanyahu-rebuffs-biden-again-on-the-idea-of-creating-a-palestinian-state,"Prime Minister Benjamin Netanyahu of Israel doubled down on his opposition to the creation of a Palestinian state this weekend, again rebuffing pressure from President Biden to agree to that path after the war in Gaza is over.
“My insistence is what has prevented — over the years — the establishment of a Palestinian state that would have constituted an existential danger to Israel,” Mr. Netanyahu said in a statement in Hebrew on Sunday. “As long as I am prime minister, I will continue to strongly insist on this.”
The statement reiterated comments he made on social media the previous day, when he said in Hebrew that he “will not compromise on full Israeli security control of the entire area west of the Jordan River — and that is irreconcilable with a Palestinian state.”
Mr. Netanyahu’s comments came after Mr. Biden spoke to him on Friday about a two-state solution and floated the possibility of a disarmed Palestinian nation that would not threaten Israel’s security. Mr. Biden has argued that the creation of a Palestinian state is the only viable long-term resolution to a conflict that has dragged on for decades, repeating a position held by most American presidents and European leaders in recent history.
While there was no indication that Mr. Netanyahu would ease his strenuous opposition, which is popular with his fragile right-wing political coalition, Mr. Biden had expressed optimism that they might yet find consensus.
“There are a number of types of two-state solutions,” the president told reporters at the White House several hours after Friday’s call, their first in nearly a month amid tension over the war. “There’s a number of countries that are members of the U.N. that are still — don’t have their own militaries. Number of states that have limitations.” He added, “And so I think there’s ways in which this could work.”
We are having trouble retrieving the article content.
Please enable JavaScript in your browser settings.
Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times.
Thank you for your patience while we verify access.
Already a subscriber? Log in.
Want all of The Times? Subscribe."
6EONB33ZZ2_8IDAB6KG4DFH7F1,"As Trump Treats Trials Like Rallies, Judges Study How to Rein Him In",By Benjamin Weiser and Jonah E. Bromwich,"Jan. 21, 2024",20240114,nytimes.com,https://www.nytimes.com/2024/01/21/nyregion/trump-trial-judge-campaign.html,"Donald J. Trump doesn’t change. Judges do.
Two weeks ago, a New York judge, Arthur F. Engoron, permitted Mr. Trump to personally deliver a closing argument in his civil fraud trial as long as he stuck to the facts and avoided a courtroom “campaign speech.” Mr. Trump bulldozed through the restrictions, repeated his familiar claim of a “political witch hunt” and assailed the judge to his face.
Then last week, after a lawyer down the street at the E. Jean Carroll defamation trial complained that Mr. Trump was grumbling “con job” and “witch hunt” loud enough for jurors to hear, Judge Lewis A. Kaplan sternly warned him that, although he had the right to be present, “that right can be forfeited — and it can be forfeited if he is disruptive.”
Ms. Carroll’s lawyers did not find reason to complain again.
The judges’ different approaches to the tempestuous storm that entered their courtrooms — and the different results — could offer lessons beyond the two New York cases. They may provide guidance for the judges set to oversee Mr. Trump’s four potential criminal trials, who will want to keep the 45th president from transforming his legal proceedings into political spectacles.
“The thing you’ve got to do primarily is set rules and enforce them,” said John S. Martin Jr., a former U.S. District Court judge in Manhattan. “I think if the judge is tough and doesn’t back down, Trump will back down.”
We are having trouble retrieving the article content.
Please enable JavaScript in your browser settings.
Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times.
Thank you for your patience while we verify access.
Already a subscriber? Log in.
Want all of The Times? Subscribe."
7WGVGL49MU_GGNQD2ME2MYKEP1,Only Voters Can Truly Disqualify Trump,_,"Jan. 21, 2024",20240121,nytimes.com,https://www.nytimes.com/2024/01/21/opinion/trump-section-3-sovereignty.html,"Intense debate has accompanied the decision by the Supreme Court to review the decision by Colorado’s highest court to bar Donald Trump from the state’s primary ballots based on Section 3 of the 14th Amendment — about the precise meaning of the word “insurrection,” the extent of Mr. Trump’s culpability for the events of Jan. 6 and other legal issues.
I’m not going to predict how the Supreme Court will rule, or whether its ruling will be persuasive to those with a different view of the law. But there’s a critical philosophical question that lies beneath the legal questions in this case. In a representative democracy, the people are sovereign, and they express their sovereignty through representatives of their choice. If the courts presume to pre-emptively reject the people’s choice, then who is truly sovereign?
The question of sovereignty was central to the purpose of the 14th Amendment in the first place. The Civil War — unquestionably an armed insurrection — was fought because of slavery. That was the reason for the war.
But its justification was a dispute over sovereignty, whether it resided primarily with the people of the individual states or with the people of the United States, who had established the Constitution.
The answer was settled on the battlefield, but it was ratified through the 14th Amendment, which defined who is a citizen of the United States and established that the “privileges or immunities” of same supersede any state laws that might abridge them. From now on, there would be no ambiguity: Under the Constitution, the people of the United States are sovereign, and this sovereignty supersedes the sovereignty of the people of the individual states whenever the privileges and immunities of the former are in conflict with the will of the latter.
Section 3 of that amendment was similarly enacted in order to secure federal supremacy. Rebel officers might well have retained strong popular support in the former Confederate states, but Section 3 prevented the rebellion from being continued by electoral means. The people of South Carolina might prefer to be represented by former rebels, but the people of the United States, whose sovereignty trumps South Carolina’s, forbid it.
Whose sovereignty, though, trumps the people as a whole?
Donald Trump is the overwhelming favorite to win the Republican nomination for president and has a close to even-odds chance of winning the general election. That would seem to have no bearing on his eligibility to run. If a majority of the country wanted Barack Obama or Arnold Schwarzenegger or Selena Gomez to be president, it would be out of luck. The Constitution renders them ineligible: Mr. Obama has already been elected twice, Mr. Schwarzenegger was not born a U.S. citizen and Ms. Gomez is under 35 years old.
For that very reason, though, those individuals aren’t likely to run — and if they did try to run, their ineligibility would be manifest, recognized by everyone. Similarly, former Confederate officers and officials, by serving in the Confederacy, had explicitly declared themselves insurrectionists. Congress passed a broad amnesty in 1872 to lift the penalties associated with the involvement of most in insurrection, including that imposed by Section 3 of the 14th Amendment; some individuals not covered by the amnesty petitioned successfully for the restoration of their civil rights, and in other cases the prohibition was simply not enforced. But the essential fact of participation in the insurrection was not in dispute.
The situation with Mr. Trump could not be more different. An overwhelming majority of his party, and apparently about half of the country as a whole, considers him to be eligible to be president again. Moreover, these voters believe this even though, as President Biden said recently, “we saw with our own eyes” what happened on Jan. 6.
I count myself among those who consider Mr. Trump to be manifestly unfit to serve in any office ever again because of his actions on that day, even if he is not held criminally liable. But being unfit is not the same thing as being ineligible. What makes the Colorado Supreme Court — or any court — believe that it has a privileged understanding of those events that is beyond the capacity of the public to discern?
Perhaps the public is misinformed, or refuses to let itself be accurately informed, even at this late date, about what happened. The need for expertise and deliberation is why we have a representative democracy; the people do not act directly to make laws, but act through their representatives.
It’s notable in that regard, then, that impeachment — the remedy the Constitution provides for a president who violates his oath of office — does not involve the courts but the people, acting through their representatives. And the court of the people already had the opportunity to weigh in on Mr. Trump’s culpability for the events of Jan. 6. He was impeached an unprecedented second time by the House of Representatives for his actions on that day. But in the trial that followed in the Senate, Mr. Trump was acquitted.
That does not mean he is innocent. But it does mean that the Colorado Supreme Court has, in effect, declared that it outranks the Senate, and can overrule that body’s decision.
Some Republican senators, including the minority leader, Mitch McConnell, effectively asked the courts to do just that during the impeachment debate. Arguing that they had no authority to try a president whose term had ended, they refused to consider the facts of the case. But this was not a principled view. The Senate had already voted separately on the question of jurisdiction, and a majority determined that they did have the ability to try a president whose term had ended. Once that question was settled by the Senate itself, senators who thought Mr. Trump was guilty, including those who voted the other way on the jurisdictional question, could vote their consciences on the matter at trial.
Since the senators still voted to acquit, it must be because they did not think he was guilty, or did not deserve punishment for his guilt. Or, reflecting gross cowardice, perhaps they did not want the responsibility for convicting him, and preferred the courts to shoulder that responsibility instead.
That’s precisely what the Colorado Supreme Court has decided to do. But in so doing, it has usurped the proper prerogative of the people. It is saying, in so many words, that the people’s representatives got it wrong in the impeachment trial, and the people themselves are incapable of seeing what is in front of their eyes. Therefore the court must save the people from the possibility of making a catastrophically wrong decision.
Democracy cannot be saved in this fashion, not even from the threat of a demagogue with contempt for the rule of law. It can be saved only by democratic means. If the people’s representatives failed to do their duty, as they did in Mr. Trump’s impeachment trial, the last line of democracy’s defense is the sovereign people themselves. At the point that we cannot trust them, democracy is dead already.
Noah Millman (@BloggerGideon) writes the newsletter Gideon’s Substack and is the film and theater critic at Modern Age.
The Times is committed to publishing a diversity of letters to the editor. We’d like to hear what you think about this or any of our articles. Here are some tips. And here’s our email: letters@nytimes.com.
Follow the New York Times Opinion section on Facebook, Instagram, TikTok, X and Threads."
8EW7391X8B_0ME3QMMG4RA0FTV,An Atheist Chaplain and a Death Row Inmate’s Final Hours,"By Emma GoldbergPhotographs by Desiree RiosEmma Goldberg spoke with the chaplain and inmate over many months, and listened to hours of recorded phone calls between the men. She reported from McAlester, Okla.","Jan. 21, 2024",20240121,nytimes.com,https://www.nytimes.com/2024/01/21/us/an-atheist-chaplain-and-a-death-row-inmates-final-hours.html,"“God, that chicken.” Devin Moss has a voice that rumbles, low and slow like distant thunder, but this morning it was softer, more contemplative. His hands gripped the steering wheel of his rental car. He was dressed head to toe in white linen, his body glowing in an almost celestial way, as he drove toward the Oklahoma State Penitentiary.
Moss, a chaplain, had spent the year working as the spiritual adviser to Phillip Hancock, a death row inmate in Oklahoma. The morning of the November execution had arrived. The prison had brought Hancock the wrong last meal the night before, white meat from Kentucky Fried Chicken instead of dark.
“That chicken, I know,” echoed Sue Hosch, an anti-death penalty activist seated in the passenger seat beside Moss. “I couldn’t believe it.”
Hancock, convicted of two murders he committed in 2001, was scheduled to be executed at 10 a.m. With three hours to go, his lawyers were still hoping that Oklahoma’s governor would grant him clemency, as the state parole board had voted to recommend three weeks earlier.
We are having trouble retrieving the article content.
Please enable JavaScript in your browser settings.
Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times.
Thank you for your patience while we verify access.
Already a subscriber? Log in.
Want all of The Times? Subscribe."
A6BG6Q4TYI_6INKVEDBAIZ3AJJ,"As One Dangerous Winter Storm Exits Britain, Another Is Expected on Tuesday",By Johnny Diaz,"Jan. 21, 2024",20240121,nytimes.com,https://www.nytimes.com/2024/01/21/world/europe/britain-storm-isha-winds-weather.html,"As a powerful storm was moving away from Britain on Monday afternoon after battering the country overnight with a top gust of wind of 99 miles per hour, another was forecast to settle over the region beginning Tuesday, according to the Met Office, the country’s weather service.
“It is rather unusual in bringing impacts to most of the U.K.,” Grahame Madge, a spokesman for the weather service, said of the fading system called Storm Isha.
Forecasters had issued a yellow weather warning until midday. The warning is routinely used when people are at risk from certain weather because of their location or activity, and it advises the public “to take preventative action,” according to the meteorological office’s website.
Late on Sunday night, the Met Office issued a red wind warning for overnight covering the northeast coast of Scotland and advised people not to use the roadways. A red warning advises the public to expect “a short spell of extremely strong winds leading to danger to life, structural damage and disruption.”
We are having trouble retrieving the article content.
Please enable JavaScript in your browser settings.
Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times.
Thank you for your patience while we verify access.
Already a subscriber? Log in.
Want all of The Times? Subscribe."
ATJ7FXOL9T_W792RP4AZXCPDUG,The Hottest Buzzword in Wellness Seeps Into Real Estate,By Jane Margolies,"Jan. 21, 2024",20240121,nytimes.com,https://www.nytimes.com/2024/01/21/business/blue-zones-homes-builders.html,"As the director of online sales for the builder CC Homes, Lorraine Sanchez encourages prospective buyers to go see the company’s houses in Ave Maria, a town in southwest Florida.
Since last year, she has had a new marketing tool: Ave Maria is “certified” as a blue zone, a place geared to helping people live healthy, active lives.
“It’s a great selling point,” Ms. Sanchez said.
The term “blue zone” was coined two decades ago when Dan Buettner, an explorer for National Geographic, was investigating places around the world where people regularly lived to 100 and beyond. He deduced that residents of these mostly small, remote locales had such long, healthy lives because they stayed active, ate plant-based meals and formed lasting social ties, among other practices.
The concept has become the latest wellness buzzword: Blue Zones, the company that sprang from Mr. Buettner’s research, has put its trademark on books, canned beans, bottled tea, frozen burrito bowls and even a series on Netflix.
We are having trouble retrieving the article content.
Please enable JavaScript in your browser settings.
Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times.
Thank you for your patience while we verify access.
Already a subscriber? Log in.
Want all of The Times? Subscribe."
BXS4QUXLAV_ICFHMGZ96UU7OMK,Quotation of the Day: Taiwan’s Faith in U.S. Wavers as Tensions With China Rise,_,"Jan. 21, 2024",20240121,nytimes.com,https://www.nytimes.com/2024/01/21/pageoneplus/quotation-of-the-day-taiwans-faith-in-us-wavers-as-tensions-with-china-rise.html,"“Americans just want us to buy more weapons. They want our money, and want our chips.”
AMY CHOU, 67, a restaurateur in San Francisco, on growing doubts in her native Taiwan over U.S. support as tensions with China rise."
C25HDCX67Q_8LMCSVUM6FJC7PV,Dean Phillips Floats a No Labels Bid if 2024 Is Trump vs. Biden,"By Reid J. EpsteinReporting from a Dean Phillips campaign stop in Nashua, N.H.","Jan. 20, 2024",20240121,nytimes.com,https://www.nytimes.com/2024/01/20/us/politics/dean-phillips-no-labels-biden.html,"Representative Dean Phillips of Minnesota, a Democrat running a long-shot primary challenge to President Biden, said on Saturday that he would consider running on the ticket of No Labels, a centrist group exploring an independent bid, if it appeared the general election would be a rematch between Mr. Biden and Donald J. Trump.
In an interview, Mr. Phillips publicly articulated for the first time the circumstances in which he would accept the No Labels presidential nomination, and said he was in regular communication with Nancy Jacobson, the group’s chief executive. Democratic allies of Mr. Biden have been alarmed by No Labels, worrying that any candidate it runs could siphon votes from him.
“People are criticizing them because they believe whomever they offer on their ticket will hurt Joe Biden,” Mr. Phillips said after a town-hall event at a senior center in Nashua, N.H. “That’s false. If they put someone at the top of the ticket who could actually drive votes from Donald Trump, every Democrat in the United States of America should be celebrating it. They haven’t made that determination.”
Mr. Phillips has a long relationship with Ms. Jacobson and No Labels from his tenure in the group’s congressional Problem Solvers Caucus, an organization that promotes policies with bipartisan support. He said he had told Ms. Jacobson he would not discuss running as the No Labels candidate “at this time.”
But Mr. Phillips did say he would consider running as the No Labels candidate if polling suggested that Mr. Biden would lose in November to Mr. Trump.
“It would have to be a Joe Biden-Donald Trump rematch that shows Joe Biden is almost certain to lose,” Mr. Phillips said. “That is the only condition in which I would even entertain a conversation with any alternative.”
We are having trouble retrieving the article content.
Please enable JavaScript in your browser settings.
Thank you for your patience while we verify access. If you are in Reader mode please exit and log into your Times account, or subscribe for all of The Times.
Thank you for your patience while we verify access.
Already a subscriber? Log in.
Want all of The Times? Subscribe."
