UniqueID,Title,Author,PTime,DTime,MentionSourceName,MentionIdentifier,Content
07U20HSRGA_IV0HHDYFW2SIIHK,Manipur: Police deny charges of security forces collaborating with insurgent groups in Moreh,"PTI Imphal Published 21.01.24, 10:10 AM","PTI Imphal Published 21.01.24, 10:10 AM",20240121,telegraphindia.com,https://www.telegraphindia.com/north-east/manipur-police-reject-charges-of-security-forces-collaborating-with-insurgent-groups-in-moreh/cid/1995246,"Manipur Police rejected the allegations by Kuki organisation that security forces collaborated with insurgent groups in Moreh town where incidents of violence were reported recently.
Moreh is a town bordering Myanmar and it has been alleged by the state government that miscreants from the neighbouring country are fomenting trouble in the northeastern state.
""The allegation of the Committee on Tribal Unity (COTU) and the Kuki Inpi Manipur regarding collaborations with valley-based insurgent groups and Meitei militants disguised as security force personnel in Moreh is not true. The allegations are baseless and misleading,"" the police said in a statement.
Two police commandos were killed on January 17 in militant attacks in Moreh, while several others were injured.
Kuki organisations alleged that surrendered valley-based insurgents were allowed to ""mix freely"" with the state police.
Manipur has been rocked by ethnic strife since May last year and more than 180 people were killed.
The violence erupted on May 3 after a ‘Tribal Solidarity March’ was organised in the hill districts to protest against the Meitei community’s demand for Scheduled Tribe (ST) status.
Meiteis account for about 53 per cent of Manipur’s population and live mostly in the Imphal Valley, while tribals, which include Nagas and Kukis, constitute 40 per cent and reside mainly in the hill districts."
0S4YJHIGMY_WBBWSSVKND77LQ6,"Nyay Yatra: Rahul gives flying kisses to crowd shouting 'Jai Shri Ram', 'Modi, Modi'","PTI Nagaon (Assam) Published 21.01.24, 07:16 PM","PTI Nagaon (Assam) Published 21.01.24, 07:16 PM",20240121,telegraphindia.com,https://www.telegraphindia.com/india/nyay-yatra-rahul-gandhi-gives-flying-kisses-to-crowd-shouting-jai-shri-ram-modi-modi/cid/1995315,"As a group of BJP workers chanted ""Jai Shri Ram"" and raised ""Modi, Modi"" slogans in front of Rahul Gandhi's Bharat Jodo Nyay Yatra bus here, the Congress leader waved, gave flying kisses and stepped down to meet them.
""Our 'Mohabbat ki dukaan' (shop of love) is open for everyone. 'Judega Bharat, Jeetega Hindustan',"" Gandhi said in a post on X while sharing a video of the incident.
Later addressing a public meeting here, the Congress MP narrated the incident and said the Congress is neither scared of Prime Minister Narendra Modi nor Assam Chief Minister Himanta Biswa Sarma.
The Congress has claimed that its leaders, including Gandhi and Jairam Ramesh, were targeted by BJP supporters during the Assam leg of the Manipur-to-Maharashtra Nyay Yatra.
The BJP, however, claimed that Gandhi was rattled after ""Jai Shri Ram"" and ""Modi, Modi"" slogans were raised in his presence.
""If this is how rattled he is, how will he face the people of this country in days ahead, after the anti-Hindu Congress rejected the invite to be part of the 'Pran Pratishtha' (January 22 Ram temple consecration ceremony ) in Ayodhya?"" BJP IT cell head Amit Malviya said on X tagging the video.
BJP spokesperson Shehzad Poonawala said some people chanted ""'Jai Shri Ram' and 'Modi, Modi"" during the yatra ""so Rahul Gandhi arrogantly charges at them"".
""Security personnel stopped him. 'Mohabbat ki dukaan' or 'Ahankaar ki Dukaan' (shop of arrogance) Shameful and atrocious behaviour by entitled dynast! He even made kissing actions to the crowd!!"" he said on X.
At the public meeting, Gandhi said, ""Some 2-3 kms before, around 20-25 BJP workers carrying sticks came in front of our bus, and when I came out from the bus, they ran away...they think that the Congress is scared of BJP and RSS workers."" 	""What kind of dream are they seeing. They can tear as many posters and placards as they want, we don't care, and are not bothered. We are not scared of anybody, we are neither scared of Narendra Modi nor the chief minister here,"" he said.
During his earlier Kanyakumari-to-Kashmir Bharat Jodo Yatra, Gandhi had made similar gestures to a crowd which chanted ""Modi, Modi"" slogans when the march was in Rajasthan.
The Congress has alleged that the ""attacks"" on its yatra have the backing of Chief Minister Sarma.
In his speech at Nagaon public meeting, Congress president Mallikarjun Kharge targeted Sarma, saying, ""This is something like 'Meri billi mujh se meow'.""  	""The cat which once belonged to the Congress is now doing 'meow' to us,"" Kharge said. Sarma had quit the Congress to join the BJP in 2015.	 	AICC general secretary Jairam Ramesh said his vehicle was attacked by some BJP protesters but he kept his composure and moved on.
""My vehicle was attacked a few minutes ago at Jumugurihat, Sunitpur, by an unruly BJP crowd who also tore off the Bharat Jodo Nyay Yatra stickers from the windshield. They threw water and shouted anti-BJNY (Bharat Jodo Nyay Yatra) slogans,"" he said.
""But we kept our composure, waved to the hooligans and sped away. This is undoubtedly the Assam CM's doing. We are not intimidated and will soldier on,"" Ramesh said.
AICC general secretary K C Venugopal said, ""Complete lawlessness at display in Assam. All along the yatra route, the CM has stationed his goons to attack the yatra and disrupt our peaceful march for justice.""   	""He's completely mistaken to think this will deter us. If anything, this has given us more strength to ensure his and Narendra Modi's defeat, "" he said.
The Bharat Jodo Nyay Yatra will pass through 100 Lok Sabha constituencies in 15 states, traversing 6,713 km, mostly in buses but also on foot, and culminate in Mumbai on March 20 or 21. It began from Thoubal in Manipur on January 14.
Except for the headline, this story has not been edited by The Telegraph Online staff and has been published from a syndicated feed."
0V8NJKT7MK_BNSTSK80EAF7621,Batadrawa Than asks Rahul Gandhi not to visit during Ram temple consecration ceremony,"PTI Guwahati Published 21.01.24, 08:43 PM","PTI Guwahati Published 21.01.24, 08:43 PM",20240121,telegraphindia.com,https://www.telegraphindia.com/india/batadrawa-than-asks-rahul-gandhi-not-to-visit-during-ram-temple-consecration-ceremony/cid/1995327,"The managing committee of the Batadrawa Than in Assam's Nagaon district has asked Congress leader Rahul Gandhi to visit the place after 3 pm on Monday and not during the consecration ceremony of the Ram temple in Ayodhya.
The Batadrawa Than is located at the birthplace of Assamese icon Srimanta Sankardeva, a social-religious reformer of the 15th-16th century.
In a letter to Batadrawa's Congress MLA Shibamoni Bora on Sunday afternoon, the managing committee's president Jogendra Nath Dev Mahanta said that on the occasion of the Ram temple's consecration, several organisations have planned devotional programmes at the premises of the Than.
""Several thousands of people are expected to visit the place and as such we cannot allow Gandhi to enter the premises before 3 pm,"" he said.
""We had received a letter from Bora regarding the Congress MP's visit and we extend a warm welcome to him but we cannot allow him to enter the premises before 3 pm,"" he said.
The decision was taken at a meeting of the committee, he added.
Earlier in the day, Chief Minister Himanta Biswa Sarma said Gandhi should avoid visiting Batadrawa on January 22 as there can be no competition between Lord Ram and the medieval-age Vaishnav saint.
""We will request Rahul Gandhi not to visit Batadrawa on Monday during the consecration ceremony of the Ram temple as it will reflect Assam in the wrong light,"" he said at a press conference.
He can go after the consecration ceremony without creating ""unnecessary competition which will be sad for Assam"", Sarma said.
The chief minister said that he is pained to know that when PM Narendra Modi will participate in the consecration ceremony at Ayodhya, Gandhi will be at the Batadrawa sattra.
""This is a wrong projection. There is no competition between Ram and Sankardeva and when the nation's focus is on Ayodhya, it should not be unnecessarily diverted to Assam. We will be grateful if he avoids going to the Sattra during the Pran Pratistha of the Ram temple,"" he said.
The visit can be rescheduled to early morning or in the evening, he said.
Reacting to Sarma's statement, Congress general secretary Jairam Ramesh had said that Gandhi would visit the Than as planned, maintaining that no politics should be done over it.
Except for the headline, this story has not been edited by The Telegraph Online staff and has been published from a syndicated feed."
3211R61BK8_N03KA2O6DQ1EHJU,"Palestinian death toll in Gaza surpasses 25,000 with no end in sight to Israel-Hamas war","AP Rafah (Gaza Strip) Published 21.01.24, 07:56 PM","AP Rafah (Gaza Strip) Published 21.01.24, 07:56 PM",20240121,telegraphindia.com,https://www.telegraphindia.com/feeds/world/palestinian-death-toll-in-gaza-surpasses-25000-with-no-end-in-sight-to-israel-hamas-war/cid/1995320,"The Palestinian death toll from the war between Israel and Hamas has soared past 25,000, the Health Ministry in the Gaza Strip said on Sunday, while the Israeli government appeared far from achieving its goals of crushing the militant group and freeing more than 100 hostages.
The level of death, destruction and displacement from the war already is without precedent in the decades-old Israeli-Palestinian conflict. Yet Israeli officials say the fighting is likely to continue for several more months.
The slow progress and the plight of the hostages held in Gaza has divided ordinary Israelis and their leaders even as the offensive threatens to ignite a wider war involving Iran-backed groups in Lebanon, Syria, Iraq and Yemen that support the Palestinians.
The United States, which has provided essential diplomatic and military support for the offensive, has had limited success in persuading Israel to adopt military tactics that put civilians at less risk and to facilitate the delivery of more humanitarian aid.
Israeli Prime Minister Benjamin Netanyahu also has rejected U.S. and international calls for postwar plans that would include a path to Palestinian statehood.
GAZA DEATH TOLL CLIMBS AMID BLISTERING OFFENSIVE
The war began with Hamas' surprise attack in southern Israel on October 7, during which Palestinian militants killed some 1,200 people, mostly civilians, and took around 250 hostages back to Gaza.
Israel responded with a blistering three-week air campaign and then a ground invasion into northern Gaza that laid waste to entire neighbourhoods. Ground operations are now focused on the southern city of Khan Younis and built-up refugee camps in central Gaza dating back to the 1948 war surrounding Israel's creation.
Israel continues to carry out airstrikes throughout the besieged territory, including areas in the south where it told civilians to seek refuge. Many Palestinians have ignored evacuation orders, saying nowhere feels safe.
Since the war started, a total of 25,105 Palestinians have been killed in Gaza, while another 62,681 have been wounded, the Health Ministry reported on Sunday.
The death toll included the 178 bodies brought to Gaza's hospitals since Saturday, Health Ministry spokesperson Ashraf al-Qidra said. Another 300 people were wounded in the past day, he said.
The overall toll is thought to be even higher because many casualties remain buried under the rubble from Israeli strikes or in areas where medics cannot reach them, Al-Qidra said.
The Health Ministry does not differentiate between civilians and combatants in its figures but says around two-thirds of the people killed in Gaza were women and minors.
The ministry is part of the Hamas-run government, but its casualty figures from previous wars were largely consistent with those of UN agencies and even the Israeli military.
The Israeli military says it has killed around 9,000 militants, without providing evidence, and blames the high civilian death toll on Hamas because it positions fighters, tunnels and other militant infrastructure in dense neighbourhoods, often near homes, schools or mosques.
The military says 195 of its soldiers have been killed since the start of the Gaza offensive.
The war has displaced some 85 per cent of Gaza's residents from their homes, with hundreds of thousands packing into UN-run shelters and tent camps in the southern part of the tiny coastal enclave.
UN officials say a quarter of the population of 2.3 million is starving as only a trickle of humanitarian aid reaches them because of the fighting and Israeli restrictions.
ISRAELIS INCREASINGLY DIVIDED
Netanyahu has vowed to keep up the offensive until Israel achieves “complete victory” over Hamas and returns all the remaining hostages. But even some top Israeli officials have begun to acknowledge that those goals might be mutually exclusive.
Hamas is believed to be holding the captives in tunnels deep underground and using them as shields for its top leaders. Israel has only managed to rescue one hostage since the war began, and Hamas says several have been killed in Israeli airstrikes or during failed rescue operations.
A member of Israel's War Cabinet, former army chief Gadi Eisenkot, said last week that the only way to free the remaining hostages was through a cease-fire. In an implicit criticism of Netanyahu, he said claims to the contrary amounted to “illusions”.
Hamas has said it will not free more hostages until Israel ends its offensive. The group also is expected to make any further releases conditional on securing freedom for thousands of Palestinians imprisoned in Israel, including high-profile militants involved in attacks that killed Israelis.
Israel's government has ruled that out for now, but it faces rising pressure from families of the hostages, who are pushing for another exchange, and from Israelis frustrated by the security failures that preceded the October 7 attack and by Netanyahu's handling of the war.
Thousands of people gathered in Tel Aviv over the weekend to call for new elections.
Netanyahu's far-right coalition partners are meanwhile pushing him to step up the offensive, with some calling for the “voluntary” emigration of hundreds of thousands of Palestinians from Gaza and the re-establishment of Jewish settlements there. Israel withdrew soldiers and settlers from the territory in 2005, two years before Hamas seized power from rival Palestinian forces."
39J81TOMU5_2T5TSJHP4BPL95R,Fire breaks out at civic-run hospital in Mumbai; six ICU patients shifted,"PTI Mumbai Published 21.01.24, 01:45 PM","PTI Mumbai Published 21.01.24, 01:45 PM",20240121,telegraphindia.com,https://www.telegraphindia.com/india/fire-breaks-out-at-civic-run-hospital-in-mumbai-six-intensive-care-unit-patients-shifted/cid/1995267,"A fire broke out at a civic-run hospital in Mumbai in the wee hours on Sunday following which six patients were shifted from its Intensive Care Unit (ICU), a fire official said.
The incident was reported at 1.47 am at the Dr Ambedkar Hospital at Tagore Nagar in suburban Vikhroli, he said.
The fire was confined to the main cable of an air suction motor in the ICU on the ground floor of the three-storey hospital building, the official said.
As a precautionary measure, six patients, including four senior citizens, were shifted from the ICU ward to the nearby casualty ward in the presence of doctors, he said.
Two of those patients, who were already critical when admitted, were later shifted to the Rajawadi Hospital in Ghatkopar area, he said. management.
The other four patients were stable and hence being provided medical care in the Ambedkar Hospital, the official said.
The fire was extinguished by 2.25 am, he said.
A probe was on into the cause of the blaze.
Except for the headline, this story has not been edited by The Telegraph Online staff and has been published from a syndicated feed."
3FS51QN89E_UW6EFARTGRZUV6A,Congress leader Rahul Gandhi to pay homage to saint Srimanta Sankaradeva on temple day,"Umanand Jaiswal Guwahati Published 21.01.24, 05:55 AM","Umanand Jaiswal Guwahati Published 21.01.24, 05:55 AM",20240121,telegraphindia.com,https://www.telegraphindia.com/north-east/congress-leader-rahul-gandhi-to-pay-homage-to-saint-srimanta-sankaradeva-on-temple-day/cid/1995188,"Congress leader Rahul Gandhi will pay homage to 15th century Vaishnavite saint-reformer Srimanta Sankaradeva at his birthplace Bordowa Than in Assam’s Nagaon district on January 22, the day Prime Minister Narendra Modi will inaugurate the Ram temple at Ayodhya.
AICC general secretary Jairam Ramesh made this statement during a media conference in Lakhimpur on Saturday, addressing reporters' persistent enquiries about the whereabouts of Rahul and the Bharat Jodo Nyay Yatra on January 22.
Ramesh said: “Around 7am on January 22, Rahulji will be at Bordowa Than in Nagaon district...It is the birthplace of Sri Sri Sankardeva who was a mahan dharma guru, social reformer and cultural icon of our country.”
Though the saint-reformer and playwright was born in the 15th century, “his life is still an inspiration to crores of people”. “His pieces of advice are even more relevant in today’s age. Rahulji will offer his shradhhanjali to him there (Bordowa Than) on the morning of January 22,” he said.
Rahul will then address a public rally with party president Mallikarjun Kharge at Kaliabor, also in Nagaon district.
Ramesh also spoke on the hurdles the Yatra is facing on its Assam leg, with Assam PCC president Bhupen Kumar Borah condemning the alleged attack on Youth Congress vehicles and tearing down of the Yatra posters and banners on Friday night in Lakhimpur.
“We will not be cowed down by these attacks. The BJP government is rattled with the support the Yatra has received from the people of Assam. The Yatra is unstoppable,” he told The Telegraph.
The Congress has gone all out against Assam chief minister Himanta Biswa Sarma and the BJP for allegedly creating hurdles for the Yatra. Ramesh said he was requesting BJP president J.P. Nadda to say only two things to Sarma. “We do not need any new evidence of his (Sarma) loyalty to the RSS-BJP. Give permission to take out Bharat Jodo Nyay Yatra from the same route through which J.P. Naddaji's rally took place.”
Nadda had undertaken a road show in Guwahati last week, but the administration is not allowing the Congress to undertake even short padyatras.
In a post, Kharge also condemned the “shameful attack on the #BharatJodoNyayYatra vehicles and tearing of the Congress party's banners and posters by BJP goons in Lakhimpur”.
The Assam chief minister is expected to respond to the Congress's charges in a news meet on Sunday."
3ZIBA73MD4_K2WZ683CKCTLOH5,Manipur: Police deny charges of security forces collaborating with insurgent groups in Moreh,"PTI Imphal Published 21.01.24, 10:10 AM","PTI Imphal Published 21.01.24, 10:10 AM",20240121,telegraphindia.com,https://www.telegraphindia.com/feeds/north-east/manipur-police-reject-charges-of-security-forces-collaborating-with-insurgent-groups-in-moreh/cid/1995246,"Manipur Police rejected the allegations by Kuki organisation that security forces collaborated with insurgent groups in Moreh town where incidents of violence were reported recently.
Moreh is a town bordering Myanmar and it has been alleged by the state government that miscreants from the neighbouring country are fomenting trouble in the northeastern state.
""The allegation of the Committee on Tribal Unity (COTU) and the Kuki Inpi Manipur regarding collaborations with valley-based insurgent groups and Meitei militants disguised as security force personnel in Moreh is not true. The allegations are baseless and misleading,"" the police said in a statement.
Two police commandos were killed on January 17 in militant attacks in Moreh, while several others were injured.
Kuki organisations alleged that surrendered valley-based insurgents were allowed to ""mix freely"" with the state police.
Manipur has been rocked by ethnic strife since May last year and more than 180 people were killed.
The violence erupted on May 3 after a ‘Tribal Solidarity March’ was organised in the hill districts to protest against the Meitei community’s demand for Scheduled Tribe (ST) status.
Meiteis account for about 53 per cent of Manipur’s population and live mostly in the Imphal Valley, while tribals, which include Nagas and Kukis, constitute 40 per cent and reside mainly in the hill districts."
63D5TOA24T_WS8KRK9NHEQ2KKX,Delhi Congress to hold rally at Ramlila Maidan on February 3 to woo voters ahead of Lok Sabha polls,"PTI New Delhi Published 21.01.24, 05:59 PM","PTI New Delhi Published 21.01.24, 05:59 PM",20240121,telegraphindia.com,https://www.telegraphindia.com/india/delhi-congress-to-hold-rally-at-ramlila-maidan-on-february-3-to-woo-voters-ahead-of-lok-sabha-polls/cid/1995297,"The Delhi Congress will hold a rally at Ramlila Maidan on February 3 to woo the voters of the national capital months ahead of the Lok Sabha elections.
Addressing a press conference here, Delhi Congress chief Arvinder Singh Lovely said the party will organise a rally at Ramlila Maidan near Geeta Colony on February 3.
The Congress leader claimed the Bharatiya Janata Party (BJP) will be defeated in all seven Lok Sabha seats in Delhi.
""This rally would be the invocation to remove the Bharatiya Janata Party from all seven seats in Delhi,"" he said.
The Aam Aadmi Party (AAP) and the Congress, both partners of the opposition INDIA bloc, have been holding seat-sharing talks for the states, including Delhi.
Lovely said the seat-sharing formula for Delhi will soon be announced by the national leaders of the Congress.
""However, we will be preparing our base in all seats. Fighting in an alliance will also mean helping our partner win the polls,"" he said.
The Indian National Developmental Inclusive Alliance (INDIA) bloc parties, including the Congress and the AAP, are yet to come up with a seat-sharing formula for the Lok Sabha polls expected to be held in April-May.
Except for the headline, this story has not been edited by The Telegraph Online staff and has been published from a syndicated feed."
6U3IPCF0US_5G9WPV1T0VLQJ30,Bonbibi: The beloved forest goddess of Hindus and Muslims of the Sunderbans,"Chandrima S. Bhattacharya Published 21.01.24, 05:37 AM","Chandrima S. Bhattacharya Published 21.01.24, 05:37 AM",20240121,telegraphindia.com,https://www.telegraphindia.com/feeds/culture/bonbibi-the-beloved-goddess-of-hindus-and-muslims-of-sunderbans/cid/1995185,"Residents of Kalitala-Samshernagar in Hingalganj block in the Sunderbans are very happy with a recent gift from the chief minister: a brand new temple of Bonbibi, the forest goddess.
The temple is all marble and tiles, with the light shining off its polished surfaces, and it is expected that the chief minister will inaugurate it soon. The people of Hingalganj are waiting eagerly for the occasion.
But one wonders what Bonbibi would have made of her new home. The oldest of the temples of Bonbibi, who is worshipped as the protector of all creatures from the dangers of the forest, especially from the tiger, were built decades ago — at the very least — and are a far cry from the marble-and-tile structure that is the Hingalganj temple.
In the interiors of the Sunderbans, Bonbibi temples can look like survivors from another time.
Of late, Bonbibi’s popularity has travelled far beyond the Sunderbans, even into Coke Studio as a song — one reason, perhaps, behind the idea that she deserves a “modern” home even in the Sunderbans.
In the forest area of Kultali is located an old Bonbibi temple that is visited frequently by local residents and outsiders. Kultali is one of the places in the Sunderbans where tigers are being sighted in increasing numbers now. Every year, on the last Tuesday of the Bengali month of Baisakh, a Bonbibi mela is organised. The occasion draws thousands of people, including Hindus and Muslims, as Bonbibi is revered by both communities.
According to her story, which lives on in many versions and is also sung by her devotees as Bonbibir gaan, she defeats Dakshin Ray, the tiger god of the Sunderbans, and at once takes over the Sunderbans and saves the people from Dakshin Ray, who, too, continues to be worshipped.
Getting to the temple is not easy. One has to go by boat, down a hauntingly beautiful, serene green-blue stream that flows into River Matla, which reigns wide and sweeping against the horizon. To get to the boat is not easy either; the slope of the mudbanks is treacherous. An untrained urban body can disappear swiftly into its depths if not supported by able hands. My friend and I are being taken to the temple by Kamal Bera, a fisherman who lives in a village in Mai-pith area of Kultali.
Pugmarks of the tiger leading to the temple.                                                             Chandrima S. Bhattacharya
Bera has absolute faith in Bonbibi. He starts out every day, or night, as it may be, into the perilous waters and forests by taking Bonbibi’s name. To her, he owes his survival, he says. We are in his small diesel-driven fishing boat. With him is his helper. On both sides of the blue-green water are mangrove forests. On the way, we pick up Rabin Guchchhait, who does the puja at the Bonbibi temple.
Like Guchchhait, often Bonbibi’s priests are not Brahmins. “Eta amader gorib jele-bauleder pujo… This is the puja of us, the poor jele-baule community,” says Guchchhait. “We do not know any mantras.”
We get down at a spot that marks the beginning of Bonbibi’s “thaan” (from sthaan, or place). My heart skips a few beats as I look down. Pugmarks are all around us. Clear large ones and smaller smudged ones mark the length of the narrow path that leads from the mudbank to the temple, our destination.
“That mark is old, from a few days earlier, but this one is from this morning,” says Bera. “Eta Bonbibir thaan. This is where the tigers will come,” he says. “All you have to do is have faith in Bonbibi,” he says.
This is the sanctum sanctorum. Tigers roam here, Bera seems to say, but they are rendered powerless by the goddess. Bera’s father, a fisherman like him, was killed by a tiger. Guchchhait says he once rescued someone from the tiger’s jaws. They have lost count how many times they have seen a tiger. The number of tigers is growing significantly now, they say. But no tiger ever attacks at the thaan, they insist. Their grandfathers, who had migrated to the Sunderbans from Midnapore, had built the temple, they say.
The temple is a revelation. It is a large, beautiful, spare, mud structure supported by bamboo poles. Its only concession to modern age is the tin roof. The inside is bare, except for eight, rather grand, idols in a row. In the middle, on the right side, is Bonbibi. One of the best-dressed goddesses, she is wearing a sari here, though sometimes she can also be seen wearing a ghagra and salwar. But her headdress is like that of a Muslim princess. She has an enchanting, heart-shaped face, a bright yellow complexion and looks on benignly at what stretches ahead of her: the river and the forest. To her left is Shah Jangali, her brother. Next to him are Boro Gaji Khan Saheb, a king, says Guchchhait, and Peer Saheb, his minister. Peer Saheb is also known as Chhawal Peer, one who blesses people with children.
Guchchhait performs the worship of these four, who are of Muslim origin, during the festival. The puja is performed simply, without any mantra, just by offering Bonbibi and her companions some food and flowers. To Bonbibi’s right are four “Hindu” goddesses, says Guchchhait: Narayani Debi, Dakshin Ray’s mother, riding a tiger here, Ma Bishalakshi, very similar to Kali, Ma Manasa, the goddess of snakes, and Ma Ganga, the river goddess, with Makar, her vahana. Their puja, during the same festival, is performed by a Hindu Brahmin priest.
This very pantheon should be enough as an ans-wer to the peddlers of communal politics, who are now also trying to appropriate Dakshin Ray as “Hindu” and alienating “Bonbibi” as Muslim, as temples take centre stage. “Devotees turn up in thousands to attend the festival, both Hindus and Muslims,” says Guchchhait.
Bonbibi’s story is also an interesting reference to a period in Bengal’s history. According to Munsi Baynaddi’s kechchha-kabya (narrative poems in praise of a deity’s accomplishments), Bonbibi Jahuranama, Bonbibi and her brother Shah Jangali had come over from Mecca to rule over Badaban, or the Sunderbans, points out Gopendrakrishna Basu in his book Banglar Loukik Debata. In a parallel account, Bonbibi defeats Dakshin Ray to rescue Dukhe, a poor youth who was tricked by his relatives into being sacrificed for Dakshin Ray. Some Bonbibi idols have her carrying Dukhe, like a child, on her lap.
In the last few years, Bonbibi’s popularity has grown spectacularly, outside the Sunderbans and into popular culture. The goddess got global recognition since Amitav Ghosh wrote The Hungry Tide, his novel set in the Sunderbans. Since then, she has appeared in a Bengali film and also in Coke Studio, where she is rather unre- cognisable as a pretty young, slim woman with a tall headdress moving to fusion beats.
All this has not changed Bera’s life. He has to go fishing every day, sometimes in the dead of night, though he has stopped catching crabs, which takes one to the interiors of the forest. Many deaths occur from tiger attacks when men go to collect crabs or honey. Bera also farms and manages a fishery, and yet finds it hard to make both ends meet. “I hardly sleep,” he says. Neither does his wife, who works by his side all day long and also manages the household, though she does not go fishing.
Having faith is the only way to survive. “You will meet the tiger,” says Bera. “And you can never trust him. Only if you can look into the tiger’s eye, you can win. But how many can do that? So you have to have faith in Bonbibi,” he says. At this point, Guchchhait expresses his heart’s desire. “We also want to construct a concrete temple here,” he says.
Thankfully the forest department has stopped this effort so far. But in this age of temples, we do not know for how long."
7GEA2GK2NG_P90LAZ3ME6VS0OA,"Palestinian death toll in Gaza surpasses 25,000 with no end in sight to Israel-Hamas war","AP Rafah (Gaza Strip) Published 21.01.24, 07:56 PM","AP Rafah (Gaza Strip) Published 21.01.24, 07:56 PM",20240121,telegraphindia.com,https://www.telegraphindia.com/world/palestinian-death-toll-in-gaza-surpasses-25000-with-no-end-in-sight-to-israel-hamas-war/cid/1995320,"The Palestinian death toll from the war between Israel and Hamas has soared past 25,000, the Health Ministry in the Gaza Strip said on Sunday, while the Israeli government appeared far from achieving its goals of crushing the militant group and freeing more than 100 hostages.
The level of death, destruction and displacement from the war already is without precedent in the decades-old Israeli-Palestinian conflict. Yet Israeli officials say the fighting is likely to continue for several more months.
The slow progress and the plight of the hostages held in Gaza has divided ordinary Israelis and their leaders even as the offensive threatens to ignite a wider war involving Iran-backed groups in Lebanon, Syria, Iraq and Yemen that support the Palestinians.
The United States, which has provided essential diplomatic and military support for the offensive, has had limited success in persuading Israel to adopt military tactics that put civilians at less risk and to facilitate the delivery of more humanitarian aid.
Israeli Prime Minister Benjamin Netanyahu also has rejected U.S. and international calls for postwar plans that would include a path to Palestinian statehood.
GAZA DEATH TOLL CLIMBS AMID BLISTERING OFFENSIVE
The war began with Hamas' surprise attack in southern Israel on October 7, during which Palestinian militants killed some 1,200 people, mostly civilians, and took around 250 hostages back to Gaza.
Israel responded with a blistering three-week air campaign and then a ground invasion into northern Gaza that laid waste to entire neighbourhoods. Ground operations are now focused on the southern city of Khan Younis and built-up refugee camps in central Gaza dating back to the 1948 war surrounding Israel's creation.
Israel continues to carry out airstrikes throughout the besieged territory, including areas in the south where it told civilians to seek refuge. Many Palestinians have ignored evacuation orders, saying nowhere feels safe.
Since the war started, a total of 25,105 Palestinians have been killed in Gaza, while another 62,681 have been wounded, the Health Ministry reported on Sunday.
The death toll included the 178 bodies brought to Gaza's hospitals since Saturday, Health Ministry spokesperson Ashraf al-Qidra said. Another 300 people were wounded in the past day, he said.
The overall toll is thought to be even higher because many casualties remain buried under the rubble from Israeli strikes or in areas where medics cannot reach them, Al-Qidra said.
The Health Ministry does not differentiate between civilians and combatants in its figures but says around two-thirds of the people killed in Gaza were women and minors.
The ministry is part of the Hamas-run government, but its casualty figures from previous wars were largely consistent with those of UN agencies and even the Israeli military.
The Israeli military says it has killed around 9,000 militants, without providing evidence, and blames the high civilian death toll on Hamas because it positions fighters, tunnels and other militant infrastructure in dense neighbourhoods, often near homes, schools or mosques.
The military says 195 of its soldiers have been killed since the start of the Gaza offensive.
The war has displaced some 85 per cent of Gaza's residents from their homes, with hundreds of thousands packing into UN-run shelters and tent camps in the southern part of the tiny coastal enclave.
UN officials say a quarter of the population of 2.3 million is starving as only a trickle of humanitarian aid reaches them because of the fighting and Israeli restrictions.
ISRAELIS INCREASINGLY DIVIDED
Netanyahu has vowed to keep up the offensive until Israel achieves “complete victory” over Hamas and returns all the remaining hostages. But even some top Israeli officials have begun to acknowledge that those goals might be mutually exclusive.
Hamas is believed to be holding the captives in tunnels deep underground and using them as shields for its top leaders. Israel has only managed to rescue one hostage since the war began, and Hamas says several have been killed in Israeli airstrikes or during failed rescue operations.
A member of Israel's War Cabinet, former army chief Gadi Eisenkot, said last week that the only way to free the remaining hostages was through a cease-fire. In an implicit criticism of Netanyahu, he said claims to the contrary amounted to “illusions”.
Hamas has said it will not free more hostages until Israel ends its offensive. The group also is expected to make any further releases conditional on securing freedom for thousands of Palestinians imprisoned in Israel, including high-profile militants involved in attacks that killed Israelis.
Israel's government has ruled that out for now, but it faces rising pressure from families of the hostages, who are pushing for another exchange, and from Israelis frustrated by the security failures that preceded the October 7 attack and by Netanyahu's handling of the war.
Thousands of people gathered in Tel Aviv over the weekend to call for new elections.
Netanyahu's far-right coalition partners are meanwhile pushing him to step up the offensive, with some calling for the “voluntary” emigration of hundreds of thousands of Palestinians from Gaza and the re-establishment of Jewish settlements there. Israel withdrew soldiers and settlers from the territory in 2005, two years before Hamas seized power from rival Palestinian forces."
