UniqueID,Title,Author,PTime,DTime,MentionSourceName,MentionIdentifier,Content
0012444RE8_JZ1O55KIP52U3E2,Massachusetts officer injured in shootout with barricaded suspect,Associated Press,"Published January 22, 2024 8:31am EST",20240122,foxnews.com,https://www.foxnews.com/us/massachusetts-officer-injured-shootout-barricaded-suspect,"Fox News Flash top headlines are here. Check out what's clicking on Foxnews.com.
A Massachusetts police officer was shot and injured Saturday night when police exchanged gunfire with a man barricaded inside a home in Wilbraham, state police said.
NEW HAMPSHIRE MAN DEAD AFTER OFFICER-INVOLVED SHOOTING
The state police tactical team took the man into custody shortly after midnight. The man had gunshot injuries and was taken to an area hospital under police guard.
A southern Massachusetts police officer was shot and wounded by a barricaded suspect Saturday night.
During the standoff, state police used an armored vehicle with its battery ram extended to break a window on the front of the home. A trooper then flew a drone through the window into the home that showed video of the suspect inside a front breezeway with gunshot injuries, police said.
The injured Wilbraham police officer remains hospitalized, police said.
CLICK HERE TO GET THE FOX NEWS APP
Before the arrest, state police rescued two occupants of the home who had escaped onto a roof of the adjoining garage, officials said."
00XJ05353P_XE59HV3N5K249E6,Deborra-Lee Furness addresses Hugh Jackman divorce: ‘Evolution is a little frightening’,By Brie Stimson Fox News,"Published January 25, 2024 6:45pm EST",20240126,foxnews.com,https://www.foxnews.com/entertainment/deborra-lee-furness-addresses-hugh-jackman-divorce-evolution-frightening,"Fox News Flash top entertainment and celebrity headlines are here.
Deborra-Lee Furness is moving on after three decades as Mrs. Hugh Jackman.
""Change, transition, evolution is a little frightening, and we are all a bit scared of it. But I think it is probably our greatest gift,"" Furness told The Daily Telegraph in an interview published Wednesday.
Furness has her first acting role in eight years in the Australian film ""Force of Nature: The Dry 2"" with Eric Bana.
""It’s kind of exciting,"" Furness, who attended the premiere of the film in Sydney, told the outlet. ""For me, it was a strong female ensemble cast, a great director. I love Eric (Bana). It was coming home to Australia to shoot in the wilds.
HUGH JACKMAN'S ‘CRUSH’ ON DEBORRA-LEE FURNESS TURNED INTO 27-YEAR ROMANCE; STAR ONCE TALKED HER OUT OF LEAVING
Deborra-Lee Furness called change ""frightening"" but also the ""greatest gift,"" four months after her split from Hugh Jackman.  (Dimitrios Kambouris/Getty Images for The Met Museum/Vogue)
""You’re in for a great ride. I love a mystery.""
CLICK HERE TO SIGN UP FOR THE ENTERTAINMENT NEWSLETTER
The former couple announced their separation in September after 27 years of marriage.
The couple announced their split in September.  (Laurent Koffel/Gamma-Rapho via Getty Images)
""We have been blessed to share almost three decades together as husband and wife in a wonderful, loving marriage,"" the couple said in a statement shared with People magazine at the time. ""Our journey now is shifting, and we have decided to separate to pursue our individual growth.
LIKE WHAT YOU’RE READING? CLICK HERE FOR MORE ENTERTAINMENT NEWS
""Our family has been and always will be our highest priority. We undertake this next chapter with gratitude, love and kindness. We greatly appreciate your understanding in respecting our privacy as our family navigates this transition in all of our lives.""
Hugh Jackman and Deborra-Lee Furness met and married in the 1990s.  (Patrick Riviere/Getty Images)
Furness and Jackman met on the set of an Australian TV series and married less than a year later in April 1996.
They also share two adult children together — son Oscar, 23, and daughter Ava, 18.
CLICK HERE TO GET THE FOX NEWS APP
Their split seems to be amicable. The pair celebrated Jackman’s 55th birthday together with friends in October."
02PKUXKJTN_047DNPYIRCRYK57,"Death toll in China landslide rises to 25 as more than 1,000 first responders look for survivors",By Greg Norman Fox News,"Published January 23, 2024 7:10am EST",20240123,foxnews.com,https://www.foxnews.com/world/death-toll-china-landslide-rises-25-1000-first-responders-look-survivors,"Rescuers searching for survivors in Liangshui village after a landslide in southwestern China. (Credit: Reuters)
The death toll from a landslide in southwestern China has now risen to 25 on Tuesday as more than 1,000 first responders are combing through the rubble in a mountainous village as part of a desperate search for survivors.
One of the rescuers working the disaster scene in Liangshui says there are unstable soil conditions, Reuters is reporting, citing local media. First responders in the village in China’s Yunnan province are already dealing with freezing temperatures and falling snow.
""It is difficult to carry out large-scale mechanical operations, and it is very difficult to rescue on site,"" the rescuer said, according to Reuters.
Chinese state television says following the landslide that struck early Monday, 25 people have been confirmed dead, 19 are still missing and three have been rescued, Reuters also reported.
LANDSLIDE IN CHINA BURIES 47 PEOPLE IN MORE THAN A DOZEN HOMES
Rescue workers search for survivors on Tuesday, Jan. 23 at the landslide site in southwestern China. (STR/CNS/AFP via Getty Images)
Authorities resumed search and rescue operations Tuesday after suspending the work temporarily due to another landslide alert.
More than 1,000 rescuers are participating in the operation, according to the Ministry of Emergency Management. Two of the survivors that were rescued Monday are recovering at a local hospital.
State news agency Xinhua, citing a preliminary investigation by local experts, said the landslide was triggered by the collapse of a steep clifftop area, with the collapsed mass measuring around 330 feet wide, 200 feet in height, and about an average of 20 feet in thickness. It did not elaborate on what caused the initial collapse.
SECRET CHINESE LAB SIMULATES HYPERSONIC MISSILE ATTACK ON US WARSHIPS: REPORT
An aerial drone photo taken on Monday shows the site of a landslide in Liangshui in southwest China's Yunnan Province.
Chinese state television on Monday broadcast video of first responders carrying away an individual on a stretcher.
Other footage showed excavators digging through debris.
Chinese military personnel and rescue workers search for survivors after the landslide. (AFP via Getty Images)
CLICK HERE TO GET THE FOX NEWS APP
In China’s western Xinjiang region on Tuesday, a 7.1 magnitude earthquake also destroyed dozens of homes but only left six people injured.
The Associated Press contributed to this report.
Greg Norman is a reporter at Fox News Digital."
03BGB2VLWQ_VAICGL6RGKQ2N09,Nikki Haley fires back at Trump's social media attacks with link to donate to her campaign,"By Aubrie Spady , Joe Schoffstall Fox News","Published January 25, 2024 1:55pm EST",20240125,foxnews.com,https://www.foxnews.com/politics/nikki-haley-fires-back-trumps-social-media-attacks-link-donate-campaign,"Rep. Greg Steube. R-Fla., joined 'Fox & Friends First' to discuss the state of the 2024 GOP primary race and why he believes it is time for Republicans to band together supporting Trump.
Former President Trump said anyone who contributes to his opponent's campaign will be barred from the ""Make America Great Again"" MAGA community - but former United Nations Ambassador Nikki Haley quickly used the comment to her campaign's advantage.
In a TruthSocial post Wednesday, Trump hit Haley with insults ranging from ""Birdbrain"" to saying ""she was average at best"" when serving in his administration.
""Nikki ""Birdbrain"" Haley is very bad for the Republican Party and, indeed, our Country. Her False Statements, Derogatory Comments, and Humiliating Public Loss, is demeaning to True American Patriots,"" Trump wrote in a lengthy post.
The former president then went on to write that anyone who contributes to Haley's campaign ""will be permanently barred from the MAGA camp.""
NIKKI HALEY SHOWED ‘STUNNINGLY BAD JUDGMENT’ IN SPEECH AFTER NEW HAMPSHIRE LOSS, SAYS STEVE HILTON
Republican presidential candidate former U.N. Ambassador Nikki Haley speaks at a town hall campaign event, Tuesday, Dec. 12, 2023, in Manchester, N.H.  (Robert F. Bukaty)
""When I ran for Office and won, I noticed that the losing Candidate’s ""Donors"" would immediately come to me, and want to ""help out."" This is standard in Politics, but no longer with me,"" Trump wrote. ""Anybody that makes a ""Contribution"" to Birdbrain, from this moment forth, will be permanently barred from the MAGA camp. We don’t want them, and will not accept them, because we Put America First, and ALWAYS WILL!""
HALEY LIVES TO FIGHT ANOTHER DAY AGAINST TRUMP, BUT FACES ‘CHALLENGING ROAD’ AHEAD IN GOP PRESIDENTIAL RACE
Rather than stay silent, Haley reposted Trump's message on X with a link to donate to her campaign.
Republican presidential candidate former President Donald Trump speaking during a campaign event in Rochester, N.H., Sunday, Jan. 21, 2024.  (Charles Krupa)
""Well in that case…donate here. Let’s Go!"" Haley wrote.
CLICK HERE TO GET THE FOX NEWS APP
Several X, formerly known as Twitter, users responded to Haley's post with screenshots showing their donations to her campaign. Other X users mocked her for still staying in the GOP primary race.
Trump took aim at Haley Thursday morning on Truth Social, saying he ""heard BIRDBRAIN [Haley] totally ‘bombed’ last night in South Carolina,"" referring to her rally in North Charleston Wednesday evening.
""Why the surprise, she just bombed in Iowa and New Hampshire in a very big way, and lost both States,"" Trump continued. ""She also just lost Nevada because she saw the Polls and decided to take a pass on this Caucus State. 100% Trump!""
Get the latest updates from the 2024 campaign trail, exclusive interviews and more at our Fox News Digital election hub.
Aubrie Spady is a Production Assistant for Fox News Digital."
05NZNI6KSP_MDFT45N8Y1ENKBR,"Trump to be joined by Scott, Ramaswamy, Burgum in New Hampshire rally as a 'show of force' the GOP is 'united'",By Brooke Singman Fox News,"Published January 22, 2024 11:23am EST",20240122,foxnews.com,https://www.foxnews.com/politics/trump-joined-scott-ramaswamy-burgum-new-hampshire-rally-show-force-gop-united,"Fox News host Martha MacCallum interviewed former President Trump following Gov. Ron DeSantis, R-Fla., pulling out from the 2024 presidential race on 'The Big Weekend Show.'
EXCLUSIVE: Former President Trump will be joined on stage in New Hampshire Monday night by former opponents, now endorsers Sen. Tim Scott, Vivek Ramaswamy and Gov. Doug Burgum in a ""show of force"" that the Republican Party is ""united and ready to take on Joe Biden,"" Fox News Digital has learned.
Trump is set to hold a rally at 9:00 p.m. in Laconia, New Hampshire, Monday night — just hours before the state’s first-in-the-nation primary. Trump is leading former South Carolina Gov. Nikki Haley by double digits in recent polling.
Republican presidential candidate former President Trump speaking during a campaign event in Rochester, New Hampshire, Sunday, Jan. 21, 2024. (AP Photo/Charles Krupa)
FLORIDA GOV. RON DESANTIS DROPS OUT OF 2024 PRESIDENTIAL RACE, ENDORSES TRUMP
A Trump campaign official told Fox News Digital that Trump on Monday night will be joined on stage by Scott, R-S.C., Ramaswamy and Burgum. The three former GOP presidential candidates will speak on stage and take part in media interviews.
""This is designed as a show of force that the party is united and ready to take on Joe Biden,"" the official told Fox News Digital.
US entrepreneur Vivek Ramaswamy, right, endorses Republican presidential candidate former President Trump during a campaign event at the Atkinson Resort and Country Club in Atkinson, New Hampshire, on Jan. 16, 2024. (TIMOTHY A. CLARY/AFP via Getty Images)
The official said that ""all three VIP guests — former opponents, now endorsers — will be drawing a sharp contrast to Joe Biden in a preview of the general election that is now here.""
TRUMP ‘VERY HONORED’ BY DESANTIS ENDORSEMENT AFTER FLORIDA GOVERNOR SUSPENDS PRESIDENTIAL RUN
The GOP primary field shrunk down to just Trump and Haley on Sunday after Florida Gov. Ron DeSantis suspended his presidential campaign. Trump, who has been leading by massive margins since he announced his candidacy, won the Iowa caucuses on Jan. 15, solidifying his standing as the front-runner.
Sen. Tim Scott, a Republican from South Carolina, right, speaks while standing next to former President Trump during a campaign event in Concord, New Hampshire, on Friday, Jan. 19, 2024. (Photographer: Al Drago/Bloomberg via Getty Images)
In announcing the end of his presidential run, DeSantis put his full support behind Trump, endorsing him as the right candidate for the party.
Trump said Sunday that he was ""honored"" by DeSantis' endorsement, telling Fox News Digital in an exclusive interview: ""I look forward to working together with him to beat Joe Biden, who is the worst and most corrupt president in the history of our country.""
A Trump campaign official told Fox News Digital that while there are no immediate plans, the door is open for DeSantis to join Trump on the campaign trail.
North Dakota Gov. Doug Burgum, center, endorses former President Trump while joined by Kathryn Burgum, North Dakota's first lady during a campaign event at Simpson College in Indianola, Iowa, on Sunday, Jan. 14, 2024. (Al Drago/Bloomberg via Getty Images)
DeSantis, in endorsing Trump, said it is ""clear"" Republican voters ""want to give Donald Trump another chance.""
""They watched his presidency get stymied by relentless resistance, and they see Democrats using lawfare to this day to attack him,"" DeSantis said Sunday. ""While I have had disagreements with Donald Trump, such as on the coronavirus pandemic and his elevation of [Dr.] Anthony Fauci, Trump is superior to the current incumbent, Joe Biden. That is clear.""
DOWNLOAD THE FOX NEWS APP TODAY!
DeSantis said Trump has his endorsement ""because we can’t go back to the old Republican guard of yesteryear — a repackaged form of warmed-over corporatism — that Nikki Haley represents.""
Trump, who has dubbed DeSantis ""Ron DeSanctimonious"" on the campaign trail, says he won’t be using that nickname in the future. ""No, that name has been officially retired,"" Trump told Fox News Digital.
Brooke Singman is a political correspondent and reporter for Fox News Digital, Fox News Channel and FOX Business."
05Y3V99BKH_FPKLOCU5B4MC8A6,Grandma busted trying to flee country in FSU professor's murder-for-hire plot could lose lawyer in legal twist,By Michael Ruiz Fox News,"Published January 22, 2024 1:26pm EST",20240122,foxnews.com,https://www.foxnews.com/us/grandma-busted-trying-flee-country-fsu-professors-murder-hire-plot-could-lose-lawyer-legal-twist,"Donna Adelson was seen being arrested at Miami International Airport for an alleged murder-for-hire plot to have her former son-in-law killed. (via Miami-Dade Police)
The Florida grandmother charged in a murder-for-hire plot to kill her former son-in-law, Florida State University law professor Daniel Markel, waived a potential conflict of interest her own lawyer has in the case at a hearing Monday.
Attorney Daniel Rashbaum is also representing Donna Adelson's son, Charlie Adelson, a dentist who is serving a life sentence for his role in plotting Markel's 2014 murder.
She waived the potential conflict and her right to obtain outside counsel. But she could still lose her lawyer if he is called as a witness in the case.
HIRING A HITMAN: INSIDE A FLORIDA DENTIST'S ALLEGED PLOT TO HAVE HIS SISTER'S EX, A PROMINENT ATTORNEY, KILLED
This undated family photo shows Dan ""Danny"" Markel and his two sons. (Photo courtesy of Ruth Markel)
Miami police arrested the 73-year-old Adelson at an airport in November, where she allegedly had a one-way ticket to Vietnam. A prison phone recording of a call between her and her son showed she discussed fleeing to Vietnam, China and Korea to avoid extradition.
Bodycam video of the arrest released earlier Monday showed her resisting officers' attempt take the cellphone out of her hand before they slapped her in handcuffs in front of her husband, who has not been charged in the murder conspiracy.
Donna Adelson virtually appears in court Jan. 22, 2024, for a case management hearing. Adelson is charged with first-degree murder in the 2014 death of her son-in-law, Dan Markel. (Jeff Burlew/Imagn)
""I didn't know there was a warrant,"" she told officers in the 12-minute video. They allowed her husband to remove and keep her jewelry and other valuables before they escorted her away.
‘LIFE SENTENCE’: MOTHER OF FLORIDA LAWYER KILLED IN MURDER-FOR-HIRE PLOT DETAILS FAMILY'S FIGHT FOR JUSTICE
Florida prosecutors have charged Adelson with first-degree murder and solicitation of murder in Markel's death. He and Adelson's daughter, Wendi Adelson, were involved in a bitter child custody battle at the time of his slaying. The Adelsons also allegedly opposed Markel's desire to raise the children in a kosher household.
Charles Adelson, left, and Florida State University law professor Daniel Markel (FSU). (Broward County Sheriff’s Office | FSU)
Markel died when gunmen ambushed him in his Tallahassee driveway on July 18, 2014. That morning, he dropped his children off at day care and went to the gym. As he returned home, he was on the phone with a charter school representative discussing his children's enrollment when a hitman shot him in the head.
GO HERE FOR MORE TRUE CRIME FROM FOX NEWS DIGITAL
A neighbor who heard the gunshot rushed over and called 911.
Wendi Adelson, Charlie Adelson's sister and Dan Markel's ex-wife, testifies in court clarifying details about conversations with her mother and of her divorce, on Oct. 26, 2023, in Tallahassee. (Elena Barrera/USA Today Network)
""You need to send an ambulance in a hurry,"" he told the dispatcher. ""He is still alive. He is moving.""
First responders arrived 19 minutes later, and Markel was pronounced dead at a hospital.
CLICK HERE TO GET THE FOX NEWS APP
Three co-conspirators convicted in the case include Charlie Adelson's ex-girlfriend, Katherine Magbanua, and hired guns Luis Rivera and Sigfredo Garcia.
Adelson's next hearing is set for Feb. 12. She has pleaded not guilty.
Fox News' Shona Holagh, Landon Mion and Stephanie Pagones contributed to this report.
Michael Ruiz is a reporter for Fox News Digital. Story tips can be sent to michael.ruiz@fox.com and on Twitter: @mikerreports"
063MI0ID1C_L48SEOW915M885E,Wisconsin Republicans hastily approve new legislative maps,Associated Press,"Published January 24, 2024 6:28am EST",20240124,foxnews.com,https://www.foxnews.com/politics/wisconsin-republicans-hastily-approve-new-legislative-maps,"Catholic Memorial High School President Donna Bembenek and Wisconsin Institute for Law and Liberty’s Rick Esenberg discuss the state’s latest lawsuit claiming that the school choice law is unconstitutional.
Wisconsin Republicans made a last-ditch effort Tuesday to avoid having the liberal-controlled state Supreme Court put in place new legislative district boundaries for the November election.
The Republican-controlled Senate passed new Senate and Assembly maps just over an hour after unveiling them, not giving the public or Democrats a chance to review them ahead of their release. Democrats said they didn't have time to analyze the proposal before the vote.
And Assembly Republicans were discussing passing maps as proposed by Democratic Gov. Tony Evers without any changes. That could stop the Wisconsin Supreme Court from ordering maps that were even worse for Republicans.
WISCONSIN REPUBLICANS WOULD MAINTAIN MAJORITY IN PROPOSED LEGISLATIVE MAPS, BUT WITH REDUCED DOMINANCE
Republican Senate Majority Leader Devin LeMahieu said that the new maps approved by the Senate were the same as what Evers proposed, but with changes to reduce the number of Republican incumbents who would have to face one another in November.
Republican Wisconsin Assembly Speaker Robin Vos talks to the media on Feb. 15, 2022. (Andy Manis)
The governor's map was ""clearly a partisan attack on us,"" LeMahieu said.
""We just wanted to make things somewhat fair,"" he said.
In yet another twist, Republican Assembly Speaker Robin Vos said he supports passing the maps as proposed by Evers with no changes. He said Republicans can win under the lines drawn by Evers.
""We would basically be giving Gov. Evers a huge win,"" Vos said shortly after Evers concluded his State of the State speech. ""Adopting his maps, stopping the lawsuit seems like something to me we could agree on, but I’m waiting on Gov. Evers to get back to us.""
Evers’ spokesperson did not immediately return a message seeking comment.
The Assembly could vote on the maps Wednesday.
The Wisconsin Supreme Court last month tossed the current Republican-drawn district boundaries as unconstitutional and ordered new maps. Evers, Republicans, Democrats and others submitted maps that two consultants hired by the court are now reviewing. Their recommendation is due Feb. 1, and the court is expected to release new maps shortly after.
But the court said it would defer to the Legislature if it could pass maps that Evers would sign into law.
Evers and Democrats appeared unlikely to back the new Republican maps passed by the Senate which made changes to what he proposed.
""This is about one thing: Republicans desperately trying to retain power,"" Evers' spokesperson Britt Cudaback posted before the maps were released. ""Full stop.""
Cudaback said in a post on X, formerly Twitter, that any maps that differ from the maps as Evers submitted them to the Supreme Court ""aren’t the governor’s maps. Period.""
If Evers vetoes the new Republican maps, it ""will just show his true intent of trying to disenfranchise Republican voters around the state,"" LeMahieu said.
Democrats said the maps, detailed in a 169-page amendment, were an attempt by Republicans to protect their majorities that sit at 22-11 in the Senate and 64-35 in the Assembly.
""This is not a serious proposal that we have before us,"" Democratic Sen. Mark Spreitzer said. ""These maps make changes that protect Republican incumbents.""
The Senate passed the bill 17-14, with four Republicans joining 10 Democrats against. No Democrats voted for it.
All maps under consideration by the Wisconsin Supreme Court are expected to shrink Republican majorities.
WISCONSIN SUPREME COURT TOSSES GOP-DRAWN LEGISLATIVE MAPS, ORDERS NEW VOTING BOUNDARIES
Under the Evers map, Republicans would have a seven-seat majority in the Assembly, down from 29 seats now, and just a one-seat edge in the Senate, based on an analysis by Marquette University Law School research fellow John D. Johnson. His analysis used a statistical model to predict the results of the 2022 state legislative election had they taken place in the newly proposed districts.
LeMahieu said the changes Republicans were proposing to Evers' maps would not affect the partisan breakdown of each district.
This isn't the first time Republicans have tried to take control of redistricting. In September, three months before the court ordered new maps, the Assembly passed a sweeping plan that takes the power of drawing maps out of the hands of lawmakers and gives it to nonpartisan staff.
But Evers rejected the plan, calling it ""bogus,"" even though it largely resembled a nonpartisan redistricting plan he’s pushed for years.
It was that bill that Senate Republicans amended before passing it Tuesday. It was passed just hours before Evers delivered his State of the State address."
07II3RR2KI_DJXY2IJ88KZ875L,Doctor's ex-employer sought to subpoena firefighter boyfriend before she died in his house: court docs,By Michael Ruiz Fox News,"Published January 25, 2024 4:00am EST",20240125,foxnews.com,https://www.foxnews.com/us/doctors-ex-employer-sought-subpoena-firefighter-boyfriend-before-she-died-his-house-court-docs,"Ricky Johnson, 38, Clayton McGeeney, 36 and David Harrington, 37, were found dead outside their friend Jordan Willis' home two days after a watch party for the Kansas City Chiefs game on Jan. 7. (Fox 4 KC)
The former employer of a doctor found dead in the home of a Missouri firefighter whose previous fiancee killed herself in his house had sought to subpoena him in a federal lawsuit, court filings reveal.
A memorandum filed in a lawsuit and counterclaim between Dr. Sarah Sweeney and the Best Foot Forward podiatry clinic also claimed that she had described her boyfriend as ""abusive."" It was filed in September, just months before police opened an investigation into her ""sudden death.""
Sweeney, a 39-year-old podiatrist originally from West Virginia, was suing the St. Louis clinic that she'd worked for after moving to Missouri and before she founded her own practice, alleging harassment and discrimination and that her employer allegedly failed to compensate her for her work.
Her unexpected death on Jan. 13, which remains under investigation, has drawn renewed attention to the 2020 suicide of Grace Holland, 35. Both women died in the homes of a local fire captain, Robert Daus.
2 MISSOURI WOMEN FOUND DEAD IN SAME FIREFIGHTER'S HOME YEARS APART
Dr. Sarah Sweeney, left, and Grace Holland, right. Both women were found dead in homes belonging to Robert Daus. (Sweeney Family, Grace Holland/Facebook)
Attorneys for her former employer were trying to subpoena Daus in the case, arguing that communications between the two could be ""directly relevant"" if they pertained to her physical or mental health.
""During Sweeney’s employment with BFF, she was in a relationship with a person upon whom BFF and Harry have been attempting to serve with a subpoena, Rob Daubs (sic), who was according to Sweeney abusive and was suspected of murdering a previous girlfriend,"" Mark Murphy, an attorney representing the defendants, wrote.
Daus has actually not been named a suspect in Holland's death, which was not considered a murder.
It was ruled a suicide by the county medical examiner and two separate police investigations, but her family is suing him alleging wrongful death, and has accused him of abusing her as well.
Read the filing:
Murphy was seeking text messages between Sweeney and a former colleague that might relate to her physical and mental health, especially in conversations that mentioned Daus.
He had also filed for a subpoena seeking ""all electronically stored communications between [Daus] and plaintiff Sarah Sweeney.""
Sweeney claimed in the lawsuit that the clinic denied her health benefits and caused her to incur medical debt and business loans when she left to found her own practice. As recently as Dec. 21, she told the court her personal assets consisted of just $212 and was in palliative care due to the lack of health insurance.
Grace Holland and Robert Daus in this 2020 photograph posted to her Facebook. Her death in July 2020 has been ruled a suicide after multiple investigations, despite skepticism from her family. (Grace Holland/Facebook)
""I moved to St. Louis, Missouri from Texas in order to work for defendants. Due to the financial exigencies caused by that employment – by not being paid consistently or fully and by not having health insurance – I have alternately been homeless and moved several times since I arrived,"" she told the court. ""I am currently living with my boyfriend. Most of my belongings are in boxes.""
Both the clinic and its owner filed a counterclaim, accusing her of breaching her employment agreement, violating a no-compete clause and libel, among other things.
MISSOURI FIREFIGHTER'S FIANCEE AUTOPSY REVEALS ‘SUSPICIOUS’ SCENARIO, EXPERTS SAY
Daus' attorney has not responded to numerous requests for comment.
Dr. Sweeney's family told Fox News Digital earlier this week that she stopped communicating with her mother and stepfather after they sent her news stories about Holland's death.
Holland's family has claimed that the firefighter, a captain in the Maryland Heights Fire District, controlled her finances and that they suspected domestic violence in the months before her death.
CLICK HERE FOR THE FOX NEWS APP
Creve Coeur's chief of police, Jeffrey Hartman, stood by his department's investigation into Holland's death Wednesday and said county police had reviewed the case and come to the same conclusion – suicide.
He has also cautioned against speculation in Sweeney's case as her autopsy and toxicology results are not yet available.
Michael Ruiz is a reporter for Fox News Digital. Story tips can be sent to michael.ruiz@fox.com and on Twitter: @mikerreports"
0898J07OHV_6OJJGW32TLNFN3U,Educators urge largest teachers union in US to rescind support for Biden until 'permanent cease-fire' in Gaza,By Joshua Q. Nelson Fox News,"Published January 24, 2024 8:18am EST",20240124,foxnews.com,https://www.foxnews.com/media/educators-urge-largest-teachers-union-us-rescind-support-biden-until-permanent-cease-fire-gaza,"FOX Business correspondent Madison Alworth reports that President Biden will not be on the New Hampshire ballot due to the DNC and the state disagreeing on the primary schedule.
Some educators are urging the largest teachers union in the U.S. to rescind its support for President Biden until a ""permanent cease-fire"" occurs in Gaza.
According to The Nation, teachers are organizing to urge the National Education Association, an organization of over 3 million members, to rescind its support for Biden’s re-election after first announcing it last April.
Rahaf Othman, a 45-year-old Palestinian American and social studies teacher, told The Nation that she was ""distraught"" to find out about the Israel-Palestinian conflict that started with the Hamas terrorist attack on Oct. 7.
She explained further that the matter is personal because ""our union has been very focused on racial and social justice, and supporting him when he is not only funding but also sending weapons killing my people sends me the message that we don’t matter, and that we are collateral damage and that’s OK.""
National Education Association (NEA) President Becky Pringle, left, announced that the group is recommending President Biden and Vice President Kamala Harris, right, to ""continue their leadership in prioritizing America’s students, educators, and public schools as the Democratic nominees for re-election."" (Tannen Maury/EPA/Bloomberg via Getty Images)
'LIBS OF TIKTOK' CREATOR APPOINTED TO OKLAHOMA LIBRARY ADVISORY COMMITTEE
Othman, a member of the Illinois Education Association (IEA) Local 218, said she joined the effort to sway the NEA to drop its endorsement for Biden until he ""secures a permanent cease-fire,"" The Nation reported.
Even a member of the NEA board of directors is joining the engagement.
The outlet further reported that teachers are calling for the U.S. to end ""sending military funding, equipment, and intelligence to Israel"" and commit ""to a fair due process for asylum-seekers and refugees.""
The Nation described the effort as a ""small-but-growing campaign in the US labor movement.""
""For the first month, people were asking me what we should do, but I couldn’t think, couldn’t focus,"" Othman told the Nation.
""Educators rallied together and created this group, Educators for Palestine. I am grateful they brought me along for the ride.""
Pro-Palestinian demonstrators attend a protest at Columbia University in New York City on Oct. 12, 2023. Dueling demonstrations by both pro-Palestinian and pro-Israeli student groups were hosted on the campus amidst calls for global protests regarding the ongoing Israel-Hamas war. (Julia Bonavita/Fox News Digital)
THOUSANDS OF SCHOOLS RISK CLOSURE DUE TO 'MASSIVE' ENROLLMENT LOSS: NEW REPORT
The teachers go further by planning to withhold voluntary donations from the union’s political action committee ""until NEA takes this step."" Members are not planning to withhold union dues, however.
As the effort is in its early stages of development, the outlook of potential support is not yet realized, though The Nation reported that the supporters are noticing ""momentum.""
The outlet added the group of members pushed 19 local, state, and regional bodies of the NEA to pass resolutions calling for a cease-fire in Gaza and claim credit for NEA President Rebecca Pringle’s tweet in support of a cease-fire.
While members work on building the movement's support, NEA members are planning to protest alongside the American Federation of Teachers at an NEA board meeting in February.
President Biden speaks at a ""Reproductive Freedom Campaign Rally"" at George Mason University in Manassas, Virginia, on Tuesday.
CLICK HERE TO GET THE FOX NEWS APP
The effort comes after Pringle announced that the NEA is recommending Biden and Vice President Harris ""continue their leadership in prioritizing America’s students, educators, and public schools as the Democratic nominees for re-election.""
The NEA did not immediately respond to a request for comment.
Joshua Q. Nelson is a reporter for Fox News Digital.
Joshua focuses on politics, education policy ranging from the local to the federal level, and the parental uprising in education.
Joining Fox News Digital in 2019, he previously graduated from Syracuse University with a degree in Political Science and is an alum of the National Journalism Center and the Heritage Foundation's Young Leaders Program.
Story tips can be sent to joshua.nelson@fox.com and Joshua can be followed on Twitter and LinkedIn."
09HSW7E3VC_ACAPGG23DID6ZQ8,Canadian man accused of selling deadly substances to plead not guilty: lawyer,Associated Press,"Published January 26, 2024 3:38pm EST",20240126,foxnews.com,https://www.foxnews.com/world/canadian-man-accused-selling-deadly-substances-plead-not-guilty-lawyer,"Fox News Flash top headlines are here. Check out what's clicking on Foxnews.com.
TORONTO (AP) — The lawyer for a Canadian man accused of selling lethal substances on the internet to people at risk of self harm said he will be pleading not guilty to upgraded murder charges.
Kenneth Law was charged in December with 14 counts of second-degree murder, and his lawyer, Matthew Gourlay, confirmed Friday those have now all been upgraded to first-degree murder.
DR. JORDAN PETERSON DEFIANT AFTER COURT MANDATES SOCIAL MEDIA TRAINING: 'THE GOAL IS TO TAKE MY LICENSE'
An international investigation is underway following the arrest in Canada last year of the 58-year-old Law, who was initially charged with two counts of counseling and aiding suicide last year. More charges were announced in December.
Canadian police say Law, from the Toronto area, used a series of websites to market and sell sodium nitrite, a substance commonly used to cure meats that can be deadly if ingested. He is accused of shipping them to people in more than 40 countries.
Canadian man stands accused of illegally aiding in assisted suicide. (Minas Panagiotakis/Getty Images)
British police said they are investigating the deaths of 88 people in the U.K. linked to the websites. Authorities in the United States, Italy, Australia and New Zealand also have launched investigations.
Law’s case was set to return before a Newmarket, Ontario, court on Tuesday, but Gourlay said that will not take place as scheduled since the case will instead go directly to trial in Superior Court. Gourlay said his next court appearance is now expected to be next Thursday in Superior Court.
The Ministry of the Attorney General didn't immediately respond to a message asking why the charges were upgraded to first degree murder. Peel Regional Police referred comment to the ministry.
CLICK HERE TO GET THE FOX NEWS APP
Police have said all charges against Law relate to the same 14 alleged victims, who were between the ages of 16 and 36 and died in communities across Ontario. The believe more than 1,200 packages were sent out globally, and about 160 were sent in Canada.
It is against the law in Canada for someone to recommend suicide, although assisted suicide has been legal since 2016 for people aged at least 18. Any adult with a serious illness, disease or disability may seek help in dying, but they must ask for that assistance from a physician."
