UniqueID,Keyword
057I71ED84_HXDXGYUXTF77G8A,cambodia|cambodian|cambodians|detained|vietnam|arrest|vietnamese|laos|activists|arrests|protesting|protesters|protests|rights|amnesty
08KWDECEYZ_ZB5O5E1YJY97KAV,park|parking|homicide|incident|accident|victims|minneapolis|restaurant|st|police|louis|patio|injuries|driving|hospitalized
0I8CKKD3M4_VE3F28IVHKVCK4Q,gaza|palestinian|militants|hamas|palestinians|shakuri|israelis|jerusalem|israeli|militant|attacker|israel|protesters|killed|roni
0QIHK313LB_3NXYQU2X5CCQUHD,deportation|deportations|deported|solingen|berlin|taliban|germans|afghan|persecution|suspect|extremist|crime|suspected|immigration|homeland
1IIOU0C0MG_RYWWE2OCX7ORDBM,reelection|morse|kelly|candidates|senate|governor|republican|ayotte|nomination|democrat|election|ballot|veto|gop|governors
1J2TSVN9TY_T0QKVMVJNWBEL9C,scott|sentencing|arrest|incarceration|sentenced|smith|prosecuting|felony|arrested|charges|jail|prison|plea|judge|susan
2G7DE5SBMZ_JNZSEZ0OICUSIXY,trudeau|ndp|vancouver|canadians|québécois|quebec|fraser|canadian|justin|toronto|election|canada|columbia|coalitions|conservatives
2HA36RIVZI_TJMAX9PSP9JM1Y2,beijing|china|saharan|africa|tariffs|industrialize|economies|uganda|yuan|zhang|cooperation|internationalism|exports|industrialization|african
2Q0RRAJTFW_MGVZNVM7Y6I2BI9,accused|activists|alleged|defendants|indictment|russians|prosecutors|genocide|russian|yeshitela|defendant|conspiracy|protests|jurors|african
2X0VZOV2QI_61EHC41R9G7AHMD,sentencing|threats|threatening|harassment|lilly|incarceration|threat|sentenced|threatened|prosecutors|lawmaker|congressional|harassing|calls|testified
3BUJRXOC23_PSPD57HKY0W78FH,lópez|mexico|constitutional|judicial|judge|elections|congress|protesters|deputies|senate|judges|reforms|ruling|proposals|vote
3EC4D3WSW6_EHBHYFN2X9NCD1G,wildfire|blaze|firefighters|evacuation|flames|sierra|nevada|burning|tahoe|burned|california|reno|desert|inland|evacuated
3TQGZB057N_6MN27YCIJWPXYJT,denmark|fever|danish|infected|bluetongue|copenhagen|btv|veterinary|virus|vaccinated|disease|contagious|sheep|cattle|viral
3WVA6FEM53_YX89GO1VLM4JB6R,yoon|korean|korea|seoul|hyun|impeachment|impeachments|dictatorship|elections|presidential|election|president|kim|parliamentary|suk
4OSN2BFYJX_25T1XZHE8C4PYDJ,cemetery|harris|veterans|arlington|graves|trump|donald|disrespected|taliban|sgt|president|ground|sacred|sacrifice|afghanistan
5677HS320H_D9O1PP7127C62S3,hamas|gaza|palestinian|palestinians|sinwar|defendants|accused|terrorist|terrorism|israeli|militants|bombings|hezbollah|yahya|israel
59AWFZ5026_WG602JBK6YUI5Q3,nursing|disappeared|body|decomposing|patient|aneurysm|missing|etienne|miami|examiner|dade|medical|florida|closet|death
59IP6CWCME_J2I4TJI67QJPPP5,immigrants|migrants|mexican|mexico|juárez|beijing|daijing|chinese|emigrants|chinatown|china|guangdong|chengdu|colombia|sichuan
5O03AFPJY3_600I8C3TOXOUWRI,taiwan|taipei|island|china|foreign|chinese|strait|diplomatic|asia|zhang|beijing|territory|diplomat|missiles|military
61ULMUUFF9_9WNNE805MJOB6IU,immigration|migrants|mexico|mexican|oaxaca|transit|bus|border|permit|asylum|cbp|buses|villahermosa|appointment|south
62S078D7E0_Z68EI9CEWEUGAVB,culinary|restaurants|chefs|restaurant|kitchens|chef|cooks|dining|chocolatiers|cook|kitchen|burgers|meal|michelin|food
6BY47ABRIC_0GTAE5E7IZCX62Q,hernández|colombian|bogota|colombia|colombians|gustavo|petro|campaigning|candidate|election|voters|politician|mayor|presidential|political
6ODDZWNU3F_GQZ17Y9NSMX5QDG,manila|filipino|philippines|philippine|indonesia|indonesian|guo|jakarta|marcos|arrest|deported|arrested|extradition|mayor|accused
6R4B2IWJDH_CXCBAVG3906GFVT,candidates|candidate|ballot|election|alaska|alaskan|elections|alaskans|voters|dahlstrom|republican|primary|juneau|voting|votes
702PH4G49G_LNJUYEC34Q7IMY5,taipei|taiwan|ko|mayor|chairman|protests|tpp|nationalist|communist|pacific|nationalists|supporters|fled|lai|news
7JLKAC3ZXR_AEZ0YPUFKR7RMGB,convictions|conviction|orleans|prosecutorial|incarceration|appeals|prosecutor|williams|sentencing|convicted|crimes|prosecutors|misconduct|criminal|louisiana
7M8FSOA36V_OIDN3IE5JZLCGD3,tennessee|orano|uranium|oak|nuclear|tenn|tennesseans|knox|facility|renewable|ridge|mcnally|lee|state|build
7N4OBBH4OG_OBTS9YFRRQ4A4EW,biden|prosecution|accused|indictment|jury|prosecutor|jurors|prosecutors|indicted|trial|presidential|courtroom|bidens|conviction|judge
7Y48B4GDL2_ISYX3HZ01SZBQKQ,defendants|jail|tate|prosecutors|alleged|romania|bucharest|detention|crimes|exploited|ruling|investigation|detained|tates|custody
