newid,title,author,ptime,dtime,url,content
82LU7B0N5A-0,US Overtakes China as South Korea’s Top Export Market,Sam Kim and Hooyeon Kim,"January 1, 2024 at 10:19 AM·2 min read",20231202,https://finance.yahoo.com/news/us-overtakes-china-south-korea-021922764.html,"(Bloomberg) -- South Korean exports to the US exceeded shipments to China for the first time in two decades last month, in a sign of shifting ties amid global tensions over economic security and tech supply chains.
Most Read from Bloomberg
Iran Sends Warship to Red Sea After US Sinks Houthi Boats
Tokyo Runway Collision Leaves 5 Dead, Airbus Aircraft Ablaze
US Pressured Netherlands to Block China-Bound Chip Machinery
India’s Crude Oil Imports From Russia Plunge on Payment Issues
Quake Hits Northwestern Japan, Killing Four, Wrecking Homes
South Korea sold $11.3 billion in goods to the US in December compared with $10.9 billion to China, the trade ministry said Monday. The switch in positions came as South Korea’s overall exports rose 5.1% from a year earlier — a third monthly increase after a yearlong slump.
The change in positions partly reflects China’s economic challenges, which led policymakers to come up with a series of stimulus measures last year. Still, one month’s data doesn’t offer conclusive proof of a conscious or enduring shift in trading patterns.
China remains South Korea’s biggest trading partner by a large margin given the scale of Seoul’s imports from the world’s second-largest economy.
While exports to the US have increased from a year earlier for a fifth month, South Korea said shipments to China also continued to improve. Meanwhile, South Korea’s overall imports declined 10.8% from a year earlier, with a trade surplus widening to $4.5 billion.
The data come as the US looks to generate support for its agenda to reduce dependence on China in global supply chains and limit the country’s access to advanced semiconductor technology.
That has placed countries like South Korea and Japan in an awkward spot between their two biggest trading partners. Both Seoul and Tokyo are key military allies of Washington, another important dimension given Beijing’s increasing assertiveness in the Indo-Pacific and rising tensions in the region.
Under President Yoon Suk Yeol, South Korea has been forging stronger ties to the US. Yoon traveled to Washington last year with a plethora of Korean executives, where he pitched deeper ties with America in meetings with President Joe Biden and Congress.
South Korea and the US have a free-trade agreement which began in 2012, so Seoul benefits from US laws that increasingly restrict the use of batteries and other products made in countries including China.
China is also ramping up domestic production of goods as it moves up the value chain. One key area that China is focusing on is semiconductor and smartphone manufacturing, a development that has contributed to a slump in sales of goods made by Samsung Electronics Co. and other businesses.
Most Read from Bloomberg Businessweek
Help, I Saw My Boss on a Dating Site
On The Businessweek Show: What Audiences Actually Want to Watch
Elon Musk Made 2023 All About Himself
©2024 Bloomberg L.P."
3518ZZYWDF-1,Alex Batty ‘unlikely to see mother or grandfather again’,Henry Bodkin,"January 3, 2024 at 9:53 PM·3 min read",20231204,https://news.yahoo.com/alex-batty-unlikely-see-mother-135323776.html,"Alex Batty said he is unlikely ever to see his mother or grandfather again as he revealed the final moments before he fled the Pyrenees in search of a “normal life”.
The 17-year-old said he had prepared a final meal for his mother Melanie Batty and grandfather David, before striking out on foot to return to the UK
They had spent six years living in communes across Morocco, Spain and France. Greater Manchester Police has launched a criminal investigation into the alleged abduction of the teenager.
Alex’s mother and grandfather have not been since his escape and are believed still to be in France or to have crossed the border. Last week, it was reported that Ms Batty had sent an email to her former landlord in Villefort, a hamlet in the French Pyrenees, saying: “I’ve got to keep running.”
Asked in an interview with Good Morning Britain on Wednesday whether he would ever see his mother, 43, or grandfather, 64 again, Alex replied: “Probably not. I don’t mind.”
Describing the day he decided to leave, Alex said: “It was a normal day. It was a very, very quick decision for it to be that day. I realised it was time, just like that. So I made food for everyone, played it chilled of course, and around half 10 I wrote the note, and by 12 o’clock I was gone.”
Last week, The Telegraph revealed that Alex and his grandfather had been living apart from Ms Batty and her new boyfriend for at least several weeks before he decided to leave.
She had apparently adopted a more comfortable life with an Italian man called Fabrizio, moving into a newly converted stone cowshed,and spending much of her time socialising in cafes and bars in nearby Chalabre.
Local acquaintances of the couple have said she could be being sheltered nearby by one of many “cults” or have fled ao Spain or Andorra.
Last month, Alex told The Sun that a final row with his mother, who he described as very “spiritual” and stridently anti-government, had prompted him to escape.
For years, he had worked on construction projects and on the land, receiving no education and only making “one” friend his own age in six years.
He told Good Morning Britain: “Everyone else I’ve known has been a lot older than me. So I’m very comfortable talking to adults, but with children my age I’m completely different.”
Alex, who wants to study computer engineering, said he had previously asked his mother whether he could go home but she had ruled it out. His grandfather, however, had been more sympathetic.
“We stayed in a lot of caravans and we stayed in a lot of houses, always up mountains hours away from any kind of village or anything,” he told GMB. “One day I thought: ‘OK, I can’t take this any more’.”
Alex is now back in Oldham, Greater Manchester, with Susan Cuarana, his grandmother and legal guardian. He told GMB his birthday is coming up on Feb 13, and asked about his plans, he said: “[Getting] absolutely hammered with my friends.”
Broaden your horizons with award-winning British journalism. Try The Telegraph free for 1 month, then enjoy 1 year for just $9 with our US-exclusive offer."
M3T263SNWK-2,"JetBlue's CEO is stepping down, and he'll be replaced by the first woman to lead a big US airline",Associated Press Finance,"January 8, 2024 at 5:27 PM·2 min read",20231210,https://finance.yahoo.com/news/jetblues-ceo-stepping-down-hell-232715076.html,"NEW YORK (AP) — JetBlue said Monday that CEO Robin Hayes will step down next month and be replaced by the airline’s president, Joanna Geraghty, who will be the first woman to lead a major U.S. carrier.
Geraghty, 51, joined JetBlue in 2005 and has taken on an increasingly prominent role at the New York-based airline in recent years, including becoming president and chief operating officer in 2018.
Geraghty said she was honored to get the new job, and said she was looking forward “as we execute on our strategic initiatives, return to profitable growth, and generate sustainable value” for shareholders.
Hayes, 57, said he will retire for health reasons.
“The extraordinary challenges and pressure of this job have taken their toll, and on the advice of my doctor and after talking to my wife, it’s time I put more focus on my health and well-being,” Hayes said in a statement.
The change at the top will occur on Feb. 12. It comes as JetBlue waits for a federal judge in Boston to decide whether it can purchase Spirit Airlines for $3.8 billion in a bid to grow quickly into a challenger to the biggest U.S. airlines. The Justice Department sued to block the deal, and a trial was held last fall.
Hayes, 57, is a former British Airways executive who joined JetBlue in 2008 and became CEO in 2015. He pushed the airline to start transatlantic flights and create a partnership in the Northeast with American Airlines. The deal with American was disbanded, however, after the Justice Department successfully sued to kill it.
JetBlue is the nation’s sixth-biggest airline by revenue, slightly behind No. 5 Alaska Airlines. Hayes has pursued mergers for several years to draw closer in size to American, Delta, United and Southwest.
JetBlue tried to buy Virgin America in 2016, but it was outbid by Alaska Airlines. In 2022, Hayes prevailed as JetBlue beat out Frontier to strike a deal with Spirit, the nation's biggest low-fare airline.
Related Quotes"
JWP3QFXXN5-3,A war travelogue: Two Florida photographers recount harrowing trip to document the Ukraine war,"Earle Kimel, USA TODAY NETWORK","January 1, 2024 at 7:02 PM·9 min read",20240101,https://news.yahoo.com/war-travelogue-two-florida-photographers-110204783.html,"David Graham and Allan Mestel stopped for a break on the side of the road near Donetsk, Ukraine, last summer when Graham pointed out a faded green piece of plastic – remnants of an exploded land mine.
“It looks like a toy,” Graham told Mestel, his colleague in the journalistic endeavor Portrait Ukraine 2023, which can be seen on the Spotlight Ukraine website.
“It looks like a toy; I was like 'Allan that’s one, right here,’” Graham recalled. “It was safe, it had already exploded but just this little piece of green plastic would take your foot off.”
Mestel added, “I think that was one of the most dangerous aspects of what we were doing the whole time we were in Donetsk: there were signs up, ‘Watch out for mines.’”
Graham, 56, and Mestel, 61, both photographers from Sarasota, Florida, were in the midst of a three-week journey through Ukraine, as freelance journalists and documenting the war's impact.
They also sent regular dispatches to Spotlight Ukraine, a passion project website operated by Christine Mariconda, a marketing professional now based in Sarasota.
At least 17 journalists have been killed in Ukraine since the Russian invasion began in February 2022, according to the Committee to Protect Journalists.
Mestel and Graham have taken on the risk more than once. Their trip in late August and early September was Mestel’s third and Graham’s second.
Along the way, soldiers they traveled with were constantly urging the two men to stay on the paved areas.
“There were unexploded mines all over the place,” Graham told the Sarasota Herald-Tribune, part of the USA TODAY Network, adding, “Somebody lobs a shell and all of a sudden, there's 200 more unexploded mines around.”
One of the more sobering instructions the two men received from their military escort was on the importance of having a tourniquet kit attached to their clothing. “'Make sure they’re somewhere you can reach them one-handed, with either hand,'” they were told.
Mestel and Graham met through the Sarasota photographic community.
Originally from Canada, Mestel started in advertising as a director and editor of TV commercials in Toronto. He frequently pursues documentary projects about the plight of refugees and immigration and co-founded the Sarasota-based nonprofit Streets of Paradise in 2018 along with his wife Robyn Richardson and community activist Greg Cruz.
Graham, a computer specialist with the Sarasota County School District, is a popular wedding photographer and photography instructor
Prior to their late summer trip, the two were talking and Mestel expressed an interest in getting closer to the conflict.
“He had this passion to go back, I was looking for a contract or something to go back or an excuse to go back,” Graham said.
In turn, Mestel said Graham’s experience gave his wife Robyn a little more comfort that they would return home unharmed. While the trip was Mestel’s third to Ukraine after Russian troops invaded the country in February 2022, it was Mestel’s first time venturing close to the front lines of a conflict.
Graham, who worked as a contractor for a number of federal agencies and commercial businesses, had previous exposure to a wartime environment in the Middle East. He also went to Ukraine in March 2023 to help the Ukrainian military with training.
“The concept was to go there and capture portrait-style images of people that were representative of the war in multiple situations – civilians, military,  first-responders,” Mestel said. “Anyone we ran into who was impacted significantly by the war I wanted to shoot portraits.”
Graham recorded the trip through roughly 100 hours of video and interviews that he plans to turn into a 60-minute documentary.
Between Aug. 28 and Sept. 9, 2023, the two traveled  2,287 miles – from Warsaw Poland, as far east as Kramatorsk, near the combat zone, and back to Warsaw.
Mestel’s first trip to Ukraine in March 2022 and second trip that summer were both spent documenting the humanitarian efforts, mostly in western Ukraine.
Mariconda saw photos from Mestel’s July 2022 trip in a local magazine and reached out to him about working together. Mariconda wanted to do something for Ukraine, to keep the story in the public eye as the conflict receded from breaking news.
“That was the seed for Spotlight Ukraine, to share personal stories that would connect with people,” Mariconda said.
From Mariconda’s perspective, the stories Graham and Mestel can share help keep the victims in the public's consciousness.
“We would continue to share personal stories that would connect with people that – as time goes on and the main news outlets lose focus and interest – we would continue to share stories that would keep people engaged,” she added. The website serves as a link to nonprofits funding the relief efforts in Ukraine.
Mariconda saw a synergy between her goal and the work Mestel produced last year – now known as Portrait Ukraine 2022.
“When I’m shooting photo journalistically,“ Mestel said, “I like to capture images that allow people to have an emotional connection with individuals.”
On Mestel’s first two trips, in March and July 2022, he was documenting the living conditions of refugees from fighting in the eastern portion of Ukraine, though the whole country was on a war footing.
It takes about two days to get from Sarasota to Ukraine, including a drive to Miami, flight to Warsaw and then an 18-hour train ride from Warsaw to Kyiv that includes a six-hour stop at a facility near the border, where the undercarriage of the train cars could be swapped out to travel on tracks in Ukraine that still match the gauge of the Soviet rail system.
For this trip, they rented a white Renault SUV that bore signs with both the Canadian and U.S flags and the word press spelled out in English and Ukrainian, and hired fixer/guide Denis Rumiancev to help them.
Neither Graham nor Mestel speak Ukrainian.
In Kyiv, people they encountered could speak English and Polish but the farther east they traveled, they relied more on Google Translate to communicate with they encountered.
“It works,” Graham said. “Not only do you get your point across but they get the gist of what you’re trying to do.”
Both men had applied to the Ukrainian army to receive press credentials and checked in with local press offices at every major city where they stopped.
Rumiancev – who can communicate in four different languages – worked his connections to find different aspects of daily life that they could document.
“It was absolutely incredible the amount of contacts he had,” Graham said. “We were doing about three things a day.
“One morning we had a school opening and then we had the gay pride parade and then we went to a place that rescued 15,000 animals – and we got it all done in one day.”
Mestel added that they had little down time during the three-week trip.
“I think we did actually go from rescuing puppies right to the front line,” he added.
Graham recalled that on their first night, at 5 a.m. in Kyiv, they experienced a barrage of rockets – one of which blew up a big building.
“We got rocketed in every city,” Mestel added “Every city, every night there were rockets impacting.”
While Mestel had been in some potentially dangerous situations documenting the plight of refugees in Ciudad Juarez, Mexico, the trip to Ukraine marked the first time he worked close to active gunfire.
“The entire time we were there, we never stopped hearing Russian shellfire – some of it distant, some of it much closer,” Mestel said.
Every night, Mestel said, they heard “big booms.”
“There was one time when it sounded like they were walking the shells towards us – that got my attention – when you heard ‘Boom,’ ‘Boom,’ ‘BOOM!'”
Chasiv Yar, one village over from Bakhmut – was one of several places where Mestel and Graham shadowed the nonprofit Ukrainian Patriot – a last-mile organization founded by dancer Lana Nicole Niland that delivers both military and humanitarian aid.
Ukrainian Patriot volunteers dug a new well, so residents could have access to running water for the first time in a year-and-a-half.
Mestel drove their white Renault SUV between destinations, with members of their military escort urging them to keep up at an 80- to 100-mph pace.
“We were literally doing rally-style combat driving from one place to another,” Graham said.
Mestel’s fast-paced driving continued even when they weren’t with military escorts. One time Graham noted, he beat the GPS-suggested travel time by 45 minutes. In one small town, they were pulled over for speeding by local police.
Mestel gave the officer all of his papers, including his driver's license, Canadian passport and Ukrainian driving permit.
The officer looked at his paperwork and then consulted his supervisor.
“I think they didn’t know what to do with me so he came back and said, ‘Have a nice day.’”
In Kharkiv, Mestel said, only one elderly woman still occupied her apartment in an otherwise empty block of apartment buildings.
“There’s a hardcore group of people – mostly elderly – who won’t leave,” Mestel said.
In contrast, Mestel added, “The west is operating basically as normal – except for the rocket fire every night – it's literally a lottery as to whether your building is going to be hit.”
Graham noted that a large rocket may damage one structure but not the next, creating a situation where “there’s a bombed-out school and right next door, a store was open.”
There are other contrasts that still haunt both men.
Near Izyum, they saw the bodies exhumed from a mass grave site of roughly 455 people that Ukrainian officials are trying to identify, “People who were executed and buried by the Russians in unmarked graves inside the forest,” Mestel said.
Meanwhile in Lviv, roughly 44 miles from the border with Poland, they visited a military cemetery, “and they can’t build graves fast enough,” Graham added.
While their press credentials helped, Graham said it did take some time to build up a level of trust with the people they talked with.
Graham noted that everyone was kind and expressed a fear that the Russians wanted nothing less than to exterminate them.
“The main thing we heard when we were there,” he said, “was they were so happy that we were there to tell their story, because they were afraid people were going to forget them.”
This article originally appeared on Sarasota Herald-Tribune: A trip to Ukraine allows Florida photographers to capture war images"
UYB73D8PLQ-4,Air defence downs 87 out of 90 drones Russia launched on New Year's Eve,Ukrainska Pravda,"January 1, 2024 at 2:53 PM·1 min read",20240101,https://news.yahoo.com/air-defence-downs-87-90-065336530.html,"The Russians launched a record number of Shahed attack UAVs on Ukraine on the night of 31 December-1 January. The Ukrainian air defence forces managed to down 87 out of 90 of them.
Source: Lieutenant General Mykola Oleshchuk, Ukraine's Air Force Commander; Ukraine’s Air Force on Telegram; Defence Forces of Ukraine’s South on Telegram
Quote from Oleshchuk: ""A big thanks to everyone for their combat work! A year ago, on New Year's Eve, the defenders of the sky destroyed 45 Shahed drones. Today – 87! Let's hold the sky! Together to the victory!""
Details: The Air Force added that the attack was carried out in waves from four directions: Cape Chauda and Balaklava (Crimea) and Kursk and Primorsko-Akhtarsk (Russia).
In addition, the Russians attacked Kharkiv Oblast with four S-300 anti-aircraft guided missiles, and they also struck the temporary occupied territories of Kherson and Zaporizhzhia oblasts with three Kh-31P anti-radar missiles and one Kh-59.
An air-raid warning was issued in most oblasts of Ukraine following the route of the drones.
""In fact, air defence was responding in all oblasts. The air attack was repulsed by mobile fire groups of the Defence Forces, fighter aircraft and anti-aircraft missile units of the Air Force,"" the Air Force said.
The Defence Forces of Ukraine’s South said the massive drone attack lasted for 11 hours.
In total, 51 Shahed UAVs were destroyed in the south of Ukraine: 28 in Odesa Oblast, 14 in Mykolaiv Oblast, five in Vinnytsia Oblast, two in Dnipro Oblast, and one each in Kherson and Kirovohrad oblasts.
Support UP or become our patron!"
41PPHS9I87-5,"Ammunition is our wish from Santa on New Year's Eve, artillery units in eastern Ukraine tell NV",The New Voice of Ukraine,"January 1, 2024 at 10:42 PM·1 min read",20240101,https://news.yahoo.com/ammunition-wish-santa-years-eve-144200427.html,"NV correspondent Serhiy Okunev visited the positions of the artillerymen of the Armed Forces of Ukraine near Kupyansk in Kharkiv Oblast on New Year's Eve and talked to them.
The soldiers told him that Dec. 31 and Jan. 1 are ordinary days for them, on which they will be engaged in the most effective destruction of the Russian troops, just like the last 676 days.
When asked ""What would you wish Santa Claus for the New Year?"" almost all of them answered with one word: ""Ammunition.""
Read also:  President Zelenskyy thanks Ukrainian nation in New Year’s address, exhorts further effort
Some of the dugouts are decorated with garlands and toys that the soldiers received in parcels from children. Perseus, the dog of one of the brigade's soldiers, is sitting on a Soviet self-propelled artillery unit.
""He is responsible for moral and psychological support,"" she says.
Read also:  Russia threatens airstrikes on New Year's Eve as second consecutive air raid is declared across Ukraine
“He does his job perfectly. Sometimes psychologists have to come to the brigade. The guys say we don't need psychologists, bring us Perseus instead.”
According to the General Staff, as of Jan. 1, in the area of responsibility of the Khortytsia Operational and Strategic Troop Grouping in the Kupyansk sector, Ukrainian troops repelled 11 attacks by the Russian army near Synkivka and Petropavlivka in Kharkiv Oblast. The Russians tried to break through the Ukrainian Armed Forces' defense there but were unsuccessful.
We’re bringing the voice of Ukraine to the world. Support us with a one-time donation, or become a Patron!
Read the original article on  The New Voice of Ukraine"
MJTFL4KE9J-6,Aussie dad fights for life as New Years trip to Bali takes tragic turn,Sophie Coghill·News Reporter,Updated 31 December 2023 at 4:21 pm·2-min read,20240101,https://au.news.yahoo.com/aussie-dad-fights-for-life-bali-trip-takes-tragic-turn-002154524.html,"A young Australian father who travelled to Bali to ring in the new year is now fighting for his life in hospital after falling off a scooter and sustaining major head injuries.
Sydney man Kevin Malligan was travelling as a passenger last Friday when he fell off the moving vehicle and hit his head, reportedly suffering a brain bleed and fractured neck.
The family believe he had not been doing anything ""silly"" and was not intoxicated while on the scooter, simply hitting a bump in the road which caused him to topple off.
Kevin, 24, was rushed to hospital for immediate medical assistance and has remained there in an induced coma since, with loved ones in Australia rushing to be by his side as his future remains uncertain.
Kevin's wife Leah is currently pregnant with their second child, who is due early next month. She left her two-year-old daughter in the care of loved ones to rush over to Indonesia with Kevin's father and brother.
Aussie man's horrific injuries after brutal Bali attack 'out of nowhere'
Nurse feared paraplegia after 'terrifying' pool mishap in Bali
""We got the all clear from his CT scan to say his brain is fit enough to book the medical flight home. It’s just a matter of time of getting the money to make that flight happen,"" Leah told Yahoo News Australia.
The family have created a GoFundMe campaign to raise funds to get Kevin home and said they ""aren't losing hope"".
""We have made the decision to keep him in a coma and on life support until we can get him that fly back home to Australia,"" she said.
According to the family, insurance will not cover the expensive medical bills, meaning they face an uncertain future.
The fundraising page has raised more than $77,000 in two days at the time of writing. For now, the family remain concerned with how exactly they will be able to get Kevin safely home to Australia as they hold out hope he will be able to begin his road to recovery.
Do you have a story tip? Email: newsroomau@yahoonews.com.
You can also follow us on Facebook, Instagram, TikTok, Twitter and YouTube."
NLA5E0PM7J-7,Colorado mother suspected of killing her 2 children and wounding a third arrested in United Kingdom,JESSE BEDAYN,"January 1, 2024 at 8:42 AM·1 min read",20240101,https://news.yahoo.com/colorado-mother-suspected-killing-her-004202392.html,"A Colorado mother suspected of killing two of her young children and injuring a third was arrested Saturday in the United Kingdom, according to the Colorado Springs Police Department.
Kimberlee Singler's 9-year-old daughter and 7-year-old son were found dead on Dec. 19 when police responded to a report of a burglary at their home. Police later said the report turned out to be unfounded.
Singler, 35, initially cooperated with police but disappeared during the investigation, said Ira Cronin, spokesperson for the Colorado Springs Police Department. Authorities were unable to apprehend her after obtaining an arrest warrant Tuesday on charges of murder and attempted murder, among other allegations.
Singler was not under surveillance and was last seen in Colorado Springs on Dec. 23, said Cronin.
Authorities did not provide further details on the overseas arrest, but said they are working with multiple law enforcement agencies.
Attempts to reach Singler for comment through phone numbers listed for her were unsuccessful. Cronin said he didn't know if she has an attorney.
When police first responded to Singler’s home, they found her with minor injuries, the two children’s bodies and Singler’s 11-year-old daughter hurt. At first, Singler was treated as a burglary victim, said Cronin.
The injured girl was hospitalized for a few days before being released and is recovering in Colorado Springs, said Cronin.
The children’s deaths came amid an ongoing legal battle between Singler and her ex-husband over parenting time and other issues, according to court filings.
___
Bedayn is a corps member for the Associated Press/Report for America Statehouse News Initiative. Report for America is a nonprofit national service program that places journalists in local newsrooms to report on undercovered issues."
A63NVC9LH5-8,Colorado Springs woman suspected of murdering two of her children arrested in UK,"Theresa Braine, New York Daily News","December 31, 2023 at 8:00 PM·1 min read",20240101,https://news.yahoo.com/colorado-springs-woman-suspected-murdering-040000232.html,"A Colorado Springs woman wanted for allegedly killing two of her children and wounding a third was nabbed Sunday in the UK.
Police had been seeking Kimberlee Singler, whose 9-year-old daughter and 7-year-old son were found dead on Dec. 19 after responding to what turned out to be a false report of a burglary at their home.
The 35-year-old Singler initially cooperated but then went missing as the unfounded report came to light. By the time police got an arrest warrant last Tuesday, she was gone, Colorado Springs Police Department spokesperson Ira Cronin said. She was last seen on Saturday in Colorado Springs.
“In the initial stages of the investigation, we were treating her as a victim of a burglary,” Cronin said.
Responding to the call at an apartment complex at about 12:30 a.m. Dec. 19, cops found the children’s bodies, along with Singler and her 11-year-old daughter, who were both injured. Singler’s injuries were minor, while the daughter was hospitalized for a few days. Police did not release details on the injuries or the children’s manner of death.
The FBI was brought in to assist once Singler disappeared. No details were released on how her arrest overseas unfolded.
Singler was embroiled in a legal battle with her ex-husband related to parenting time and other issues, concerns that were scheduled to be heard in court next month.
The mom now stands charged with multiple counts of first-degree felony murder, attempted first-degree murder, three counts of felony child abuse and one count of first-degree assault, with bond set at $10 million.
With News Wire Services"
2DXBX4ISDS-9,Crown Prince Frederik: What do we know about the next king of Denmark?,George Wright - BBC News,"December 31, 2023 at 3:04 PM·3 min read",20240101,https://news.yahoo.com/crown-prince-frederik-know-next-230453131.html,"Danes were given a surprise on New Year's Eve as Queen Margrethe II announced her abdication.
The world's only reigning queen and the longest-serving living monarch in Europe will step down on 14 January, which will be 52 years to the day since she became queen.
""I will leave the throne to my son, Crown Prince Frederik,"" she announced live on TV.
But what do we know about Denmark's soon-to-be king?
Crown Prince Frederik was known in Denmark as somewhat of a party prince in the early 1990s, but perceptions started to change after he graduated from Aarhus University in 1995 with a masters in political science. He was the first Danish royal to complete a university education.
During his studies he spent time at Harvard in the United States, where he enrolled under the pseudonym Frederik Henriksen.
He later served in the Danish navy, where he was nicknamed ""Pingo"" - which according to the Mail was earned after his wetsuit filled up with water during a scuba diving course and he had to waddle like a penguin.
The 55-year-old has earned his name as a daredevil, taking part in a four-month ski expedition across Greenland in 2000. He has been hospitalised in sledging and scooter accidents.
""I don't want to lock myself in a fortress. I want to be myself, a human being,"" he once said, insisting he would stick to that even after taking the throne.
Crown Prince Frederik, like Britain's King Charles III, is known for his passion for the environment. He has vowed to ""guide the ship"" of Denmark into the future.
His wife, Princess Mary, grew up on the Australian island of Tasmania and was working as a lawyer when the pair met in 2000, at a bar in Sydney during the Olympic Games.
She once said in an interview that she did not know he was the prince of Denmark when they met, saying: ""Half an hour later someone came up to me and said, 'Do you know who these people are?'""
They are considered by some to represent modern values and have tried to give their four children - a daughter, son and twins - as normal an upbringing as possible, sending them mainly to state schools.
Unlike British royal tradition, there will be no formal crowning ceremony for Crown Prince Frederik. Instead, his accession will be announced from Amalienborg Castle in Copenhagen on the day.
He will become King of Denmark and head of state in the country - which is a constitutional monarchy - as well as in Greenland and the Faroe Islands.
Queen Margrethe II is the world's only reigning queen and the longest serving current monarch in Europe, taking the throne after the death of her father King Frederik IX in 1972.
The 83-year-old revealed the decision was made after a period of reflection following surgery on her back in early 2023.
""The surgery naturally gave rise to thinking about the future - whether the time had come to leave the responsibility to the next generation,"" she said.
""I have decided that now is the right time,"" she added, and offered her thanks to the Danish public for their support over the years."
